Unnamed: 0,class,type,date,value,percentage,aacc,unit
74,bioenergy,Renovable,2014-01-01,23594.166,0.0071553768283275,Castilla-Leon,MWh
75,oil_gas,No-Renovable,2014-01-01,237753.75,0.0721033188288147,Castilla-Leon,MWh
76,others,Generación total,2014-01-01,3293755.0200000005,1.0,Castilla-Leon,MWh
77,,Renovable,2014-01-01,350750.472,0.0903913389657491,Cataluña,MWh
78,hydropower,No-Renovable,2014-01-01,37561.696,0.0096799641520209,Cataluña,MWh
79,nuclear,No-Renovable,2014-01-01,2229470.917,0.5745533576155146,Cataluña,MWh
80,oil_gas,No-Renovable,2014-01-01,-148.739,3.833128802297538e-05,Cataluña,MWh
81,oil_gas,No-Renovable,2014-01-01,384296.97,0.0990365529109831,Cataluña,MWh
82,,Renovable,2014-01-01,318156.911,0.0819917048792928,Cataluña,MWh
83,solar,Renovable,2014-01-01,19042.458,0.0049074011675714,Cataluña,MWh
84,solar,Renovable,2014-01-01,3609.15,0.0009301082309826,Cataluña,MWh
85,bioenergy,Renovable,2014-01-01,26278.179,0.0067721071673757,Cataluña,MWh
86,oil_gas,No-Renovable,2014-01-01,501846.001,0.1293299242801779,Cataluña,MWh
87,coal,Renovable,2014-01-01,4596.6865,0.0011846046711543,Cataluña,MWh
88,bioenergy,Renovable,2014-01-01,4596.6865,0.0011846046711543,Cataluña,MWh
89,others,Generación total,2014-01-01,3880057.3879999993,1.0,Cataluña,MWh
90,,Renovable,2014-01-01,56137.321,0.1158731556159964,Pais Vasco,MWh
91,oil_gas,No-Renovable,2014-01-01,165356.45,0.3413125764045409,Pais Vasco,MWh
92,,Renovable,2014-01-01,45514.873,0.0939473396311754,Pais Vasco,MWh
93,solar,Renovable,2014-01-01,971.716,0.0020057209228519,Pais Vasco,MWh
94,bioenergy,Renovable,2014-01-01,6636.204,0.0136978018383082,Pais Vasco,MWh
95,oil_gas,No-Renovable,2014-01-01,145383.271,0.3000858980168574,Pais Vasco,MWh
96,coal,Renovable,2014-01-01,37318.131,0.0770284282119758,Pais Vasco,MWh
97,bioenergy,Renovable,2014-01-01,27154.22,0.0560490793582936,Pais Vasco,MWh
98,others,Generación total,2014-01-01,484472.1860000001,1.0,Pais Vasco,MWh
99,,Renovable,2014-01-01,296233.85,0.2729286897118835,Asturias,MWh
100,hydropower,No-Renovable,2014-01-01,6490.721,0.005980086265683,Asturias,MWh
101,coal,No-Renovable,2014-01-01,448107.816,0.4128545035300112,Asturias,MWh
102,oil_gas,No-Renovable,2014-01-01,18374.34,0.0169288031753314,Asturias,MWh
103,,Renovable,2014-01-01,194037.022,0.1787718391063544,Asturias,MWh
104,solar,Renovable,2014-01-01,29.743,2.7403073680136667e-05,Asturias,MWh
105,bioenergy,Renovable,2014-01-01,49040.661,0.0451825588106648,Asturias,MWh
106,oil_gas,No-Renovable,2014-01-01,31830.35,0.029326208731955,Asturias,MWh
107,coal,Renovable,2014-01-01,41244.689,0.0379999075944364,Asturias,MWh
108,others,Generación total,2014-01-01,1085389.1919999998,1.0,Asturias,MWh
109,,Renovable,2014-01-01,12442.591,0.100334923063413,Madrid,MWh
110,solar,Renovable,2014-01-01,3679.91,0.0296741640652083,Madrid,MWh
111,bioenergy,Renovable,2014-01-01,25262.01,0.2037085225880342,Madrid,MWh
112,oil_gas,No-Renovable,2014-01-01,82626.059,0.6662823902833444,Madrid,MWh
113,coal,Renovable,2014-05-01,4638.9105,0.0461888141358221,Madrid,MWh
114,bioenergy,Renovable,2014-05-01,4638.9105,0.0461888141358221,Madrid,MWh
115,others,Generación total,2014-01-01,124010.57,1.0,Madrid,MWh
116,,Renovable,2014-01-01,75338.758,0.1801248025333759,Navarra,MWh
117,oil_gas,No-Renovable,2014-01-01,22374.186,0.053493659068484,Navarra,MWh
118,,Renovable,2014-01-01,200122.784,0.4784665676387901,Navarra,MWh
119,solar,Renovable,2014-01-01,10892.867,0.0260433748774744,Navarra,MWh
120,bioenergy,Renovable,2014-01-01,26235.772,0.0627261900283871,Navarra,MWh
121,oil_gas,No-Renovable,2014-01-01,83294.29,0.1991454058534884,Navarra,MWh
122,others,Generación total,2014-01-01,418258.657,1.0,Navarra,MWh
123,,Renovable,2014-01-01,34110.921,0.0185912549075275,Valencia,MWh
124,hydropower,No-Renovable,2014-01-01,132070.227,0.0719813826150289,Valencia,MWh
125,nuclear,No-Renovable,2014-01-01,781846.21,0.4261245889137469,Valencia,MWh
126,oil_gas,No-Renovable,2014-02-01,6.254,3.981550009116757e-06,Valencia,MWh
127,oil_gas,No-Renovable,2014-01-01,289636.7,0.1578588194752958,Valencia,MWh
128,,Renovable,2014-01-01,399713.468,0.2178532492148144,Valencia,MWh
129,solar,Renovable,2014-01-01,28311.17,0.0154302540878431,Valencia,MWh
130,solar,Renovable,2014-01-01,2603.24,0.0014188270796168,Valencia,MWh
