project,type,country,unit,status,capacity,start_year,owner,lat,lng,url,aacc
Puente Nuevo power station,coal,Spain,MWh,retired,27360.0,1966.0,Macquarie Viesgo,38.11017,-4.93508,https://www.gem.wiki/Puente_Nuevo_power_station,Andalucía
Puertollano IGCC power station,coal,Spain,MWh,retired,228744.0,1996.0,Elcogás SA,38.659,-3.9806,https://www.gem.wiki/Puertollano_IGCC_power_station,Castilla_la_Mancha
Puertollano power station,coal,Spain,MWh,retired,424800.0,1972.0,E.ON SE,38.6505,-4.1218,https://www.gem.wiki/Puertollano_power_station,Castilla_la_Mancha
Soto de Ribera power station,coal,Spain,MWh,retired,48960.0,1962.0,HC Energia,43.31172,-5.874,https://www.gem.wiki/Soto_de_Ribera_power_station,Asturias
Soto de Ribera power station,coal,Spain,MWh,retired,182880.0,1967.0,HC Energia,43.31172,-5.874,https://www.gem.wiki/Soto_de_Ribera_power_station,Asturias
Soto de Ribera power station,coal,Spain,MWh,operating,252000.0,1984.0,HC Energia,43.31172,-5.874,https://www.gem.wiki/Soto_de_Ribera_power_station,Asturias
Teruel power station,coal,Spain,MWh,retired,264960.0,1979.0,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station,Aragón
Teruel power station,coal,Spain,MWh,retired,264960.0,1979.0,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station,Aragón
Teruel power station,coal,Spain,MWh,retired,263520.0,1980.0,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station,Aragón
Torrelavega Mill power station,coal,Spain,MWh,retired,26640.0,,Sniace SA,43.35306,-4.04583,https://www.gem.wiki/Torrelavega_Mill_power_station,Cantabria
Velilla del Río Carrión power station,coal,Spain,MWh,retired,111528.0,1964.0,Iberdrola SA,42.81853,-4.8547,https://www.gem.wiki/Velilla_del_Río_Carrión_power_station,Castilla_León
Velilla del Río Carrión power station,coal,Spain,MWh,retired,259704.0,1984.0,Iberdrola SA,42.81853,-4.8547,https://www.gem.wiki/Velilla_del_Río_Carrión_power_station,Castilla_León
Aceca 3 power station,oil_gas,Spain,MWh,operating,277920.0,2005.0,Iberdrola Generacion SA,39.9442,-3.8558,https://www.gem.wiki/Aceca_3_power_station,Castilla_la_Mancha
Aceca 4 power station,oil_gas,Spain,MWh,operating,268560.0,2006.0,Naturgy Energy Group SA,39.9427,-3.8548,https://www.gem.wiki/Aceca_4_power_station,Castilla_la_Mancha
Alcúdia power station,oil_gas,Spain,MWh,operating,27000.0,1989.0,Endesa SA,39.810751,3.091411,https://www.gem.wiki/Alc%C3%BAdia_power_station,Baleares
Alcúdia power station,oil_gas,Spain,MWh,operating,27000.0,1989.0,Endesa SA,39.810751,3.091411,https://www.gem.wiki/Alc%C3%BAdia_power_station,Baleares
Amorebieta power station,oil_gas,Spain,MWh,operating,565920.0,2005.0,Bizkaia Energia SLU,43.2347,-2.7497,https://www.gem.wiki/Amorebieta_power_station,País_Vasco
Arcos de la Frontera power station,oil_gas,Spain,MWh,operating,280224.0,2005.0,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station,Andalucía
Arcos de la Frontera power station,oil_gas,Spain,MWh,operating,268704.0,2005.0,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station,Andalucía
Arcos de la Frontera power station,oil_gas,Spain,MWh,operating,592560.0,2005.0,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station,Andalucía
Arrubal power station,oil_gas,Spain,MWh,operating,284112.0,2005.0,ContourGlobal PLC,42.4194,-2.2511,https://www.gem.wiki/Arrubal_power_station,La_Rioja
Arrubal power station,oil_gas,Spain,MWh,operating,280800.0,2005.0,ContourGlobal PLC,42.4194,-2.2511,https://www.gem.wiki/Arrubal_power_station,La_Rioja
As Pontes power station,oil_gas,Spain,MWh,operating,616320.0,2008.0,Endesa SA,43.4451,-7.8621,https://www.gem.wiki/As_Pontes_power_station,Galicia
Bahia de Algeciras power station,oil_gas,Spain,MWh,operating,591120.0,2011.0,Repsol SA,36.1829,-5.3905,https://www.gem.wiki/Bahia_de_Algeciras_power_station,Andalucía
Bahía de Bizkaia power station,oil_gas,Spain,MWh,operating,565200.0,2003.0,Bahia de Bizkaia Electricidad SL,43.35904,-3.09211,https://www.gem.wiki/Bahía_de_Bizkaia_power_station,
Barcelona Cartonboard power station,oil_gas,Spain,MWh,operating,33120.0,1998.0,RDM Barcelona Cartonboard SAU,41.46418,1.9557,https://www.gem.wiki/Barcelona_Cartonboard_power_station,Cataluña
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,57600.0,1995.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,57600.0,1996.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,27000.0,1992.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,27000.0,1995.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,162720.0,2003.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Barranco de Tirajana power station,oil_gas,Spain,MWh,operating,169920.0,2007.0,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station,
Besós 3 power station,oil_gas,Spain,MWh,operating,296640.0,2002.0,Endesa SA,41.41847,2.22859,https://www.gem.wiki/Besós_3_power_station,
Besós 4 power station,oil_gas,Spain,MWh,operating,288000.0,2002.0,Naturgy Energy Group SA,41.41847,2.22859,https://www.gem.wiki/Besós_4_power_station,
Besós 5 power station,oil_gas,Spain,MWh,operating,618480.0,2010.0,Endesa SA,41.41847,2.22859,https://www.gem.wiki/Besós_5_power_station,
Bioetanol Galicia power station,oil_gas,Spain,MWh,operating,18000.0,2003.0,Bioetanol Galicia SA,43.15621666,-8.023318585,https://www.gem.wiki/Bioetanol_Galicia_power_station,Galicia
Ca's Tresorer power station,oil_gas,Spain,MWh,operating,165600.0,2006.0,Endesa SA,39.5672,2.6895,https://www.gem.wiki/Cas_Tresorer_power_station,Baleares
Ca's Tresorer power station,oil_gas,Spain,MWh,operating,165600.0,2010.0,Endesa SA,39.5672,2.6895,https://www.gem.wiki/Cas_Tresorer_power_station,Baleares
Campo de Gibraltar power station,oil_gas,Spain,MWh,operating,282672.0,2004.0,Puente Mayorga Generación SLU,36.1834,-5.3933,https://www.gem.wiki/Campo_de_Gibraltar_power_station,Andalucía
Campo de Gibraltar power station,oil_gas,Spain,MWh,operating,279288.0,2004.0,Puente Mayorga Generación SLU,36.1834,-5.3933,https://www.gem.wiki/Campo_de_Gibraltar_power_station,Andalucía
Candelaria power station,oil_gas,Spain,MWh,operating,27000.0,1988.0,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station,Canarias
Candelaria power station,oil_gas,Spain,MWh,operating,27000.0,1989.0,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station,Canarias
Candelaria power station,oil_gas,Spain,MWh,operating,28800.0,1979.0,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station,Canarias
Candelaria power station,oil_gas,Spain,MWh,operating,28800.0,1984.0,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station,Canarias
Cartagena (Escombreras) power station,oil_gas,Spain,MWh,operating,301104.0,2006.0,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station,Murcia
Cartagena (Escombreras) power station,oil_gas,Spain,MWh,operating,300816.0,2006.0,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station,Murcia
Cartagena (Escombreras) power station,oil_gas,Spain,MWh,operating,297144.0,2006.0,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station,Murcia
Cartagena Refinery power station,oil_gas,Spain,MWh,operating,68400.0,2002.0,SABIC Innovative Plastics España SA,37.70435,-1.09995,https://www.gem.wiki/Cartagena_Refinery_power_station,Murcia
Castejón power station,oil_gas,Spain,MWh,operating,305928.0,2002.0,TotalEnergies SE,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station,Navarra
Castejón power station,oil_gas,Spain,MWh,operating,272808.0,2003.0,Iberdrola SA,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station,Navarra
Castejón power station,oil_gas,Spain,MWh,operating,301248.0,2003.0,TotalEnergies SE,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station,Navarra
Castellon Refinery power station,oil_gas,Spain,MWh,operating,18720.0,2008.0,BP PLC,39.95912775,-0.001604527396,https://www.gem.wiki/Castellon_Refinery_power_station,Valencia
Castellón power station,oil_gas,Spain,MWh,operating,563040.0,2002.0,Iberdrola Generacion SA,39.9592,-0.001,https://www.gem.wiki/Castellón_power_station,Valencia
Castellón power station,oil_gas,Spain,MWh,operating,617760.0,2008.0,Iberdrola Generacion SA,39.9592,-0.001,https://www.gem.wiki/Castellón_power_station,Valencia
Castelnou power station,oil_gas,Spain,MWh,operating,576000.0,2006.0,Initec Energia SA,41.2167,-0.2928,https://www.gem.wiki/Castelnou_power_station,Aragón
Cella Factory power station,oil_gas,Spain,MWh,operating,18000.0,1997.0,Turolense De Tableros SA,40.45676,-1.248,https://www.gem.wiki/Cella_Factory_power_station,Aragón
Ceuta power station,oil_gas,Spain,MWh,operating,59760.0,2010.0,Endesa SA,35.9026,-5.28949,https://www.gem.wiki/Ceuta_power_station,
Cotesa power station,oil_gas,Spain,MWh,operating,27360.0,1994.0,Compañía Española de Petróleos SA,28.4539912,-16.27808338,https://www.gem.wiki/Cotesa_power_station,Canarias
Cristobal Colón power station,oil_gas,Spain,MWh,operating,281520.0,2006.0,Endesa SA,37.2156,-6.943,https://www.gem.wiki/Cristobal_Colón_power_station,Andalucía
