class,type,date,value,percentage,aacc
Generación total,Generación total,2014-01-01,2373854.3880000003,1.0,Castilla_la_Mancha
Hidráulica,Renovable,2014-01-01,1055427.61,0.3200783729575828,Castilla_León
Turbinación bombeo,No-Renovable,2014-01-01,91564.342,0.027768617506881085,Castilla_León
Nuclear,No-Renovable,2014-01-01,-1824.338,0.0005532649830571427,Castilla_León
Carbón,No-Renovable,2014-01-01,184638.987,0.055995262947021326,Castilla_León
Eólica,Renovable,2014-01-01,1672953.906,0.5073548950131339,Castilla_León
Solar fotovoltaica,Renovable,2014-01-01,29646.597,0.008990890935181385,Castilla_León
Otras renovables,Renovable,2014-01-01,23594.166,0.007155376828327543,Castilla_León
Cogeneración,No-Renovable,2014-01-01,237753.75,0.0721033188288147,Castilla_León
Generación total,Generación total,2014-01-01,3293755.0200000005,1.0,Castilla_León
Hidráulica,Renovable,2014-01-01,350750.472,0.09039133896574914,Cataluña
Turbinación bombeo,No-Renovable,2014-01-01,37561.696,0.009679964152020937,Cataluña
Nuclear,No-Renovable,2014-01-01,2229470.917,0.5745533576155146,Cataluña
Fuel + Gas,No-Renovable,2014-01-01,-148.739,3.833128802297538e-05,Cataluña
Ciclo combinado,No-Renovable,2014-01-01,384296.97,0.09903655291098318,Cataluña
Eólica,Renovable,2014-01-01,318156.911,0.08199170487929287,Cataluña
Solar fotovoltaica,Renovable,2014-01-01,19042.458,0.0049074011675714615,Cataluña
Solar térmica,Renovable,2014-01-01,3609.15,0.0009301082309826043,Cataluña
Otras renovables,Renovable,2014-01-01,26278.179,0.006772107167375759,Cataluña
Cogeneración,No-Renovable,2014-01-01,501846.001,0.12932992428017795,Cataluña
Residuos no renovables,Renovable,2014-01-01,4596.6865,0.0011846046711543213,Cataluña
Residuos renovables,Renovable,2014-01-01,4596.6865,0.0011846046711543213,Cataluña
Generación total,Generación total,2014-01-01,3880057.3879999993,1.0,Cataluña
Hidráulica,Renovable,2014-01-01,56137.321,0.11587315561599648,País_Vasco
Ciclo combinado,No-Renovable,2014-01-01,165356.45,0.34131257640454093,País_Vasco
Eólica,Renovable,2014-01-01,45514.873,0.09394733963117542,País_Vasco
Solar fotovoltaica,Renovable,2014-01-01,971.716,0.002005720922851905,País_Vasco
Otras renovables,Renovable,2014-01-01,6636.204,0.013697801838308212,País_Vasco
Cogeneración,No-Renovable,2014-01-01,145383.271,0.3000858980168574,País_Vasco
Residuos no renovables,Renovable,2014-01-01,37318.131,0.07702842821197581,País_Vasco
Residuos renovables,Renovable,2014-01-01,27154.22,0.05604907935829364,País_Vasco
Generación total,Generación total,2014-01-01,484472.1860000001,1.0,País_Vasco
Hidráulica,Renovable,2014-01-01,296233.85,0.27292868971188355,Asturias
Turbinación bombeo,No-Renovable,2014-01-01,6490.721,0.005980086265683029,Asturias
Carbón,No-Renovable,2014-01-01,448107.816,0.41285450353001124,Asturias
Ciclo combinado,No-Renovable,2014-01-01,18374.34,0.01692880317533142,Asturias
Eólica,Renovable,2014-01-01,194037.022,0.1787718391063544,Asturias
Solar fotovoltaica,Renovable,2014-01-01,29.743,2.7403073680136667e-05,Asturias
Otras renovables,Renovable,2014-01-01,49040.661,0.04518255881066485,Asturias
Cogeneración,No-Renovable,2014-01-01,31830.35,0.02932620873195502,Asturias
Residuos no renovables,Renovable,2014-01-01,41244.689,0.037999907594436416,Asturias
Generación total,Generación total,2014-01-01,1085389.1919999998,1.0,Asturias
Hidráulica,Renovable,2014-01-01,12442.591,0.10033492306341307,Madrid
Solar fotovoltaica,Renovable,2014-01-01,3679.91,0.029674164065208314,Madrid
Otras renovables,Renovable,2014-01-01,25262.01,0.20370852258803424,Madrid
Cogeneración,No-Renovable,2014-01-01,82626.059,0.6662823902833444,Madrid
Residuos no renovables,Renovable,2014-05-01,4638.9105,0.046188814135822126,Madrid
Residuos renovables,Renovable,2014-05-01,4638.9105,0.046188814135822126,Madrid
Generación total,Generación total,2014-01-01,124010.56999999999,1.0,Madrid
Hidráulica,Renovable,2014-01-01,75338.758,0.1801248025333759,Navarra
Ciclo combinado,No-Renovable,2014-01-01,22374.186,0.05349365906848403,Navarra
Eólica,Renovable,2014-01-01,200122.784,0.4784665676387901,Navarra
Solar fotovoltaica,Renovable,2014-01-01,10892.867,0.02604337487747444,Navarra
Otras renovables,Renovable,2014-01-01,26235.772,0.06272619002838715,Navarra
Cogeneración,No-Renovable,2014-01-01,83294.29,0.1991454058534884,Navarra
Generación total,Generación total,2014-01-01,418258.657,1.0,Navarra
Hidráulica,Renovable,2014-01-01,34110.921,0.01859125490752753,Valenciana
Turbinación bombeo,No-Renovable,2014-01-01,132070.227,0.07198138261502891,Valenciana
Nuclear,No-Renovable,2014-01-01,781846.21,0.42612458891374694,Valenciana
Fuel + Gas,No-Renovable,2014-02-01,6.254,3.981550009116757e-06,Valenciana
Ciclo combinado,No-Renovable,2014-01-01,289636.7,0.15785881947529587,Valenciana
Eólica,Renovable,2014-01-01,399713.468,0.21785324921481444,Valenciana
Solar fotovoltaica,Renovable,2014-01-01,28311.17,0.015430254087843188,Valenciana
Solar térmica,Renovable,2014-01-01,2603.24,0.0014188270796168757,Valenciana
Otras renovables,Renovable,2014-01-01,3450.038,0.0018803519230294738,Valenciana
Cogeneración,No-Renovable,2014-01-01,128228.163,0.0698873672938057,Valenciana
