,class,type,date,value,percentage,aacc
112,Demanda,,2019-01-01,157569.432,1,La_Rioja
113,Demanda,,2019-01-01,841665.36,1,Murcia
114,Demanda,,2020-01-01,756953.464,1,Canarias
115,Demanda,,2020-01-01,456464.05,1,Baleares
116,Demanda,,2020-01-01,17835.113,1,Ceuta
117,Demanda,,2020-01-01,17812.714,1,Melilla
118,Demanda,,2020-01-01,3648510.198,1,Andalucía
119,Demanda,,2020-01-01,936969.954,1,Aragón
120,Demanda,,2020-01-01,341784.053,1,Cantabria
121,Demanda,,2020-01-01,1061533.843,1,Castilla_la_Mancha
122,Demanda,,2020-01-01,1289529.098,1,Castilla_León
123,Demanda,,2020-01-01,4180533.867,1,Cataluña
124,Demanda,,2020-01-01,1464723.239,1,País_Vasco
125,Demanda,,2020-01-01,818569.533,1,Asturias
126,Demanda,,2020-01-01,2737334.364,1,Madrid
127,Demanda,,2020-01-01,450763.969,1,Navarra
128,Demanda,,2020-01-01,2508069.037,1,Valenciana
129,Demanda,,2020-01-01,458471.77,1,Extremadura
130,Demanda,,2020-01-01,1697792.905,1,Galicia
131,Demanda,,2020-01-01,155709.587,1,La_Rioja
132,Demanda,,2020-01-01,826921.959,1,Murcia
133,Demanda,,2021-01-01,648143.584,1,Canarias
134,Demanda,,2021-01-01,470923.625,1,Baleares
135,Demanda,,2021-01-01,18538.656,1,Ceuta
136,Demanda,,2021-01-01,18321.295,1,Melilla
137,Demanda,,2021-01-01,3806960.159,1,Andalucía
138,Demanda,,2021-01-01,899098.143,1,Aragón
139,Demanda,,2021-01-01,301323.586,1,Cantabria
140,Demanda,,2021-01-01,1064675.945,1,Castilla_la_Mancha
141,Demanda,,2021-01-01,1267533.707,1,Castilla_León
142,Demanda,,2021-01-01,4205890.778,1,Cataluña
143,Demanda,,2021-01-01,1452389.83,1,País_Vasco
144,Demanda,,2021-01-01,867913.759,1,Asturias
145,Demanda,,2021-01-01,2740894.826,1,Madrid
146,Demanda,,2021-01-01,443553.286,1,Navarra
147,Demanda,,2021-01-01,2541784.95,1,Valenciana
148,Demanda,,2021-01-01,487003.673,1,Extremadura
149,Demanda,,2021-01-01,1694495.593,1,Galicia
150,Demanda,,2021-01-01,146298.76,1,La_Rioja
151,Demanda,,2021-01-01,833740.735,1,Murcia
152,Demanda,,2022-01-01,713309.862,1,Canarias
153,Demanda,,2022-01-01,464916.63,1,Baleares
154,Demanda,,2022-01-01,17253.197,1,Ceuta
155,Demanda,,2022-01-01,17045.196,1,Melilla
156,Demanda,,2022-01-01,3532788.346,1,Andalucía
157,Demanda,,2022-01-01,905738.601,1,Aragón
158,Demanda,,2022-01-01,310887.008,1,Cantabria
159,Demanda,,2022-01-01,1062483.113,1,Castilla_la_Mancha
160,Demanda,,2022-01-01,1220895.001,1,Castilla_León
161,Demanda,,2022-01-01,3978813.799,1,Cataluña
162,Demanda,,2022-01-01,1403157.038,1,País_Vasco
163,Demanda,,2022-01-01,838347.38,1,Asturias
164,Demanda,,2022-01-01,2601492.321,1,Madrid
165,Demanda,,2022-01-01,448017.748,1,Navarra
166,Demanda,,2022-01-01,2417389.067,1,Valenciana
167,Demanda,,2022-01-01,452699.784,1,Extremadura
168,Demanda,,2022-01-01,1386507.81,1,Galicia
169,Demanda,,2022-01-01,145992.771,1,La_Rioja
170,Demanda,,2022-01-01,811561.251,1,Murcia
171,Demanda,,2023-01-01,719419.831,1,Canarias
172,Demanda,,2023-01-01,450228.3,1,Baleares
173,Demanda,,2023-01-01,16642.232,1,Ceuta
174,Demanda,,2023-01-01,16257.917,1,Melilla
175,Demanda,,2023-01-01,3514251.025,1,Andalucía
176,Demanda,,2023-01-01,761269.072,1,Aragón
177,Demanda,,2023-01-01,313023.322,1,Cantabria
178,Demanda,,2023-01-01,1057383.182,1,Castilla_la_Mancha
179,Demanda,,2023-01-01,1236853.559,1,Castilla_León
180,Demanda,,2023-01-01,3444370.992,1,Cataluña
181,Demanda,,2023-01-01,1410776.175,1,País_Vasco
182,Demanda,,2023-01-01,763110.426,1,Asturias
183,Demanda,,2023-01-01,2739230.275,1,Madrid
184,Demanda,,2023-01-01,436462.81,1,Navarra
185,Demanda,,2023-01-01,2455792.176,1,Valenciana
186,Demanda,,2023-01-01,458016.752,1,Extremadura
187,Demanda,,2023-01-01,1259676.714,1,Galicia
188,Demanda,,2023-01-01,146545.345,1,La_Rioja
189,Demanda,,2023-01-01,780115.996,1,Murcia
