,class,type,date,value,percentage,aacc,comunidad
313,Hidráulica,Renovable,2015-01-01,785057.535,0.2692100166643979,17,Galicia
314,Turbinación bombeo,No-Renovable,2015-01-01,6104.182,0.00209323121513956,17,Galicia
315,Carbón,No-Renovable,2015-01-01,1147958.392,0.3936550941331394,17,Galicia
316,Ciclo combinado,No-Renovable,2015-01-01,61203.646,0.0209878051289348,17,Galicia
317,Eólica,Renovable,2015-01-01,657535.626,0.22548051440955255,17,Galicia
318,Solar fotovoltaica,Renovable,2015-01-01,900.399,0.0003087626307473212,17,Galicia
319,Otras renovables,Renovable,2015-01-01,18303.37,0.006276547033861206,17,Galicia
320,Cogeneración,No-Renovable,2015-01-01,212357.442,0.07282109648132848,17,Galicia
321,Residuos no renovables,Renovable,2015-01-01,13366.0875,0.004583466151449397,17,Galicia
322,Residuos renovables,Renovable,2015-01-01,13366.0875,0.004583466151449397,17,Galicia
323,Generación total,Generación total,2015-01-01,2916152.767,1.0,17,Galicia
324,Hidráulica,Renovable,2015-01-01,14416.099,0.08365771851299982,20,La_Rioja
325,Ciclo combinado,No-Renovable,2015-01-01,14635.654,0.08493181287015718,20,La_Rioja
326,Eólica,Renovable,2015-01-01,129015.928,0.7486892389069645,20,La_Rioja
327,Solar fotovoltaica,Renovable,2015-01-01,6782.668,0.03936033807142497,20,La_Rioja
328,Otras renovables,Renovable,2015-01-01,862.437,0.0050047874796917,20,La_Rioja
329,Cogeneración,No-Renovable,2015-01-01,6609.616,0.03835610415876166,20,La_Rioja
330,Generación total,Generación total,2015-01-01,172322.40200000003,1.0,20,La_Rioja
331,Hidráulica,Renovable,2015-01-01,8325.584,0.016986322582935514,21,Murcia
332,Ciclo combinado,No-Renovable,2015-01-01,224439.92,0.4579148900075045,21,Murcia
333,Eólica,Renovable,2015-01-01,60806.581,0.12406099080033273,21,Murcia
334,Solar fotovoltaica,Renovable,2015-01-01,53562.315,0.10928083373836664,21,Murcia
335,Solar térmica,Renovable,2015-01-01,1629.424,0.0033244420677729166,21,Murcia
336,Otras renovables,Renovable,2015-01-01,3005.015,0.006130999838156693,21,Murcia
337,Cogeneración,No-Renovable,2015-01-01,138365.736,0.2823015209649309,21,Murcia
338,Generación total,Generación total,2015-01-01,490134.57500000007,1.0,21,Murcia
339,Hidráulica,Renovable,2016-01-01,307.662,0.0004244329908154048,8742,Canarias
340,Motores diésel,No-Renovable,2016-01-01,190988.363,0.26347667933975666,8742,Canarias
341,Turbina de gas,No-Renovable,2016-01-01,18430.33,0.025425434677064054,8742,Canarias
342,Turbina de vapor,No-Renovable,2016-01-01,229357.249,0.3164082114731866,8742,Canarias
343,Ciclo combinado,No-Renovable,2016-01-01,245251.456,0.3383349551517986,8742,Canarias
344,Hidroeólica,Renovable,2016-01-01,790.736,0.0010908543967906663,8742,Canarias
345,Eólica,Renovable,2016-01-01,19203.504,0.026492061537842147,8742,Canarias
346,Solar fotovoltaica,Renovable,2016-01-01,19686.59,0.027158499498334668,8742,Canarias
347,Otras renovables,Renovable,2016-01-01,861.786,0.001188870934411284,8742,Canarias
348,Generación total,Generación total,2016-01-01,724877.676,1.0,8742,Canarias
349,Carbón,No-Renovable,2016-01-01,114409.217,0.3567784300756627,8743,Baleares
350,Motores diésel,No-Renovable,2016-01-01,37783.989,0.11782715266215052,8743,Baleares
351,Turbina de gas,No-Renovable,2016-01-01,48057.168,0.1498634585788868,8743,Baleares
352,Ciclo combinado,No-Renovable,2016-01-01,92204.111,0.28753310993381015,8743,Baleares
353,Eólica,Renovable,2016-01-01,530.127,0.001653169943473355,8743,Baleares
354,Solar fotovoltaica,Renovable,2016-01-01,7081.305,0.02208263413591005,8743,Baleares
355,Otras renovables,Renovable,2016-01-01,176.264,0.0005496689414355192,8743,Baleares
356,Cogeneración,No-Renovable,2016-01-01,3301.81,0.01029650074616037,8743,Baleares
357,Residuos no renovables,No-Renovable,2016-01-01,8564.515,0.026707937491255305,8743,Baleares
358,Residuos renovables,Renovable,2016-01-01,8564.515,0.026707937491255305,8743,Baleares
359,Generación total,Generación total,2016-01-01,320673.021,1.0,8743,Baleares
360,Motores diésel,No-Renovable,2016-01-01,17310.614,0.9999683441238665,8744,Ceuta
361,Turbina de gas,No-Renovable,2016-01-01,0.548,3.165587613356053e-05,8744,Ceuta
362,Generación total,Generación total,2016-01-01,17311.162,1.0,8744,Ceuta
363,Motores diésel,No-Renovable,2016-01-01,16079.162,0.9426482385746605,8745,Melilla
364,Turbina de gas,No-Renovable,2016-02-01,0.274,1.6997543916938836e-05,8745,Melilla
365,Solar fotovoltaica,Renovable,2016-01-01,4.303,0.0002522653463275489,8745,Melilla
366,Residuos no renovables,No-Renovable,2016-01-01,486.9855,0.028549748039506058,8745,Melilla
367,Residuos renovables,Renovable,2016-01-01,486.9855,0.028549748039506058,8745,Melilla
368,Generación total,Generación total,2016-01-01,17057.435999999998,1.0,8745,Melilla
369,Hidráulica,Renovable,2016-01-01,27321.172,0.011063607020253219,4,Andalucía
370,Turbinación bombeo,No-Renovable,2016-01-01,38812.998,0.015717179231911214,4,Andalucía
371,Carbón,No-Renovable,2016-01-01,746745.551,0.30239183444935885,4,Andalucía
372,Ciclo combinado,No-Renovable,2016-01-01,419398.78,0.16983397662053573,4,Andalucía
373,Eólica,Renovable,2016-01-01,587036.601,0.23771828895075175,4,Andalucía
374,Solar fotovoltaica,Renovable,2016-01-01,77772.405,0.03149364624401825,4,Andalucía
375,Solar térmica,Renovable,2016-01-01,34863.464,0.01411783012312742,4,Andalucía
376,Otras renovables,Renovable,2016-01-01,104973.066,0.04250845278288591,4,Andalucía
377,Cogeneración,No-Renovable,2016-01-01,432539.308,0.1751551845771576,4,Andalucía
378,Residuos no renovables,Renovable,2016-02-01,416.052,0.00016855477170821956,4,Andalucía
379,Generación total,Generación total,2016-01-01,2469463.345,1.0,4,Andalucía
380,Hidráulica,Renovable,2016-01-01,207323.595,0.19334063044471875,5,Aragón
381,Turbinación bombeo,No-Renovable,2016-01-01,43258.257,0.04034069870493837,5,Aragón
382,Carbón,No-Renovable,2016-01-01,186812.487,0.17421289656648017,5,Aragón
383,Ciclo combinado,No-Renovable,2016-01-01,20348.062,0.018975684535125995,5,Aragón
384,Eólica,Renovable,2016-01-01,367291.73,0.3425196955287767,5,Aragón
385,Solar fotovoltaica,Renovable,2016-01-01,11873.667,0.011072846115130564,5,Aragón
386,Otras renovables,Renovable,2016-01-01,5479.952,0.005110355984743548,5,Aragón
387,Cogeneración,No-Renovable,2016-01-01,198944.76,0.18552690696914292,5,Aragón
388,Residuos no renovables,Renovable,2016-01-01,30990.439,0.0289002851509429,5,Aragón
389,Generación total,Generación total,2016-01-01,1072322.949,1.0,5,Aragón
390,Hidráulica,Renovable,2016-01-01,20134.369,0.14103438355816073,6,Cantabria
391,Turbinación bombeo,No-Renovable,2016-01-01,54625.46,0.38263270518589215,6,Cantabria
392,Eólica,Renovable,2016-01-01,9279.857,0.06500223133403797,6,Cantabria
393,Solar fotovoltaica,Renovable,2016-01-01,81.027,0.0005675664827920402,6,Cantabria
394,Otras renovables,Renovable,2016-01-01,4489.022,0.031444067134610565,6,Cantabria
395,Cogeneración,No-Renovable,2016-01-01,47757.572,0.3345254935605122,6,Cantabria
396,Residuos no renovables,Renovable,2016-01-01,3197.4115,0.022396776371997256,6,Cantabria
397,Residuos renovables,Renovable,2016-01-01,3197.4115,0.022396776371997256,6,Cantabria
398,Generación total,Generación total,2016-01-01,142762.12999999998,1.0,6,Cantabria
399,Hidráulica,Renovable,2016-01-01,38409.754,0.018262567559309092,7,Castilla_la_Mancha
400,Turbinación bombeo,No-Renovable,2016-01-01,12013.16,0.005711860224379193,7,Castilla_la_Mancha
401,Nuclear,No-Renovable,2016-01-01,743136.605,0.35333687517519885,7,Castilla_la_Mancha
402,Carbón,No-Renovable,2016-01-01,-1100.771,0.0005233802006341469,7,Castilla_la_Mancha
403,Ciclo combinado,No-Renovable,2016-01-01,154146.076,0.07329136049536776,7,Castilla_la_Mancha
404,Eólica,Renovable,2016-01-01,986575.047,0.4690838022072738,7,Castilla_la_Mancha
405,Solar fotovoltaica,Renovable,2016-01-01,71510.187,0.03400072859790581,7,Castilla_la_Mancha
406,Solar térmica,Renovable,2016-01-01,6119.934,0.002909826189813992,7,Castilla_la_Mancha
407,Otras renovables,Renovable,2016-01-01,20968.482,0.009969819622931109,7,Castilla_la_Mancha
408,Cogeneración,No-Renovable,2016-01-01,69215.708,0.03290977972718625,7,Castilla_la_Mancha
409,Generación total,Generación total,2016-01-01,2100994.182,1.0,7,Castilla_la_Mancha
410,Hidráulica,Renovable,2016-01-01,1064810.658,0.3429065668951653,8,Castilla_León
411,Turbinación bombeo,No-Renovable,2016-01-01,86800.312,0.027952760211148467,8,Castilla_León
412,Nuclear,No-Renovable,2016-01-01,-1814.74,0.0005844102503408002,8,Castilla_León
413,Carbón,No-Renovable,2016-01-01,318926.231,0.10270548866446869,8,Castilla_León
414,Eólica,Renovable,2016-01-01,1421817.058,0.4578752123194507,8,Castilla_León
415,Solar fotovoltaica,Renovable,2016-01-01,27163.809,0.008747704033580394,8,Castilla_León
416,Otras renovables,Renovable,2016-01-01,17978.447,0.005789693681744387,8,Castilla_León
417,Cogeneración,No-Renovable,2016-01-01,165938.865,0.05343816394410122,8,Castilla_León
418,Generación total,Generación total,2016-01-01,3101620.6400000006,1.0,8,Castilla_León
419,Hidráulica,Renovable,2016-01-01,240742.787,0.06293041836903647,9,Cataluña
420,Turbinación bombeo,No-Renovable,2016-01-01,33807.4,0.008837290007651873,9,Cataluña
421,Nuclear,No-Renovable,2016-01-01,2260528.143,0.5909044401565854,9,Cataluña
422,Ciclo combinado,No-Renovable,2016-01-01,542737.539,0.1418721649751909,9,Cataluña
423,Eólica,Renovable,2016-01-01,288811.455,0.07549561886944571,9,Cataluña
424,Solar fotovoltaica,Renovable,2016-01-01,19332.045,0.005053416947354021,9,Cataluña
425,Solar térmica,Renovable,2016-01-01,3651.407,0.0009544816399655136,9,Cataluña
426,Otras renovables,Renovable,2016-01-01,13477.744,0.0035230964929834885,9,Cataluña
427,Cogeneración,No-Renovable,2016-01-01,398619.932,0.10419967054297193,9,Cataluña
428,Residuos no renovables,Renovable,2016-01-01,11915.411,0.0031147009994073847,9,Cataluña
429,Residuos renovables,Renovable,2016-01-01,11915.411,0.0031147009994073847,9,Cataluña
430,Generación total,Generación total,2016-01-01,3825539.2739999997,1.0,9,Cataluña
431,Hidráulica,Renovable,2016-01-01,29522.061,0.06296004287586694,10,País_Vasco
432,Ciclo combinado,No-Renovable,2016-01-01,162084.366,0.34566823206779873,10,País_Vasco
433,Eólica,Renovable,2016-01-01,39266.747,0.08374198788884758,10,País_Vasco
434,Solar fotovoltaica,Renovable,2016-01-01,1100.871,0.0023477658067571406,10,País_Vasco
435,Otras renovables,Renovable,2016-01-01,1073.087,0.0022885124290453647,10,País_Vasco
436,Cogeneración,No-Renovable,2016-01-01,171363.352,0.3654570048233516,10,País_Vasco
437,Residuos no renovables,Renovable,2016-01-01,43050.574,0.09181154340378479,10,País_Vasco
438,Residuos renovables,Renovable,2016-01-01,21440.481,0.045724910704547705,10,País_Vasco
439,Generación total,Generación total,2016-01-01,468901.5390000001,1.0,10,País_Vasco
440,Hidráulica,Renovable,2016-01-01,255760.493,0.21696073076875144,11,Asturias
441,Turbinación bombeo,No-Renovable,2016-01-01,5187.706,0.004400712837120769,11,Asturias
442,Carbón,No-Renovable,2016-01-01,608822.048,0.5164616117713218,11,Asturias
443,Ciclo combinado,No-Renovable,2016-01-01,34086.924,0.028915818287458855,11,Asturias
444,Eólica,Renovable,2016-01-01,168879.605,0.14325997765705784,11,Asturias
445,Solar fotovoltaica,Renovable,2016-01-01,24.036,2.0389654647552273e-05,11,Asturias
446,Otras renovables,Renovable,2016-01-01,20304.813,0.017224501778712337,11,Asturias
447,Cogeneración,No-Renovable,2016-01-01,27883.657,0.023653608609619046,11,Asturias
448,Residuos no renovables,Renovable,2016-01-01,57883.828,0.04910264863531021,11,Asturias
449,Generación total,Generación total,2016-01-01,1178833.11,1.0,11,Asturias
450,Hidráulica,Renovable,2016-01-01,3201.816,0.03547427572229171,13,Madrid
451,Solar fotovoltaica,Renovable,2016-01-01,3513.879,0.03893175388616044,13,Madrid
452,Otras renovables,Renovable,2016-01-01,12134.304,0.1344410939898193,13,Madrid
453,Cogeneración,No-Renovable,2016-01-01,60454.313,0.669798941589312,13,Madrid
454,Residuos no renovables,Renovable,2016-01-01,5476.5455,0.06067696740620821,13,Madrid
455,Residuos renovables,Renovable,2016-01-01,5476.5455,0.06067696740620821,13,Madrid
456,Generación total,Generación total,2016-01-01,90257.40300000002,1.0,13,Madrid
457,Hidráulica,Renovable,2016-01-01,62926.695,0.18127270753995653,14,Navarra
458,Ciclo combinado,No-Renovable,2016-01-01,52640.903,0.15164246293497888,14,Navarra
459,Eólica,Renovable,2016-01-01,125638.654,0.3619268258448309,14,Navarra
460,Solar fotovoltaica,Renovable,2016-01-01,10544.925,0.030376728120804313,14,Navarra
461,Otras renovables,Renovable,2016-01-01,27401.08,0.07893419416225424,14,Navarra
462,Cogeneración,No-Renovable,2016-01-01,67986.018,0.19584708139717524,14,Navarra
463,Generación total,Generación total,2016-01-01,347138.27499999997,1.0,14,Navarra
464,Hidráulica,Renovable,2016-01-01,25303.712,0.013746167410932897,15,Valenciana
465,Turbinación bombeo,No-Renovable,2016-01-01,169090.201,0.09185775630446211,15,Valenciana
466,Nuclear,No-Renovable,2016-01-01,791761.401,0.4301220614454027,15,Valenciana
467,Fuel + Gas,No-Renovable,2016-02-01,0.236,1.392233764921671e-07,15,Valenciana
468,Ciclo combinado,No-Renovable,2016-01-01,363531.98,0.1974876830841226,15,Valenciana
469,Eólica,Renovable,2016-01-01,303375.252,0.16480771684114787,15,Valenciana
470,Solar fotovoltaica,Renovable,2016-01-01,26588.217,0.0144439709889289,15,Valenciana
471,Solar térmica,Renovable,2016-01-01,546.832,0.00029706488192938877,15,Valenciana
472,Otras renovables,Renovable,2016-01-01,3608.722,0.001960427653915623,15,Valenciana
473,Cogeneración,No-Renovable,2016-01-01,123901.344,0.06730904213040309,15,Valenciana
474,Residuos no renovables,Renovable,2016-01-01,33075.391,0.017968109258754736,15,Valenciana
475,Generación total,Generación total,2016-01-01,1840783.0520000001,1.0,15,Valenciana
476,Hidráulica,Renovable,2016-01-01,70585.444,0.07308809414156994,16,Extremadura
477,Turbinación bombeo,No-Renovable,2016-01-01,8713.401,0.009022339968297849,16,Extremadura
478,Nuclear,No-Renovable,2016-01-01,813949.267,0.8428083367012303,16,Extremadura
479,Solar fotovoltaica,Renovable,2016-01-01,40829.576,0.04227721361996936,16,Extremadura
480,Solar térmica,Renovable,2016-01-01,13848.125,0.014339118752079084,16,Extremadura
481,Otras renovables,Renovable,2016-01-01,15362.816,0.01590751404903845,16,Extremadura
482,Cogeneración,No-Renovable,2016-01-01,2469.814,0.0025573827678149535,16,Extremadura
483,Generación total,Generación total,2016-01-01,965758.443,1.0,16,Extremadura
484,Hidráulica,Renovable,2016-01-01,1374592.245,0.38697602019548544,17,Galicia
485,Turbinación bombeo,No-Renovable,2016-01-01,2675.981,0.0007533437506762127,17,Galicia
486,Carbón,No-Renovable,2016-01-01,720440.527,0.20281884241679116,17,Galicia
487,Ciclo combinado,No-Renovable,2016-01-01,13455.942,0.003788124734503562,17,Galicia
488,Eólica,Renovable,2016-01-01,1164268.502,0.32776555591794393,17,Galicia
489,Solar fotovoltaica,Renovable,2016-01-01,520.647,0.00014657285076325957,17,Galicia
490,Otras renovables,Renovable,2016-01-01,17143.536,0.004826258374066436,17,Galicia
491,Cogeneración,No-Renovable,2016-01-01,228500.496,0.06432759451132684,17,Galicia
492,Residuos no renovables,Renovable,2016-01-01,15270.086,0.004298843624221668,17,Galicia
493,Residuos renovables,Renovable,2016-01-01,15270.086,0.004298843624221668,17,Galicia
494,Generación total,Generación total,2016-01-01,3552138.0479999995,1.0,17,Galicia
495,Hidráulica,Renovable,2016-01-01,14617.722,0.0961556632052864,20,La_Rioja
496,Ciclo combinado,No-Renovable,2016-01-01,51264.957,0.3372218967856612,20,La_Rioja
497,Eólica,Renovable,2016-01-01,75435.454,0.49621590207844113,20,La_Rioja
498,Solar fotovoltaica,Renovable,2016-01-01,4700.021,0.03091683070274379,20,La_Rioja
499,Otras renovables,Renovable,2016-01-01,635.368,0.004179463217279438,20,La_Rioja
500,Cogeneración,No-Renovable,2016-01-01,5367.914,0.03531024401058809,20,La_Rioja
501,Generación total,Generación total,2016-01-01,152021.436,1.0,20,La_Rioja
502,Hidráulica,Renovable,2016-01-01,6267.944,0.021283254388890404,21,Murcia
503,Ciclo combinado,No-Renovable,2016-01-01,46766.415,0.15879872368059128,21,Murcia
504,Eólica,Renovable,2016-01-01,67168.148,0.22807427454914087,21,Murcia
505,Solar fotovoltaica,Renovable,2016-01-01,42130.752,0.1430579967547976,21,Murcia
506,Solar térmica,Renovable,2016-01-01,883.879,0.003001274677310145,21,Murcia
507,Otras renovables,Renovable,2016-01-01,4556.07,0.015470463173185959,21,Murcia
508,Cogeneración,No-Renovable,2016-01-01,126727.994,0.4303140127760836,21,Murcia
509,Generación total,Generación total,2016-01-01,294501.20200000005,1.0,21,Murcia
510,Hidráulica,Renovable,2017-01-01,262.545,0.00035221686903202394,8742,Canarias
511,Motores diésel,No-Renovable,2017-01-01,187922.753,0.25210750035818,8742,Canarias
512,Turbina de gas,No-Renovable,2017-01-01,31081.89,0.04169786504941162,8742,Canarias
513,Turbina de vapor,No-Renovable,2017-01-01,210591.342,0.2825185134909907,8742,Canarias
514,Ciclo combinado,No-Renovable,2017-01-01,280539.103,0.3763568321610104,8742,Canarias
515,Hidroeólica,Renovable,2017-01-01,1068.971,0.0014340765152870238,8742,Canarias
516,Eólica,Renovable,2017-01-01,15115.34,0.020277962746022636,8742,Canarias
517,Solar fotovoltaica,Renovable,2017-01-01,18013.853,0.024166458713222993,8742,Canarias
518,Otras renovables,Renovable,2017-01-01,811.431,0.0010885740968425383,8742,Canarias
519,Generación total,Generación total,2017-01-01,745407.228,1.0,8742,Canarias
520,Carbón,No-Renovable,2017-01-01,221058.173,0.5806181686760253,8743,Baleares
521,Motores diésel,No-Renovable,2017-01-01,84274.308,0.22134985426392406,8743,Baleares
522,Turbina de gas,No-Renovable,2017-01-01,13229.322,0.034747345498351935,8743,Baleares
523,Ciclo combinado,No-Renovable,2017-01-01,37633.499,0.09884589641592231,8743,Baleares
524,Eólica,Renovable,2017-01-01,468.562,0.0012306969095920999,8743,Baleares
525,Solar fotovoltaica,Renovable,2017-01-01,5799.134,0.015231658333604674,8743,Baleares
526,Otras renovables,Renovable,2017-01-01,159.457,0.000418820214001194,8743,Baleares
527,Cogeneración,No-Renovable,2017-01-01,3018.215,0.007927462903488803,8743,Baleares
528,Residuos no renovables,No-Renovable,2017-01-01,7544.1635,0.01981504839254468,8743,Baleares
529,Residuos renovables,Renovable,2017-01-01,7544.1635,0.01981504839254468,8743,Baleares
530,Generación total,Generación total,2017-01-01,380728.9970000001,1.0,8743,Baleares
531,Motores diésel,No-Renovable,2017-01-01,18539.673,0.9999793959618781,8744,Ceuta
532,Turbina de gas,No-Renovable,2017-01-01,0.382,2.0604038121785508e-05,8744,Ceuta
533,Generación total,Generación total,2017-01-01,18540.055,1.0,8744,Ceuta
534,Motores diésel,No-Renovable,2017-01-01,17659.624,0.9510634580714262,8745,Melilla
535,Turbina de gas,No-Renovable,2017-02-01,4.096,0.0002625289640719883,8745,Melilla
536,Solar fotovoltaica,Renovable,2017-01-01,4.628,0.00024924209507261086,8745,Melilla
537,Residuos no renovables,No-Renovable,2017-01-01,452.02,0.024343649916750552,8745,Melilla
538,Residuos renovables,Renovable,2017-01-01,452.02,0.024343649916750552,8745,Melilla
539,Generación total,Generación total,2017-01-01,18568.292,1.0,8745,Melilla
540,Hidráulica,Renovable,2017-01-01,28966.93,0.010860143560692249,4,Andalucía
541,Turbinación bombeo,No-Renovable,2017-01-01,20446.637,0.007665755851702679,4,Andalucía
542,Carbón,No-Renovable,2017-01-01,808180.811,0.3029993040497108,4,Andalucía
543,Ciclo combinado,No-Renovable,2017-01-01,511917.15,0.1919255419949725,4,Andalucía
544,Eólica,Renovable,2017-01-01,486002.615,0.18220978784330422,4,Andalucía
545,Solar fotovoltaica,Renovable,2017-01-01,105876.631,0.03969476269602748,4,Andalucía
546,Solar térmica,Renovable,2017-01-01,71769.211,0.026907371084806477,4,Andalucía
547,Otras renovables,Renovable,2017-01-01,124726.443,0.04676184451698882,4,Andalucía
548,Cogeneración,No-Renovable,2017-01-01,481661.362,0.1805821859257629,4,Andalucía
549,Residuos no renovables,Renovable,2017-01-01,27721.739,0.010393302476031848,4,Andalucía
550,Generación total,Generación total,2017-01-01,2667269.529,1.0,4,Andalucía
551,Hidráulica,Renovable,2017-01-01,192792.129,0.11408008331992059,5,Aragón
552,Turbinación bombeo,No-Renovable,2017-01-01,18309.887,0.010834433155402992,5,Aragón
553,Carbón,No-Renovable,2017-01-01,566856.081,0.3354233872840507,5,Aragón
554,Ciclo combinado,No-Renovable,2017-01-01,44634.775,0.026411549461990272,5,Aragón
555,Eólica,Renovable,2017-01-01,555685.491,0.32881346060010047,5,Aragón
556,Solar fotovoltaica,Renovable,2017-01-01,15602.544,0.009232428360821344,5,Aragón
557,Otras renovables,Renovable,2017-01-01,4781.263,0.00282919683621759,5,Aragón
558,Cogeneración,No-Renovable,2017-01-01,254873.385,0.15081516630188882,5,Aragón
559,Residuos no renovables,Renovable,2017-01-01,36436.291,0.021560294679607343,5,Aragón
560,Generación total,Generación total,2017-01-01,1689971.846,1.0,5,Aragón
561,Hidráulica,Renovable,2017-01-01,17878.633,0.10170051368374684,6,Cantabria
562,Turbinación bombeo,No-Renovable,2017-01-01,36863.891,0.20969593430782163,6,Cantabria
563,Eólica,Renovable,2017-01-01,7822.318,0.04449634145952989,6,Cantabria
564,Solar fotovoltaica,Renovable,2017-01-01,103.405,0.000588207253735106,6,Cantabria
565,Otras renovables,Renovable,2017-01-01,7349.406,0.04180623683423733,6,Cantabria
566,Cogeneración,No-Renovable,2017-01-01,99348.111,0.5651301149371935,6,Cantabria
567,Residuos no renovables,Renovable,2017-01-01,3215.558,0.0182913257618679,6,Cantabria
568,Residuos renovables,Renovable,2017-01-01,3215.558,0.0182913257618679,6,Cantabria
569,Generación total,Generación total,2017-01-01,175796.88,1.0,6,Cantabria
570,Hidráulica,Renovable,2017-01-01,37808.44,0.018621759472681725,7,Castilla_la_Mancha
571,Turbinación bombeo,No-Renovable,2017-01-01,363.75,0.00017915748463009784,7,Castilla_la_Mancha
572,Nuclear,No-Renovable,2017-01-01,741130.636,0.36502845505997156,7,Castilla_la_Mancha
573,Ciclo combinado,No-Renovable,2017-01-01,201971.787,0.09947699608293031,7,Castilla_la_Mancha
574,Eólica,Renovable,2017-01-01,822673.425,0.4051906570310034,7,Castilla_la_Mancha
575,Solar fotovoltaica,Renovable,2017-01-01,93197.369,0.04590242255445515,7,Castilla_la_Mancha
576,Solar térmica,Renovable,2017-01-01,16230.123,0.007993808967469684,7,Castilla_la_Mancha
577,Otras renovables,Renovable,2017-01-01,23743.209,0.01169422295941361,7,Castilla_la_Mancha
578,Cogeneración,No-Renovable,2017-01-01,93217.871,0.04591252038744452,7,Castilla_la_Mancha
579,Generación total,Generación total,2017-01-01,2030336.61,1.0,7,Castilla_la_Mancha
580,Hidráulica,Renovable,2017-01-01,679865.372,0.2044696323494654,8,Castilla_León
581,Turbinación bombeo,No-Renovable,2017-01-01,38834.123,0.011679369444961112,8,Castilla_León
582,Nuclear,No-Renovable,2017-01-01,-1906.104,0.0005732611192614844,8,Castilla_León
583,Carbón,No-Renovable,2017-01-01,1295668.159,0.3896724307906635,8,Castilla_León
584,Eólica,Renovable,2017-01-01,1058838.44,0.31844585040033707,8,Castilla_León
585,Solar fotovoltaica,Renovable,2017-01-01,49348.663,0.014841619232443665,8,Castilla_León
586,Otras renovables,Renovable,2017-01-01,22769.086,0.006847806690989051,8,Castilla_León
587,Cogeneración,No-Renovable,2017-01-01,177788.855,0.053470029971878635,8,Castilla_León
588,Generación total,Generación total,2017-01-01,3321206.594,1.0,8,Castilla_León
589,Hidráulica,Renovable,2017-01-01,254323.473,0.0636831133831092,9,Cataluña
590,Turbinación bombeo,No-Renovable,2017-01-01,15297.05,0.003830412340968191,9,Cataluña
591,Nuclear,No-Renovable,2017-01-01,2254940.523,0.5646416797649525,9,Cataluña
592,Ciclo combinado,No-Renovable,2017-01-01,652443.5,0.16337317549360694,9,Cataluña
593,Eólica,Renovable,2017-01-01,297735.172,0.07455349084752204,9,Cataluña
594,Solar fotovoltaica,Renovable,2017-01-01,19987.989,0.005005032979348074,9,Cataluña
595,Solar térmica,Renovable,2017-01-01,6716.683,0.0016818710439968003,9,Cataluña
596,Otras renovables,Renovable,2017-01-01,19754.85,0.004946654500964268,9,Cataluña
597,Cogeneración,No-Renovable,2017-01-01,447559.94,0.11206991658515747,9,Cataluña
598,Residuos no renovables,Renovable,2017-01-01,12462.8685,0.0031207275459166134,9,Cataluña
599,Residuos renovables,Renovable,2017-01-01,12355.8325,0.0030939255144577455,9,Cataluña
600,Generación total,Generación total,2017-01-01,3993577.8810000005,1.0,9,Cataluña
601,Hidráulica,Renovable,2017-01-01,40501.03,0.07520862876922248,10,País_Vasco
602,Ciclo combinado,No-Renovable,2017-01-01,197416.374,0.36659351095841236,10,País_Vasco
603,Eólica,Renovable,2017-01-01,37011.942,0.0687295460363846,10,País_Vasco
604,Solar fotovoltaica,Renovable,2017-01-01,1469.139,0.0027281264121279567,10,País_Vasco
605,Otras renovables,Renovable,2017-01-01,4125.436,0.0076607529397446465,10,País_Vasco
606,Cogeneración,No-Renovable,2017-01-01,183090.845,0.33999163459912635,10,País_Vasco
607,Residuos no renovables,Renovable,2017-01-01,45630.696,0.08473419258584894,10,País_Vasco
608,Residuos renovables,Renovable,2017-01-01,29270.273,0.0543536076991325,10,País_Vasco
609,Generación total,Generación total,2017-01-01,538515.7350000001,1.0,10,País_Vasco
610,Hidráulica,Renovable,2017-01-01,74870.719,0.04609031638818307,11,Asturias
611,Turbinación bombeo,No-Renovable,2017-01-01,1028.916,0.0006333993396919798,11,Asturias
612,Carbón,No-Renovable,2017-01-01,1208958.454,0.7442332381638898,11,Asturias
613,Ciclo combinado,No-Renovable,2017-01-01,123399.089,0.07596431729236582,11,Asturias
614,Eólica,Renovable,2017-01-01,88953.48,0.05475964558360812,11,Asturias
615,Solar fotovoltaica,Renovable,2017-01-01,26.577,1.6360766331745012e-05,11,Asturias
616,Otras renovables,Renovable,2017-01-01,23368.292,0.014385489896677062,11,Asturias
617,Cogeneración,No-Renovable,2017-01-01,36749.99,0.022623245629076486,11,Asturias
618,Residuos no renovables,Renovable,2017-01-01,67079.394,0.041293986940176025,11,Asturias
619,Generación total,Generación total,2017-01-01,1624434.9109999998,1.0,11,Asturias
620,Hidráulica,Renovable,2017-01-01,7750.341,0.07265750669251661,13,Madrid
621,Solar fotovoltaica,Renovable,2017-01-01,4601.593,0.0431387824347003,13,Madrid
622,Otras renovables,Renovable,2017-01-01,14179.16,0.13292607545839127,13,Madrid
623,Cogeneración,No-Renovable,2017-01-01,65322.532,0.6123823849766261,13,Madrid
624,Residuos no renovables,Renovable,2017-01-01,7407.9445,0.06944762521888283,13,Madrid
625,Residuos renovables,Renovable,2017-01-01,7407.9445,0.06944762521888283,13,Madrid
626,Generación total,Generación total,2017-01-01,106669.515,1.0,13,Madrid
627,Hidráulica,Renovable,2017-01-01,49738.778,0.07572002396861005,14,Navarra
