,class,type,date,value,percentage,aacc,comunidad
70,Nuclear,No-Renovable,2014-01-01,-1824.338,0.0005532649830571427,8,Castilla_León
71,Carbón,No-Renovable,2014-01-01,184638.987,0.055995262947021326,8,Castilla_León
72,Eólica,Renovable,2014-01-01,1672953.906,0.5073548950131339,8,Castilla_León
73,Solar fotovoltaica,Renovable,2014-01-01,29646.597,0.008990890935181385,8,Castilla_León
74,Otras renovables,Renovable,2014-01-01,23594.166,0.007155376828327543,8,Castilla_León
75,Cogeneración,No-Renovable,2014-01-01,237753.75,0.0721033188288147,8,Castilla_León
76,Generación total,Generación total,2014-01-01,3293755.0200000005,1.0,8,Castilla_León
77,Hidráulica,Renovable,2014-01-01,350750.472,0.09039133896574914,9,Cataluña
78,Turbinación bombeo,No-Renovable,2014-01-01,37561.696,0.009679964152020937,9,Cataluña
79,Nuclear,No-Renovable,2014-01-01,2229470.917,0.5745533576155146,9,Cataluña
80,Fuel + Gas,No-Renovable,2014-01-01,-148.739,3.833128802297538e-05,9,Cataluña
81,Ciclo combinado,No-Renovable,2014-01-01,384296.97,0.09903655291098318,9,Cataluña
82,Eólica,Renovable,2014-01-01,318156.911,0.08199170487929287,9,Cataluña
83,Solar fotovoltaica,Renovable,2014-01-01,19042.458,0.0049074011675714615,9,Cataluña
84,Solar térmica,Renovable,2014-01-01,3609.15,0.0009301082309826043,9,Cataluña
85,Otras renovables,Renovable,2014-01-01,26278.179,0.006772107167375759,9,Cataluña
86,Cogeneración,No-Renovable,2014-01-01,501846.001,0.12932992428017795,9,Cataluña
87,Residuos no renovables,Renovable,2014-01-01,4596.6865,0.0011846046711543213,9,Cataluña
88,Residuos renovables,Renovable,2014-01-01,4596.6865,0.0011846046711543213,9,Cataluña
89,Generación total,Generación total,2014-01-01,3880057.3879999993,1.0,9,Cataluña
90,Hidráulica,Renovable,2014-01-01,56137.321,0.11587315561599648,10,País_Vasco
91,Ciclo combinado,No-Renovable,2014-01-01,165356.45,0.34131257640454093,10,País_Vasco
92,Eólica,Renovable,2014-01-01,45514.873,0.09394733963117542,10,País_Vasco
93,Solar fotovoltaica,Renovable,2014-01-01,971.716,0.002005720922851905,10,País_Vasco
94,Otras renovables,Renovable,2014-01-01,6636.204,0.013697801838308212,10,País_Vasco
95,Cogeneración,No-Renovable,2014-01-01,145383.271,0.3000858980168574,10,País_Vasco
96,Residuos no renovables,Renovable,2014-01-01,37318.131,0.07702842821197581,10,País_Vasco
97,Residuos renovables,Renovable,2014-01-01,27154.22,0.05604907935829364,10,País_Vasco
98,Generación total,Generación total,2014-01-01,484472.1860000001,1.0,10,País_Vasco
99,Hidráulica,Renovable,2014-01-01,296233.85,0.27292868971188355,11,Asturias
100,Turbinación bombeo,No-Renovable,2014-01-01,6490.721,0.005980086265683029,11,Asturias
101,Carbón,No-Renovable,2014-01-01,448107.816,0.41285450353001124,11,Asturias
102,Ciclo combinado,No-Renovable,2014-01-01,18374.34,0.01692880317533142,11,Asturias
103,Eólica,Renovable,2014-01-01,194037.022,0.1787718391063544,11,Asturias
104,Solar fotovoltaica,Renovable,2014-01-01,29.743,2.7403073680136667e-05,11,Asturias
105,Otras renovables,Renovable,2014-01-01,49040.661,0.04518255881066485,11,Asturias
106,Cogeneración,No-Renovable,2014-01-01,31830.35,0.02932620873195502,11,Asturias
107,Residuos no renovables,Renovable,2014-01-01,41244.689,0.037999907594436416,11,Asturias
108,Generación total,Generación total,2014-01-01,1085389.1919999998,1.0,11,Asturias
109,Hidráulica,Renovable,2014-01-01,12442.591,0.10033492306341307,13,Madrid
110,Solar fotovoltaica,Renovable,2014-01-01,3679.91,0.029674164065208314,13,Madrid
111,Otras renovables,Renovable,2014-01-01,25262.01,0.20370852258803424,13,Madrid
112,Cogeneración,No-Renovable,2014-01-01,82626.059,0.6662823902833444,13,Madrid
113,Residuos no renovables,Renovable,2014-05-01,4638.9105,0.046188814135822126,13,Madrid
114,Residuos renovables,Renovable,2014-05-01,4638.9105,0.046188814135822126,13,Madrid
115,Generación total,Generación total,2014-01-01,124010.56999999999,1.0,13,Madrid
116,Hidráulica,Renovable,2014-01-01,75338.758,0.1801248025333759,14,Navarra
117,Ciclo combinado,No-Renovable,2014-01-01,22374.186,0.05349365906848403,14,Navarra
118,Eólica,Renovable,2014-01-01,200122.784,0.4784665676387901,14,Navarra
119,Solar fotovoltaica,Renovable,2014-01-01,10892.867,0.02604337487747444,14,Navarra
120,Otras renovables,Renovable,2014-01-01,26235.772,0.06272619002838715,14,Navarra
121,Cogeneración,No-Renovable,2014-01-01,83294.29,0.1991454058534884,14,Navarra
122,Generación total,Generación total,2014-01-01,418258.657,1.0,14,Navarra
123,Hidráulica,Renovable,2014-01-01,34110.921,0.01859125490752753,15,Valenciana
124,Turbinación bombeo,No-Renovable,2014-01-01,132070.227,0.07198138261502891,15,Valenciana
125,Nuclear,No-Renovable,2014-01-01,781846.21,0.42612458891374694,15,Valenciana
126,Fuel + Gas,No-Renovable,2014-02-01,6.254,3.981550009116757e-06,15,Valenciana
127,Ciclo combinado,No-Renovable,2014-01-01,289636.7,0.15785881947529587,15,Valenciana
128,Eólica,Renovable,2014-01-01,399713.468,0.21785324921481444,15,Valenciana
129,Solar fotovoltaica,Renovable,2014-01-01,28311.17,0.015430254087843188,15,Valenciana
130,Solar térmica,Renovable,2014-01-01,2603.24,0.0014188270796168757,15,Valenciana
131,Otras renovables,Renovable,2014-01-01,3450.038,0.0018803519230294738,15,Valenciana
132,Cogeneración,No-Renovable,2014-01-01,128228.163,0.0698873672938057,15,Valenciana
133,Residuos no renovables,Renovable,2014-01-01,34813.0,0.018973904489291153,15,Valenciana
134,Generación total,Generación total,2014-01-01,1834783.1369999999,1.0,15,Valenciana
135,Hidráulica,Renovable,2014-01-01,199719.418,0.1854782480619043,16,Extremadura
136,Turbinación bombeo,No-Renovable,2014-01-01,13253.187,0.012308156766192884,16,Extremadura
137,Nuclear,No-Renovable,2014-01-01,778385.139,0.7228816974578899,16,Extremadura
