project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Belene Original nuclear power plant,1,1000.0,nuclear,cancelled,,,,Bulgaria,https://gem.wiki/Belene_Original_nuclear_power_plant,43.6294,25.1867,Exact
Belene Original nuclear power plant,2,1000.0,nuclear,cancelled,,,,Bulgaria,https://gem.wiki/Belene_Original_nuclear_power_plant,43.6294,25.1867,Exact
Kozloduy nuclear power plant,1,440.0,nuclear,retired,1974.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,2,440.0,nuclear,retired,1975.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,3,440.0,nuclear,retired,1981.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,4,440.0,nuclear,retired,1982.0,DP RAO (State Enterprise “Radio Active Waste”),,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,5,1040.0,nuclear,operating,1988.0,Bulgarian Energy Holding CO,,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,6,1040.0,nuclear,operating,1993.0,Bulgarian Energy Holding CO,,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,7,1000.0,nuclear,pre-construction,,,,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Kozloduy nuclear power plant,8,1000.0,nuclear,announced,,,,Bulgaria,https://gem.wiki/Kozloduy_nuclear_power_plant,43.7497,23.7685,Exact
Bruce nuclear power plant,A1,868.0,nuclear,operating,1977.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3391,-81.5747,Exact
Bruce nuclear power plant,A2,836.0,nuclear,operating,1977.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3391,-81.5747,Exact
Bruce nuclear power plant,A3,865.0,nuclear,operating,1978.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3391,-81.5747,Exact
Bruce nuclear power plant,A4,868.0,nuclear,operating,1979.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3391,-81.5747,Exact
Bruce nuclear power plant,B5,872.0,nuclear,operating,1985.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.319,-81.6027,Exact
Bruce nuclear power plant,B6,891.0,nuclear,operating,1984.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.319,-81.6027,Exact
Bruce nuclear power plant,B7,872.0,nuclear,operating,1986.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.319,-81.6027,Exact
Bruce nuclear power plant,B8,872.0,nuclear,operating,1987.0,Ontario Power Generation,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.319,-81.6027,Exact
Bruce nuclear power plant,C1,1000.0,nuclear,cancelled,,,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3092,-81.5895,Exact
Bruce nuclear power plant,C2,1000.0,nuclear,cancelled,,,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3092,-81.5895,Exact
Bruce nuclear power plant,C3,1000.0,nuclear,cancelled,,,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3092,-81.5895,Exact
Bruce nuclear power plant,C4,1000.0,nuclear,cancelled,,,Bruce Power,Canada,https://gem.wiki/Bruce_nuclear_power_plant,44.3092,-81.5895,Exact
Chalk River nuclear power plant,,5.0,nuclear,pre-construction,2027.0,Ultra Safe Nuclear CORP; Ontario Power Generation,Ultra Safe Nuclear CORP; Ontario Power Generation,Canada,https://gem.wiki/Chalk_River_nuclear_power_plant,46.05001,-77.3636,Exact
Darlington New nuclear power plant,1,300.0,nuclear,pre-construction,2029.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_New_nuclear_power_plant,43.8733,-78.7057,Exact
Darlington New nuclear power plant,2,300.0,nuclear,announced,,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_New_nuclear_power_plant,43.8733,-78.7057,Exact
Darlington New nuclear power plant,3,300.0,nuclear,announced,,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_New_nuclear_power_plant,43.8733,-78.7057,Exact
