project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Soto de Ribera power station,coal,Spain,Unit 2,retired,254,1967,HC Energia,43.31172,-5.874,https://www.gem.wiki/Soto_de_Ribera_power_station
Soto de Ribera power station,coal,Spain,Unit 3,operating,350,1984,HC Energia,43.31172,-5.874,https://www.gem.wiki/Soto_de_Ribera_power_station
Teruel power station,coal,Spain,Unit 1,retired,368,1979,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station
Teruel power station,coal,Spain,Unit 2,retired,368,1979,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station
Teruel power station,coal,Spain,Unit 3,retired,366,1980,Endesa SA,40.99722,-0.38069,https://www.gem.wiki/Teruel_power_station
Torrelavega Mill power station,coal,Spain,Unit S1,retired,37,,Sniace SA,43.35306,-4.04583,https://www.gem.wiki/Torrelavega_Mill_power_station
Velilla del Río Carrión power station,coal,Spain,Unit 1,retired,154.9,1964,Iberdrola SA,42.81853,-4.8547,https://www.gem.wiki/Velilla_del_Río_Carrión_power_station
Velilla del Río Carrión power station,coal,Spain,Unit 2,retired,360.7,1984,Iberdrola SA,42.81853,-4.8547,https://www.gem.wiki/Velilla_del_Río_Carrión_power_station
Aceca 3 power station,oil_gas,Spain,1,operating,386.0,2005,Iberdrola Generacion SA,39.9442,-3.8558,https://www.gem.wiki/Aceca_3_power_station
Aceca 4 power station,oil_gas,Spain,1,operating,373.0,2006,Naturgy Energy Group SA,39.9427,-3.8548,https://www.gem.wiki/Aceca_4_power_station
Alcúdia power station,oil_gas,Spain,GT1,operating,37.5,1989,Endesa SA,39.810751,3.091411,https://www.gem.wiki/Alc%C3%BAdia_power_station
Alcúdia power station,oil_gas,Spain,GT2,operating,37.5,1989,Endesa SA,39.810751,3.091411,https://www.gem.wiki/Alc%C3%BAdia_power_station
Amorebieta power station,oil_gas,Spain,1,operating,786.0,2005,Bizkaia Energia SLU,43.2347,-2.7497,https://www.gem.wiki/Amorebieta_power_station
Arcos de la Frontera power station,oil_gas,Spain,CC-1,operating,389.2,2005,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station
Arcos de la Frontera power station,oil_gas,Spain,CC-2,operating,373.2,2005,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station
Arcos de la Frontera power station,oil_gas,Spain,CC-3,operating,823.0,2005,Iberdrola Generacion SA,36.6721,-5.8164,https://www.gem.wiki/Arcos_de_la_Frontera_power_station
Arrubal power station,oil_gas,Spain,1,operating,394.6,2005,ContourGlobal PLC,42.4194,-2.2511,https://www.gem.wiki/Arrubal_power_station
Arrubal power station,oil_gas,Spain,2,operating,390.0,2005,ContourGlobal PLC,42.4194,-2.2511,https://www.gem.wiki/Arrubal_power_station
As Pontes power station,oil_gas,Spain,5,operating,856.0,2008,Endesa SA,43.4451,-7.8621,https://www.gem.wiki/As_Pontes_power_station
Bahia de Algeciras power station,oil_gas,Spain,3,operating,821.0,2011,Repsol SA,36.1829,-5.3905,https://www.gem.wiki/Bahia_de_Algeciras_power_station
Bahía de Bizkaia power station,oil_gas,Spain,1,operating,785.0,2003,Bahia de Bizkaia Electricidad SL,43.35904,-3.09211,https://www.gem.wiki/Bahía_de_Bizkaia_power_station
Barcelona Cartonboard power station,oil_gas,Spain,1,operating,46.0,1998,RDM Barcelona Cartonboard SAU,41.46418,1.9557,https://www.gem.wiki/Barcelona_Cartonboard_power_station
Barranco de Tirajana power station,oil_gas,Spain,1,operating,80.0,1995,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Barranco de Tirajana power station,oil_gas,Spain,2,operating,80.0,1996,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Barranco de Tirajana power station,oil_gas,Spain,3,operating,37.5,1992,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Barranco de Tirajana power station,oil_gas,Spain,4,operating,37.5,1995,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Barranco de Tirajana power station,oil_gas,Spain,5,operating,226.0,2003,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Barranco de Tirajana power station,oil_gas,Spain,6,operating,236.0,2007,Endesa SA,27.804006,-15.435877,https://www.gem.wiki/Barranco_de_Tirajana_power_station
Besós 3 power station,oil_gas,Spain,1,operating,412.0,2002,Endesa SA,41.41847,2.22859,https://www.gem.wiki/Besós_3_power_station
Besós 4 power station,oil_gas,Spain,1,operating,400.0,2002,Naturgy Energy Group SA,41.41847,2.22859,https://www.gem.wiki/Besós_4_power_station
Besós 5 power station,oil_gas,Spain,1,operating,859.0,2010,Endesa SA,41.41847,2.22859,https://www.gem.wiki/Besós_5_power_station
Bioetanol Galicia power station,oil_gas,Spain,1,operating,25.0,2003,Bioetanol Galicia SA,43.15621666,-8.023318585,https://www.gem.wiki/Bioetanol_Galicia_power_station
Ca's Tresorer power station,oil_gas,Spain,CC I,operating,230.0,2006,Endesa SA,39.5672,2.6895,https://www.gem.wiki/Cas_Tresorer_power_station
Ca's Tresorer power station,oil_gas,Spain,CC II,operating,230.0,2010,Endesa SA,39.5672,2.6895,https://www.gem.wiki/Cas_Tresorer_power_station
Campo de Gibraltar power station,oil_gas,Spain,1,operating,392.6,2004,Puente Mayorga Generación SLU,36.1834,-5.3933,https://www.gem.wiki/Campo_de_Gibraltar_power_station
