project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Ictio Alcazar solar farm,solar,Spain,,construction,47.1,2023.0,Galp [75.01%]; Actividades de Construccion y Servicios [24.99%],39.3882,-3.2117,https://gem.wiki/Ictio_Alcazar_solar_farm
Ictio Alcántara solar farm,solar,Spain,,pre-construction,30.0,,Ictio Solar,39.7195,-6.8968,https://gem.wiki/Ictio_Alcántara_solar_farm
Ictio Manzanares solar farm,solar,Spain,,operating,35.0,2022.0,Galp [75.01%]; Actividades de Construccion y Servicios [24.99%],39.0146,-3.3721,https://gem.wiki/Ictio_Manzanares_solar_farm
Ictio Orión solar farm,solar,Spain,,pre-construction,141.5,,Ictio Solar,39.5266,-5.6307,https://gem.wiki/Ictio_Orión_solar_farm
Ignis Solar 1 solar farm,solar,Spain,,operating,49.8,,,41.2874,-0.324,https://gem.wiki/Ignis_Solar_1_solar_farm
Illora solar farm,solar,Spain,,pre-construction,73.0,,Opdenergy,37.2879,-3.8797,https://gem.wiki/Illora_solar_farm
Imperial solar farm,solar,Spain,,pre-construction,82.0,,,39.6111,-2.7904,https://gem.wiki/Imperial_solar_farm
Imperial solar farm,solar,Spain,,pre-construction,88.0,,,39.6111,-2.7904,https://gem.wiki/Imperial_solar_farm
Itel solar farm,solar,Spain,,pre-construction,119.9,,Atitlan Helios,38.0843,-0.9467,https://gem.wiki/Itel_solar_farm
Iznajar solar farm,solar,Spain,,pre-construction,100.0,,Ignis Energia,39.8615,-4.0281,https://gem.wiki/Iznajar_solar_farm
Jalon solar farm,solar,Spain,,pre-construction,231.0,,,41.3473,-0.7809,https://gem.wiki/Jalon_solar_farm
Jaén (Aquila Clean Energy) solar farm,solar,Spain,,operating,50.0,,,37.7798,-3.7883,https://gem.wiki/Jaén_(Aquila_Clean_Energy)_solar_farm
Jerez De Los Caballeros solar farm,solar,Spain,,announced,50.0,,REEF Development LTD,38.3266,-6.7788,https://gem.wiki/Jerez_De_Los_Caballeros_solar_farm
Jerez de la Frontera solar farm,solar,Spain,,pre-construction,150.0,,,37.6087,-4.6016,https://gem.wiki/Jerez_de_la_Frontera_solar_farm
Jeréz Las Torres H2 solar farm,solar,Spain,,pre-construction,440.0,,,37.6087,-4.6016,https://gem.wiki/Jeréz_Las_Torres_H2_solar_farm
José Cabrera (Grenergy) solar farm,solar,Spain,,pre-construction,50.0,,Grenergy,40.6302,-3.1909,https://gem.wiki/José_Cabrera_(Grenergy)_solar_farm
Jumilla solar farm,solar,Spain,,construction,34.0,,Naturgy,37.9809,-1.1248,https://gem.wiki/Jumilla_solar_farm
Kissoro solar farm,solar,Spain,,operating,42.3,2022.0,Blue Elephant Energy AG (BEE),37.1766,-2.9497,https://gem.wiki/Kissoro_solar_farm
La Africana Thermosolar farm,solar,Spain,,operating,49.9,2012.0,Magtel; TSK; Grupo Ortiz,37.7553,-5.0576,https://gem.wiki/La_Africana_Thermosolar_farm
La Alcarria solar farm,solar,Spain,,pre-construction,365.3,,,39.6111,-2.7904,https://gem.wiki/La_Alcarria_solar_farm
La Aljorra solar farm,solar,Spain,,pre-construction,31.1,,,37.7214,-1.1724,https://gem.wiki/La_Aljorra_solar_farm
La Atalaya solar farm,solar,Spain,,construction,120.0,,X-Elio,38.6375,-0.8637,https://gem.wiki/La_Atalaya_solar_farm
La Cabrita solar farm,solar,Spain,,operating,46.2,2021.0,UTE Aurinka International SL; Steag New Energies GMBH,37.0444,-2.3221,https://gem.wiki/La_Cabrita_solar_farm
La Campiña solar farm,solar,Spain,,pre-construction,225.0,,,39.6111,-2.7904,https://gem.wiki/La_Campiña_solar_farm
La Cerámica solar farm,solar,Spain,,pre-construction,94.9,,,39.5578,-0.7295,https://gem.wiki/La_Cerámica_solar_farm
La Cima solar farm,solar,Spain,,pre-construction,150.0,,,39.6111,-2.7904,https://gem.wiki/La_Cima_solar_farm
La Concepcion solar farm,solar,Spain,,pre-construction,51.0,,Matrix Renewables,37.4519,-4.1546,https://gem.wiki/La_Concepcion_solar_farm
La Condesa solar farm,solar,Spain,,pre-construction,89.1,,,41.3473,-0.7809,https://gem.wiki/La_Condesa_solar_farm
La Dehesa CSP solar farm,solar,Spain,,operating,49.9,2011.0,Renovables SAMCA,38.9507,-6.4683,https://gem.wiki/La_Dehesa_CSP_solar_farm
La Enjarada solar farm,solar,Spain,,pre-construction,122.0,,,38.791,-5.6362,https://gem.wiki/La_Enjarada_solar_farm
La Fernandina solar farm,solar,Spain,,operating,45.0,2019.0,Opdenergy,38.9492,-6.3337,https://gem.wiki/La_Fernandina_solar_farm
La Florida CSP solar farm,solar,Spain,,operating,49.9,2010.0,Renovables SAMCA,38.8158,-6.8375,https://gem.wiki/La_Florida_CSP_solar_farm
La Flota solar farm,solar,Spain,,pre-construction,89.9,,X-Elio,38.1801,-1.1265,https://gem.wiki/La_Flota_solar_farm
La Guita solar farm,solar,Spain,,operating,46.6,2022.0,Renewables Infrastructure Group LTD (TRIG),36.6061,-5.7988,https://gem.wiki/La_Guita_solar_farm
La Isla solar farm,solar,Spain,,operating,157.5,,Ardian; White Summit Capital,37.243,-5.8741,https://gem.wiki/La_Isla_solar_farm
La Labranza solar farm,solar,Spain,,pre-construction,60.0,,,39.6111,-2.7904,https://gem.wiki/La_Labranza_solar_farm
La Magascona solar farm,solar,Spain,,operating,23.0,2007.0,FSL Solar,39.4329,-5.9353,https://gem.wiki/La_Magascona_solar_farm
La Majada solar farm,solar,Spain,,pre-construction,214.0,,,38.791,-5.6362,https://gem.wiki/La_Majada_solar_farm
La Nava solar farm,solar,Spain,,operating,48.0,2019.0,Naturgy,38.6766,-4.1907,https://gem.wiki/La_Nava_solar_farm
La Pinilla solar farm,solar,Spain,,operating,48.8,2021.0,China Three Gorges CORP (CTG),37.7214,-1.1724,https://gem.wiki/La_Pinilla_solar_farm
La Pradera solar farm,solar,Spain,,pre-construction,300.0,,Naturgy,41.8518,-4.2423,https://gem.wiki/La_Pradera_solar_farm
La Rambla solar farm,solar,Spain,,pre-construction,100.0,,Capital Energy,37.0409,-2.2011,https://gem.wiki/La_Rambla_solar_farm
La Revuelta solar farm,solar,Spain,,pre-construction,125.9,,Enel Green Power España,39.0011,-3.3712,https://gem.wiki/La_Revuelta_solar_farm
La Risca - Alvarado 1 CSP solar farm,solar,Spain,,operating,50.0,2009.0,Acciona,38.827,-6.826,https://gem.wiki/La_Risca_-_Alvarado_1_CSP_solar_farm
La Robla solar farm,solar,Spain,,construction,450.0,,Naturgy; Enagás Renovable,42.799,-5.6248,https://gem.wiki/La_Robla_solar_farm
La Roca solar farm,solar,Spain,,pre-construction,177.5,,,38.791,-5.6362,https://gem.wiki/La_Roca_solar_farm
La Roda solar farm,solar,Spain,,pre-construction,150.5,,,37.6087,-4.6016,https://gem.wiki/La_Roda_solar_farm
La Serna solar farm,solar,Spain,,pre-construction,49.5,,Naturgy,41.8518,-4.2423,https://gem.wiki/La_Serna_solar_farm
La Solana (Bruc Energy) solar farm,solar,Spain,,pre-construction,220.0,,Bruc Iberia Energy Investment Partners,38.9839,-3.9315,https://gem.wiki/La_Solana_(Bruc_Energy)_solar_farm
La Solanilla solar farm,solar,Spain,,operating,50.0,2020.0,Abdul Latif Jameel Energy and Environmental Services,39.431,-5.9253,https://gem.wiki/La_Solanilla_solar_farm
La Torre 40 solar farm,solar,Spain,,operating,42.0,2022.0,,37.7813,-3.7876,https://gem.wiki/La_Torre_40_solar_farm
La Vaguada solar farm,solar,Spain,,pre-construction,108.8,,,39.8704,-4.0334,https://gem.wiki/La_Vaguada_solar_farm
La Vega (Capital Energy) solar farm,solar,Spain,,pre-construction,130.0,,Capital Energy,40.257,-3.7801,https://gem.wiki/La_Vega_(Capital_Energy)_solar_farm
La Vega solar farm,solar,Spain,,operating,50.0,2020.0,Endesa,36.9898,-4.913,https://gem.wiki/La_Vega_solar_farm
La Vega solar farm,solar,Spain,,operating,36.0,2020.0,Endesa,36.9898,-4.913,https://gem.wiki/La_Vega_solar_farm
La Verilleja solar farm,solar,Spain,,operating,26.0,2010.0,SolEs Badajoz GMBH,38.7247,-5.5138,https://gem.wiki/La_Verilleja_solar_farm
Laguna solar farm,solar,Spain,,pre-construction,88.4,,,38.791,-5.6362,https://gem.wiki/Laguna_solar_farm
Lamos solar farm,solar,Spain,,pre-construction,53.5,,,41.3473,-0.7809,https://gem.wiki/Lamos_solar_farm
Larral-Peñaza solar farm,solar,Spain,,pre-construction,71.0,,Opdenergy,41.6248,-1.0321,https://gem.wiki/Larral-Peñaza_solar_farm
Las Arenas solar farm,solar,Spain,,pre-construction,51.0,,,37.6087,-4.6016,https://gem.wiki/Las_Arenas_solar_farm
Las Brozas solar farm,solar,Spain,,pre-construction,100.0,,,38.791,-5.6362,https://gem.wiki/Las_Brozas_solar_farm
Las Casas solar farm,solar,Spain,,pre-construction,135.0,,,39.6111,-2.7904,https://gem.wiki/Las_Casas_solar_farm
Las Corchas solar farm,solar,Spain,,operating,50.0,2020.0,Endesa,37.4743,-5.7034,https://gem.wiki/Las_Corchas_solar_farm
Las Coronas solar farm,solar,Spain,,pre-construction,50.1,,Opdenergy,41.587,-5.1341,https://gem.wiki/Las_Coronas_solar_farm
Las Ermitas solar farm,solar,Spain,,pre-construction,254.1,,,41.3473,-0.7809,https://gem.wiki/Las_Ermitas_solar_farm
Las Jaras solar farm,solar,Spain,,construction,50.0,,Naturgy,38.7176,-6.8227,https://gem.wiki/Las_Jaras_solar_farm
Las Naranjillas solar farm,solar,Spain,,operating,50.0,2021.0,Amarenco,37.4773,-5.6591,https://gem.wiki/Las_Naranjillas_solar_farm
Las Navas solar farm,solar,Spain,,pre-construction,100.0,,,39.6111,-2.7904,https://gem.wiki/Las_Navas_solar_farm
Las Pastorizas solar farm,solar,Spain,,pre-construction,250.0,,,37.6087,-4.6016,https://gem.wiki/Las_Pastorizas_solar_farm
Las Quinientas solar farm,solar,Spain,,operating,110.0,2021.0,Bruc Iberia Energy Investment Partners,36.6123,-6.1122,https://gem.wiki/Las_Quinientas_solar_farm
Las Vaguadas solar farm,solar,Spain,,construction,27.0,2023.0,RWE AG,38.8452,-6.9715,https://gem.wiki/Las_Vaguadas_solar_farm
Lebrija 1 CSP solar farm,solar,Spain,,operating,50.0,2011.0,Solel Renovables SL [50%]; Valoriza Energía [50%],37.0058,-6.049,https://gem.wiki/Lebrija_1_CSP_solar_farm
Leon (Euder Energy) solar farm,solar,Spain,,announced,50.0,,Euder Energy SL,42.604,-5.5704,https://gem.wiki/Leon_(Euder_Energy)_solar_farm
Leon (Euder Energy) solar farm,solar,Spain,,announced,50.0,,Euder Energy SL,42.604,-5.5704,https://gem.wiki/Leon_(Euder_Energy)_solar_farm
Leon (Euder Energy) solar farm,solar,Spain,,announced,50.0,,Euder Energy SL,42.604,-5.5704,https://gem.wiki/Leon_(Euder_Energy)_solar_farm
Lepe solar farm,solar,Spain,,pre-construction,90.0,,Ence Energía y Celulosa,37.3104,-7.2522,https://gem.wiki/Lepe_solar_farm
Liana solar farm,solar,Spain,,pre-construction,191.4,,,41.3473,-0.7809,https://gem.wiki/Liana_solar_farm
Libienergy Aragonesa solar farm,solar,Spain,,pre-construction,37.5,,Libienergy Energías SL,41.5325,0.3532,https://gem.wiki/Libienergy_Aragonesa_solar_farm
Limonero solar farm,solar,Spain,,pre-construction,124.9,,Ignis Energia,39.4874,-1.1027,https://gem.wiki/Limonero_solar_farm
Linares solar farm,solar,Spain,,pre-construction,168.0,,,37.6087,-4.6016,https://gem.wiki/Linares_solar_farm
Lizandra solar farm,solar,Spain,,pre-construction,85.7,,,41.3473,-0.7809,https://gem.wiki/Lizandra_solar_farm
Llanos del Este solar farm,solar,Spain,,pre-construction,120.9,,,41.3473,-0.7809,https://gem.wiki/Llanos_del_Este_solar_farm
Logro solar farm,solar,Spain,,operating,47.1,,,41.2617,-0.1265,https://gem.wiki/Logro_solar_farm
Lomillas Hybrid solar farm,solar,Spain,,construction,39.0,,EDP Renewables,39.4691,-2.1709,https://gem.wiki/Lomillas_Hybrid_solar_farm
Lorca solar farm,solar,Spain,,construction,339.0,2023.0,Brookfield Renewable Partners; KKR,37.671,-1.6973,https://gem.wiki/Lorca_solar_farm
Los Belos solar farm,solar,Spain,,operating,50.0,2020.0,Opdenergy,41.4936,-1.0927,https://gem.wiki/Los_Belos_solar_farm
Los Corrales solar farm,solar,Spain,,pre-construction,250.0,,Naturgy,41.8518,-4.2423,https://gem.wiki/Los_Corrales_solar_farm
Los Escuderos solar farm,solar,Spain,,operating,50.0,,Grenergy Renovables,39.9312,-2.4474,https://gem.wiki/Los_Escuderos_solar_farm
Los Escuderos solar farm,solar,Spain,,operating,50.0,,Grenergy Renovables,39.9312,-2.4474,https://gem.wiki/Los_Escuderos_solar_farm
Los Escuderos solar farm,solar,Spain,,operating,50.0,,Grenergy Renovables,39.9312,-2.4474,https://gem.wiki/Los_Escuderos_solar_farm
Los Escuderos solar farm,solar,Spain,,operating,50.0,,Grenergy Renovables,39.9312,-2.4474,https://gem.wiki/Los_Escuderos_solar_farm
Los Gonzalez solar farm,solar,Spain,,operating,50.0,2020.0,Encavis AG,37.2507,-5.6827,https://gem.wiki/Los_Gonzalez_solar_farm
Los Hierros solar farm,solar,Spain,,pre-construction,79.4,,Stratkraft,39.3859,-0.7419,https://gem.wiki/Los_Hierros_solar_farm
Los Limonetes solar farm,solar,Spain,,operating,49.9,,,38.7771,-6.8101,https://gem.wiki/Los_Limonetes_solar_farm
Los Llanos solar farm (Spain),solar,Spain,,construction,50.0,,Brookfield Renewable Partners; KKR,38.7986,-6.2371,https://gem.wiki/Los_Llanos_solar_farm_(Spain)
Los Llanos solar farm (Spain),solar,Spain,,construction,35.0,,Brookfield Renewable Partners; KKR,38.7986,-6.2371,https://gem.wiki/Los_Llanos_solar_farm_(Spain)
Los Llanos solar farm (Spain),solar,Spain,,construction,50.0,,Brookfield Renewable Partners; KKR,38.7986,-6.2371,https://gem.wiki/Los_Llanos_solar_farm_(Spain)
Los Naranjos solar farm,solar,Spain,,operating,50.0,2020.0,Endesa,37.4283,-5.8708,https://gem.wiki/Los_Naranjos_solar_farm
Los Negrillos solar farm,solar,Spain,,pre-construction,79.7,,,39.6111,-2.7904,https://gem.wiki/Los_Negrillos_solar_farm
Los Nevados solar farm,solar,Spain,,pre-construction,100.0,,,39.6111,-2.7904,https://gem.wiki/Los_Nevados_solar_farm
Los Pastores solar farm,solar,Spain,,pre-construction,116.5,,,39.6111,-2.7904,https://gem.wiki/Los_Pastores_solar_farm
Los Predios solar farm,solar,Spain,,pre-construction,79.4,,Stratkraft,39.3925,-0.7522,https://gem.wiki/Los_Predios_solar_farm
Los Quincetos solar farm,solar,Spain,,pre-construction,50.1,,Opdenergy,41.6328,-5.178,https://gem.wiki/Los_Quincetos_solar_farm
Los Silos solar farm,solar,Spain,,pre-construction,50.0,,Opdenergy,41.2135,-4.6773,https://gem.wiki/Los_Silos_solar_farm
Lucena solar farm,solar,Spain,,pre-construction,114.2,,,41.3473,-0.7809,https://gem.wiki/Lucena_solar_farm
Luciérnaga solar farm,solar,Spain,,pre-construction,115.0,,,39.6111,-2.7904,https://gem.wiki/Luciérnaga_solar_farm
Luke solar farm,solar,Spain,,pre-construction,84.9,,Ventaja Solar 22 SL,37.6087,-4.6016,https://gem.wiki/Luke_solar_farm
Luminora solar farm,solar,Spain,,pre-construction,200.0,,Total Energies SE,37.8346,-0.7927,https://gem.wiki/Luminora_solar_farm
Luzentia solar farm,solar,Spain,,operating,23.0,2007.0,Cubico Sustainable Investments,38.4715,-1.4231,https://gem.wiki/Luzentia_solar_farm
MRH1 solar farm,solar,Spain,,pre-construction,50.0,,Matrix Renewables,39.5512,-2.755,https://gem.wiki/MRH1_solar_farm
MRH2 solar farm,solar,Spain,,pre-construction,100.0,,Matrix Renewables,41.7494,-4.7398,https://gem.wiki/MRH2_solar_farm
MRH3 solar farm,solar,Spain,,pre-construction,150.0,,Matrix Renewables,41.7494,-4.7398,https://gem.wiki/MRH3_solar_farm
MRV solar farm,solar,Spain,,pre-construction,55.0,,Matrix Renewables,42.0093,-4.5276,https://gem.wiki/MRV_solar_farm
Madrid Norte solar farm,solar,Spain,,pre-construction,92.0,,Matrix Renewables,39.5512,-2.755,https://gem.wiki/Madrid_Norte_solar_farm
Magallon (Fornax) solar farm,solar,Spain,,pre-construction,119.8,,Fornax Energy,41.8329,-1.4647,https://gem.wiki/Magallon_(Fornax)_solar_farm
Magallon (Fornax) solar farm,solar,Spain,,pre-construction,119.8,,Fornax Energy,41.8329,-1.4647,https://gem.wiki/Magallon_(Fornax)_solar_farm
Magallon (Fornax) solar farm,solar,Spain,,pre-construction,119.8,,Fornax Energy,41.8329,-1.4647,https://gem.wiki/Magallon_(Fornax)_solar_farm
Magda solar farm,solar,Spain,,pre-construction,150.0,,Akuo Energy,40.008,-0.1038,https://gem.wiki/Magda_solar_farm
Maira Alpha solar farm,solar,Spain,,pre-construction,169.9,,,41.77,-4.2093,https://gem.wiki/Maira_Alpha_solar_farm
Maira Beta solar farm,solar,Spain,,pre-construction,149.9,,,41.77,-4.2093,https://gem.wiki/Maira_Beta_solar_farm
Majada Alta solar farm,solar,Spain,,construction,50.0,2024.0,Iberdrola SA,39.6511,-7.4991,https://gem.wiki/Majada_Alta_solar_farm
Majadas CSP solar farm,solar,Spain,,operating,50.0,2010.0,Acciona,39.9696,-5.7417,https://gem.wiki/Majadas_CSP_solar_farm
Majadas solar farm,solar,Spain,,pre-construction,200.0,,,39.6111,-2.7904,https://gem.wiki/Majadas_solar_farm
Malabrigo solar farm,solar,Spain,,operating,46.6,2022.0,Renewables Infrastructure Group LTD (TRIG),36.6901,-6.1264,https://gem.wiki/Malabrigo_solar_farm
Malaga solar farm,solar,Spain,,announced,103.8,,Euder Energy SL,36.7339,-4.5299,https://gem.wiki/Malaga_solar_farm
Manantiales solar farm,solar,Spain,,construction,30.0,,Iberdrola SA,40.6341,-3.1717,https://gem.wiki/Manantiales_solar_farm
Manchasol CSP solar farm,solar,Spain,,operating,50.0,2011.0,Cobra Group,39.1887,-3.3116,https://gem.wiki/Manchasol_CSP_solar_farm
Manchasol CSP solar farm,solar,Spain,,operating,50.0,2011.0,Cobra Group,39.1772,-3.3131,https://gem.wiki/Manchasol_CSP_solar_farm
Mangraners & Albatarrec solar farm,solar,Spain,,announced,180.0,,Solaria Energía y Medio Ambiente SA,41.6131,0.5016,https://gem.wiki/Mangraners_&_Albatarrec_solar_farm
Mantia solar farm,solar,Spain,,pre-construction,124.9,,,40.0213,-3.9894,https://gem.wiki/Mantia_solar_farm
Mantia solar farm,solar,Spain,,pre-construction,29.9,,,40.0213,-3.9894,https://gem.wiki/Mantia_solar_farm
Mantina 3 solar farm,solar,Spain,,pre-construction,29.9,,,39.6111,-2.7904,https://gem.wiki/Mantina_3_solar_farm
Manto solar farm,solar,Spain,,pre-construction,53.5,,,41.3473,-0.7809,https://gem.wiki/Manto_solar_farm
Manzanares (Elawan Energy) solar farm,solar,Spain,,construction,36.0,2023.0,Elawan Energy,39.0242,-3.381,https://gem.wiki/Manzanares_(Elawan_Energy)_solar_farm
Manzanares Gorbea solar farm,solar,Spain,,pre-construction,85.2,,,39.6111,-2.7904,https://gem.wiki/Manzanares_Gorbea_solar_farm
Manzanares solar farm,solar,Spain,,construction,42.0,2024.0,China Three Gorges CORP (CTG),38.9964,-3.3847,https://gem.wiki/Manzanares_solar_farm
Manzanares solar farm,solar,Spain,,construction,42.0,,China Three Gorges CORP (CTG),38.9964,-3.3847,https://gem.wiki/Manzanares_solar_farm
Maragato Solar 1 solar farm,solar,Spain,,pre-construction,181.4,,Stratkraft,42.4099,-6.0974,https://gem.wiki/Maragato_Solar_1_solar_farm
Maragato solar farm,solar,Spain,,pre-construction,139.5,,Zabar Solar Group,42.4543,-6.0155,https://gem.wiki/Maragato_solar_farm
Marciaga solar farm,solar,Spain,,pre-construction,62.5,,Ignis Energia,36.7862,-4.8434,https://gem.wiki/Marciaga_solar_farm
Marmolejo solar farm,solar,Spain,,pre-construction,30.0,,Greenalia,38.0449,-4.171,https://gem.wiki/Marmolejo_solar_farm
Marmolejo solar farm,solar,Spain,,pre-construction,30.0,,Greenalia,38.0449,-4.171,https://gem.wiki/Marmolejo_solar_farm
Martiánez solar farm,solar,Spain,,pre-construction,51.5,,Total Energies SE,40.4195,-3.698,https://gem.wiki/Martiánez_solar_farm
Matahermosa solar farm,solar,Spain,,pre-construction,75.4,,,39.6111,-2.7904,https://gem.wiki/Matahermosa_solar_farm
Mauircio solar farm,solar,Spain,,pre-construction,100.0,,Total Energies SE,40.4195,-3.698,https://gem.wiki/Mauircio_solar_farm
Mauricio solar farm,solar,Spain,,pre-construction,100.0,,,40.4325,-3.6799,https://gem.wiki/Mauricio_solar_farm
Meco solar farm,solar,Spain,,pre-construction,50.0,,Matrix Renewables,40.5458,-3.3103,https://gem.wiki/Meco_solar_farm
Medina solar farm,solar,Spain,,operating,30.0,2019.0,Solaria Energía y Medio Ambiente SA,41.3057,-4.9299,https://gem.wiki/Medina_solar_farm
Mediomonte solar farm,solar,Spain,,operating,49.8,,,41.2874,-0.324,https://gem.wiki/Mediomonte_solar_farm
Minglanilla solar farm,solar,Spain,,operating,99.6,2022.0,Enel Green Power España,39.5331,-1.5974,https://gem.wiki/Minglanilla_solar_farm
Minglanilla solar farm,solar,Spain,,operating,99.6,2022.0,Enel Green Power España,39.5331,-1.5974,https://gem.wiki/Minglanilla_solar_farm
Mirabel Ellomay solar farm,solar,Spain,,pre-construction,300.0,,,38.791,-5.6362,https://gem.wiki/Mirabel_Ellomay_solar_farm
Miraflores solar farm,solar,Spain,,operating,22.0,2022.0,Naturgy,38.7503,-5.5455,https://gem.wiki/Miraflores_solar_farm
Miralcampo solar farm,solar,Spain,,pre-construction,287.3,,,39.6111,-2.7904,https://gem.wiki/Miralcampo_solar_farm
Miramundo solar farm,solar,Spain,,operating,50.0,2019.0,Opdenergy,36.5409,-6.0828,https://gem.wiki/Miramundo_solar_farm
Mocatero solar farm,solar,Spain,,operating,40.1,,,41.2874,-0.324,https://gem.wiki/Mocatero_solar_farm
Monclova solar farm,solar,Spain,,operating,50.0,2019.0,Solarpack,37.4744,-5.3375,https://gem.wiki/Monclova_solar_farm
Monforte del Cid solar farm,solar,Spain,,pre-construction,100.0,,Bruc Iberia Energy Investment Partners,38.3621,-0.4845,https://gem.wiki/Monforte_del_Cid_solar_farm
Monteria (Grupo Ignis) solar farm,solar,Spain,,pre-construction,65.0,,Ignis Energia,40.5718,-3.2918,https://gem.wiki/Monteria_(Grupo_Ignis)_solar_farm
Montería (Total Energies) solar farm,solar,Spain,,pre-construction,45.5,,Total Energies SE,40.2033,-3.8764,https://gem.wiki/Montería_(Total_Energies)_solar_farm
Montería (Total Energies) solar farm,solar,Spain,,pre-construction,45.5,,Total Energies SE,40.2033,-3.8764,https://gem.wiki/Montería_(Total_Energies)_solar_farm
Montería 2 (Bidasoa) solar farm,solar,Spain,,pre-construction,50.0,,,39.6111,-2.7904,https://gem.wiki/Montería_2_(Bidasoa)_solar_farm
Montería 2 (Bidasoa) solar farm,solar,Spain,,pre-construction,50.0,,,39.6111,-2.7904,https://gem.wiki/Montería_2_(Bidasoa)_solar_farm
Montesol solar farm,solar,Spain,,operating,50.0,2020.0,Opdenergy,40.7088,-0.9188,https://gem.wiki/Montesol_solar_farm
Montesordo solar farm,solar,Spain,,pre-construction,75.0,,,38.791,-5.6362,https://gem.wiki/Montesordo_solar_farm
Montesordo solar farm,solar,Spain,,pre-construction,60.3,,,38.791,-5.6362,https://gem.wiki/Montesordo_solar_farm
Monóver solar farm,solar,Spain,,pre-construction,116.4,,Atitlan Helios,38.3615,-0.5108,https://gem.wiki/Monóver_solar_farm
Morata (Alten) solar farm,solar,Spain,,pre-construction,60.0,,Alten Energías Renovables,39.8585,-4.031,https://gem.wiki/Morata_(Alten)_solar_farm
Morata (Libienergy) solar farm,solar,Spain,,pre-construction,54.0,,Libienergy Energías SL,39.6111,-2.7904,https://gem.wiki/Morata_(Libienergy)_solar_farm
Morata (Matrix) solar farm,solar,Spain,,pre-construction,60.0,,Matrix Renewables,39.9315,-3.3459,https://gem.wiki/Morata_(Matrix)_solar_farm
Morena solar farm,solar,Spain,,pre-construction,109.9,,Total Energies SE,40.4154,-3.7043,https://gem.wiki/Morena_solar_farm
Morón Thermosolar solar farm,solar,Spain,,operating,49.9,2012.0,Grupo Ibereólica Renovables,37.1182,-5.5711,https://gem.wiki/Morón_Thermosolar_solar_farm
Morón de Almazán Hybrid solar farm,solar,Spain,,pre-construction,49.5,,Iberdrola SA,41.3892,-2.4272,https://gem.wiki/Morón_de_Almazán_Hybrid_solar_farm
Mosquetón solar farm,solar,Spain,,pre-construction,88.9,,Ignis Energia,40.5169,-3.1261,https://gem.wiki/Mosquetón_solar_farm
Motilla solar farm,solar,Spain,,pre-construction,304.0,,,39.6111,-2.7904,https://gem.wiki/Motilla_solar_farm
Mudejar solar farm,solar,Spain,,construction,50.0,2023.0,Grupo SAMCA,40.9829,-0.4421,https://gem.wiki/Mudejar_solar_farm
Mula Solar Photovoltaic Power Plant,solar,Spain,,operating,494.0,2019.0,Northleaf Capital Partners,38.0224,-1.492,https://gem.wiki/Mula_Solar_Photovoltaic_Power_Plant
Mulhacén solar farm,solar,Spain,,pre-construction,100.0,,Ignis Energia,39.8615,-4.0281,https://gem.wiki/Mulhacén_solar_farm
Muluya solar farm,solar,Spain,,pre-construction,336.0,,,39.6111,-2.7904,https://gem.wiki/Muluya_solar_farm
Murcia (Audax Renovables) solar farm,solar,Spain,,construction,50.0,2024.0,Audax Renovables,37.9843,-1.1328,https://gem.wiki/Murcia_(Audax_Renovables)_solar_farm
Mástil solar farm,solar,Spain,,pre-construction,100.0,,,40.4325,-3.6799,https://gem.wiki/Mástil_solar_farm
Naipes solar farm,solar,Spain,,construction,50.0,,Naturgy,38.7653,-6.581,https://gem.wiki/Naipes_solar_farm
Naipes solar farm,solar,Spain,,construction,50.0,,Naturgy,38.7653,-6.581,https://gem.wiki/Naipes_solar_farm
Natera solar farm,solar,Spain,,pre-construction,62.5,,,37.6087,-4.6016,https://gem.wiki/Natera_solar_farm
Natera solar farm,solar,Spain,,pre-construction,62.5,,,37.6087,-4.6016,https://gem.wiki/Natera_solar_farm
NavaBuena solar farm,solar,Spain,,pre-construction,448.9,,,41.863,-4.8631,https://gem.wiki/NavaBuena_solar_farm
Navajo solar farm,solar,Spain,,pre-construction,99.0,,Esparity Solar,40.6446,-3.1656,https://gem.wiki/Navajo_solar_farm
Navarra (Enhol) solar farm,solar,Spain,,construction,50.0,2023.0,Grupo Enhol,42.6838,-1.7171,https://gem.wiki/Navarra_(Enhol)_solar_farm
Navarra Canal solar farm,solar,Spain,,pre-construction,160.0,,Asociación Nacional de Productores de Energía Fotovoltaica (ANPiER),42.8148,-1.6442,https://gem.wiki/Navarra_Canal_solar_farm
Nertóbriga solar farm,solar,Spain,,operating,50.0,2021.0,Endesa,38.257,-6.6127,https://gem.wiki/Nertóbriga_solar_farm
Niebla solar farm,solar,Spain,,construction,50.0,,Taaleri Energia,37.3158,-6.8417,https://gem.wiki/Niebla_solar_farm
Ninobe 3 solar farm,solar,Spain,,operating,22.3,2022.0,Enel Green Power,38.9935,-3.3951,https://gem.wiki/Ninobe_3_solar_farm
Nita solar farm,solar,Spain,,pre-construction,256.8,,Compañía Española de Petróleos SA (CEPSA),38.791,-5.6362,https://gem.wiki/Nita_solar_farm
Nita solar farm,solar,Spain,,pre-construction,208.0,,Compañía Española de Petróleos SA (CEPSA),38.791,-5.6362,https://gem.wiki/Nita_solar_farm
