project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Kozloduy nuclear power plant,nuclear,Bulgaria,5,operating,1040.0,1988.0,Bulgarian Energy Holding CO,43.7497,23.7685,https://gem.wiki/Kozloduy_nuclear_power_plant
Kozloduy nuclear power plant,nuclear,Bulgaria,6,operating,1040.0,1993.0,Bulgarian Energy Holding CO,43.7497,23.7685,https://gem.wiki/Kozloduy_nuclear_power_plant
Kozloduy nuclear power plant,nuclear,Bulgaria,7,pre-construction,1000.0,,,43.7497,23.7685,https://gem.wiki/Kozloduy_nuclear_power_plant
Kozloduy nuclear power plant,nuclear,Bulgaria,8,announced,1000.0,,,43.7497,23.7685,https://gem.wiki/Kozloduy_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,A1,operating,868.0,1977.0,Ontario Power Generation,44.3391,-81.5747,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,A2,operating,836.0,1977.0,Ontario Power Generation,44.3391,-81.5747,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,A3,operating,865.0,1978.0,Ontario Power Generation,44.3391,-81.5747,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,A4,operating,868.0,1979.0,Ontario Power Generation,44.3391,-81.5747,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,B5,operating,872.0,1985.0,Ontario Power Generation,44.319,-81.6027,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,B6,operating,891.0,1984.0,Ontario Power Generation,44.319,-81.6027,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,B7,operating,872.0,1986.0,Ontario Power Generation,44.319,-81.6027,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,B8,operating,872.0,1987.0,Ontario Power Generation,44.319,-81.6027,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,C1,cancelled,1000.0,,,44.3092,-81.5895,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,C2,cancelled,1000.0,,,44.3092,-81.5895,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,C3,cancelled,1000.0,,,44.3092,-81.5895,https://gem.wiki/Bruce_nuclear_power_plant
Bruce nuclear power plant,nuclear,Canada,C4,cancelled,1000.0,,,44.3092,-81.5895,https://gem.wiki/Bruce_nuclear_power_plant
Chalk River nuclear power plant,nuclear,Canada,,pre-construction,5.0,2027.0,Ultra Safe Nuclear CORP; Ontario Power Generation,46.05001,-77.3636,https://gem.wiki/Chalk_River_nuclear_power_plant
Darlington New nuclear power plant,nuclear,Canada,1,pre-construction,300.0,2029.0,Ontario Power Generation,43.8733,-78.7057,https://gem.wiki/Darlington_New_nuclear_power_plant
Darlington New nuclear power plant,nuclear,Canada,2,announced,300.0,,Ontario Power Generation,43.8733,-78.7057,https://gem.wiki/Darlington_New_nuclear_power_plant
Darlington New nuclear power plant,nuclear,Canada,3,announced,300.0,,Ontario Power Generation,43.8733,-78.7057,https://gem.wiki/Darlington_New_nuclear_power_plant
Darlington New nuclear power plant,nuclear,Canada,4,announced,300.0,,Ontario Power Generation,43.8733,-78.7057,https://gem.wiki/Darlington_New_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,1,operating,934.0,1992.0,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,2,operating,934.0,1990.0,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,3,operating,934.0,1993.0,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,4,operating,934.0,1993.0,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,5,cancelled,1200.0,,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Darlington nuclear power plant,nuclear,Canada,6,cancelled,1200.0,,Ontario Power Generation,43.8697,-78.7239,https://gem.wiki/Darlington_nuclear_power_plant
Douglas Point (AECL) nuclear power plant,nuclear,Canada,,retired,218.0,1968.0,Atomic Energy Of Canada LTD,44.3265,-81.6006,https://gem.wiki/Douglas_Point_(AECL)_nuclear_power_plant
Gentilly nuclear power plant,nuclear,Canada,1,retired,266.0,1972.0,Canadian Nuclear Laboratories LTD,46.3953,-72.3579,https://gem.wiki/Gentilly_nuclear_power_plant
Gentilly nuclear power plant,nuclear,Canada,2,retired,675.0,1983.0,Hydro Quebec,46.3955,-72.3556,https://gem.wiki/Gentilly_nuclear_power_plant
Nuclear Power Demonstration (NPD) nuclear power plant,nuclear,Canada,,retired,25.0,1962.0,AECL,46.1867,-77.6578,https://gem.wiki/Nuclear_Power_Demonstration_(NPD)_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,A1,operating,542.0,1971.0,Ontario Power Generation,43.8107,-79.0689,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,A2,retired,542.0,1971.0,Ontario Power Generation,43.8107,-79.0689,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,A3,retired,542.0,1972.0,Ontario Power Generation,43.8107,-79.0689,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,A4,operating,542.0,1973.0,Ontario Power Generation,43.8107,-79.0689,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,B5,operating,540.0,1983.0,Ontario Power Generation,43.8096,-79.0639,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,B6,operating,540.0,1984.0,Ontario Power Generation,43.8096,-79.0639,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,B7,operating,540.0,1985.0,Ontario Power Generation,43.8096,-79.0639,https://gem.wiki/Pickering_nuclear_power_plant
Pickering nuclear power plant,nuclear,Canada,B8,operating,540.0,1986.0,Ontario Power Generation,43.8096,-79.0639,https://gem.wiki/Pickering_nuclear_power_plant
Point Lepreau nuclear power plant,nuclear,Canada,,operating,705.0,1983.0,New Brunswick Electric Power Commission,45.0686,-66.4543,https://gem.wiki/Point_Lepreau_nuclear_power_plant
10MW High Temperature Gas-cooled Reactor Test Module (HTR-10) nuclear power plant,nuclear,China,,operating,10.0,2013.0,Institute of Nuclear and New Energy Technology,39.9977,116.3291,https://gem.wiki/10MW_High_Temperature_Gas-cooled_Reactor_Test_Module_(HTR-10)_nuclear_power_plant
Anhui Wuhu nuclear power plant,nuclear,China,1-1,cancelled,1250.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],31.1123,118.0171,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
Anhui Wuhu nuclear power plant,nuclear,China,1-2,cancelled,1250.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],31.1123,118.0171,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
Anhui Wuhu nuclear power plant,nuclear,China,2-3,cancelled,1250.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],31.1123,118.0171,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
Anhui Wuhu nuclear power plant,nuclear,China,2-4,cancelled,1250.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],31.1123,118.0171,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,1,pre-construction,1250.0,2026.0,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,2,pre-construction,1250.0,2027.0,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,3,pre-construction,1400.0,,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,4,pre-construction,1400.0,,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,5,pre-construction,1400.0,,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Bailong nuclear power plant,nuclear,China,6,pre-construction,1400.0,,State Nuclear Power Technology CO LTD,21.6388,108.2785,https://gem.wiki/Bailong_nuclear_power_plant
Cangnan San'ao nuclear power plant,nuclear,China,1-1,construction,1210.0,2026.0,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
