project,unit,project_local,type,capacity,units,status,start_year,operator,owner,country,url,lat,lng,accuracy,region,subregion
Tungsten Mountain geothermal plant,1,,geothermal,37,,operating,2017.0,Tungsten Mountain,,United States,https://gem.wiki/Tungsten_Mountain_geothermal_plant,39.667,-117.6937,exact,Americas,Northern America
Vulcan-BN Geothermal plant,1,,geothermal,30,,operating,1985.0,CalEnergy Operating CORP,CalEnergy Operating CORP,United States,https://gem.wiki/Vulcan-BN_Geothermal_plant,33.1633,-115.6167,exact,Americas,Northern America
Estevan geothermal power plant,1,,geothermal,25,,pre-construction,2024.0,DEEP Earth Energy Production Corp. (DEEP),DEEP Earth Energy Production Corp. (DEEP),Canada,https://gem.wiki/Estevan_geothermal_power_plant,49.139,-102.9849,approximate,Americas,Northern America
Estevan geothermal power plant,2,,geothermal,20,,announced,,DEEP Earth Energy Production Corp. (DEEP),DEEP Earth Energy Production Corp. (DEEP),Canada,https://gem.wiki/Estevan_geothermal_power_plant,49.139,-102.9849,approximate,Americas,Northern America
Estevan geothermal power plant,3,,geothermal,20,,announced,,DEEP Earth Energy Production Corp. (DEEP),DEEP Earth Energy Production Corp. (DEEP),Canada,https://gem.wiki/Estevan_geothermal_power_plant,49.139,-102.9849,approximate,Americas,Northern America
Tu Deh-Kah geothermal power plant,,,geothermal,10,,pre-construction,,Deh Tai LP,Deh Tai LP,Canada,https://gem.wiki/Tu_Deh-Kah_geothermal_power_plant,58.7701,-122.6599,approximate,Americas,Northern America
Cerro Pabellón geothermal power plant,1,Central geotérmica Cerro Pabellón,geothermal,24,,operating,2017.0,Geotérmica Del Norte (GDN),Empresa Nacional Del Petróleo (ENAP) [50%]; Enel Chile [50%],Chile,https://gem.wiki/Cerro_Pabellón_geothermal_power_plant,-21.8576,-68.1515,exact,Americas,Latin America and the Caribbean
Cerro Pabellón geothermal power plant,2,Central geotérmica Cerro Pabellón,geothermal,24,,operating,2017.0,Geotérmica Del Norte (GDN),Empresa Nacional Del Petróleo (ENAP) [50%]; Enel Chile [50%],Chile,https://gem.wiki/Cerro_Pabellón_geothermal_power_plant,-21.8576,-68.1515,exact,Americas,Latin America and the Caribbean
Miravalles geothermal power plant,3,Planta geotérmica Miravalles,geothermal,29,,operating,2000.0,,,Costa Rica,https://gem.wiki/Miravalles_geothermal_power_plant,10.7181,-85.1814,exact,Americas,Latin America and the Caribbean
Miravalles geothermal power plant,5,Planta geotérmica Miravalles,geothermal,19,,operating,2004.0,,,Costa Rica,https://gem.wiki/Miravalles_geothermal_power_plant,10.7181,-85.1814,approximate,Americas,Latin America and the Caribbean
Roseau Valley geothermal power plant,,,geothermal,10,,construction,,,,Dominica,https://gem.wiki/Roseau_Valley_geothermal_power_plant,15.3001,-61.3691,approximate,Americas,Latin America and the Caribbean
Ahuachapán geothermal power plant,4,Central geotérmica Ahuachapán,geothermal,6,,operating,2023.0,,,El Salvador,https://gem.wiki/Ahuachapán_geothermal_power_plant,13.92,-89.8173,exact,Americas,Latin America and the Caribbean
Chinameca geothermal power plant,1,Central geotérmica Chinameca,geothermal,20,,pre-construction,2025.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/Chinameca_geothermal_power_plant,13.513,-88.3493,approximate,Americas,Latin America and the Caribbean
Chinameca geothermal power plant,Expansion,Central geotérmica Chinameca,geothermal,17,,announced,2026.0,,,El Salvador,https://gem.wiki/Chinameca_geothermal_power_plant,13.513,-88.3493,approximate,Americas,Latin America and the Caribbean
San Vicente geothermal power plant,1,Central geotérmica San Vicente,geothermal,10,,pre-construction,2025.0,LaGeo,LaGeo,El Salvador,https://gem.wiki/San_Vicente_geothermal_power_plant,13.6419,-88.7825,approximate,Americas,Latin America and the Caribbean
San Vicente geothermal power plant,Expansion,Central geotérmica San Vicente,geothermal,17,,announced,2026.0,,,El Salvador,https://gem.wiki/San_Vicente_geothermal_power_plant,13.6419,-88.7825,approximate,Americas,Latin America and the Caribbean
Bouillante geothermal power plant,1,Centrale géothermique de Bouillante,geothermal,5,,operating,1986.0,,,Guadeloupe,https://gem.wiki/Bouillante_geothermal_power_plant,16.1272,-61.7691,exact,Americas,Latin America and the Caribbean
Bouillante geothermal power plant,2,Centrale géothermique de Bouillante,geothermal,10,,operating,2005.0,,,Guadeloupe,https://gem.wiki/Bouillante_geothermal_power_plant,16.1272,-61.7691,exact,Americas,Latin America and the Caribbean
Svartsengi geothermal power plant,Future units,Virkjunin í Svartsengi,geothermal,22,,construction,,HS Orka,HS Orka,Iceland,https://gem.wiki/Svartsengi_geothermal_power_plant,63.8788,-22.4332,exact,Europe,Northern Europe
Atadei geothermal power plant,1,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Atadei_geothermal_power_plant,-8.4369,123.469,approximate,Asia,South-eastern Asia
Atadei geothermal power plant,2,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Atadei_geothermal_power_plant,-8.4369,123.469,approximate,Asia,South-eastern Asia
Danau Ranau geothermal power plant,,,geothermal,20,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Danau_Ranau_geothermal_power_plant,-4.9372,103.8672,approximate,Asia,South-eastern Asia
Gunung Sirung geothermal power plant,,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Gunung_Sirung_geothermal_power_plant,-8.5169,124.1334,approximate,Asia,South-eastern Asia
Lahendong geothermal power plant,1,,geothermal,20,,operating,2001.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2542,124.8199,exact,Asia,South-eastern Asia
Lahendong geothermal power plant,2,,geothermal,20,,operating,2007.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2542,124.8199,exact,Asia,South-eastern Asia
Lahendong geothermal power plant,3,,geothermal,20,,operating,2009.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2712,124.8354,exact,Asia,South-eastern Asia
Lahendong geothermal power plant,4,,geothermal,20,,operating,2011.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2712,124.8354,exact,Asia,South-eastern Asia
Lahendong geothermal power plant,5,,geothermal,20,,operating,2016.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2777,124.8284,approximate,Asia,South-eastern Asia
Lahendong geothermal power plant,6,,geothermal,20,,operating,2016.0,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Lahendong_geothermal_power_plant,1.2777,124.8284,approximate,Asia,South-eastern Asia
Mataloko geothermal power plant,,,geothermal,2,,operating,,PT PLN (Persero),,Indonesia,https://gem.wiki/Mataloko_geothermal_power_plant,-8.8332,121.0611,exact,Asia,South-eastern Asia
Oka Ile Ange geothermal power plant,1,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Oka_Ile_Ange_geothermal_power_plant,-8.3109,122.9693,approximate,Asia,South-eastern Asia
Oka Ile Ange geothermal power plant,2,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Oka_Ile_Ange_geothermal_power_plant,-8.3109,122.9693,approximate,Asia,South-eastern Asia
Sibayak geothermal power plant,,,geothermal,10,,operating,,,Pertamina Geothermal Energy,Indonesia,https://gem.wiki/Sibayak_geothermal_power_plant,3.2266,98.5004,exact,Asia,South-eastern Asia
Sokoria geothermal power plant,1,,geothermal,3,,operating,,PT Sokoria Geothermal Indonesia,,Indonesia,https://gem.wiki/Sokoria_geothermal_power_plant,-8.7938,121.7662,exact,Asia,South-eastern Asia
Sokoria geothermal power plant,2,,geothermal,3,,operating,,PT Sokoria Geothermal Indonesia,,Indonesia,https://gem.wiki/Sokoria_geothermal_power_plant,-8.7938,121.7662,exact,Asia,South-eastern Asia
Songa Wayaua geothermal power plant,1,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Songa_Wayaua_geothermal_power_plant,-0.5422,127.5245,approximate,Asia,South-eastern Asia
Songa Wayaua geothermal power plant,2,,geothermal,5,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Songa_Wayaua_geothermal_power_plant,-0.5422,127.5245,approximate,Asia,South-eastern Asia
Tulehu geothermal power plant,,,geothermal,20,,announced,,,PT PLN (Persero),Indonesia,https://gem.wiki/Tulehu_geothermal_power_plant,-3.6238,128.1486,approximate,Asia,South-eastern Asia
Ulumbo geothermal power plant,1,,geothermal,2,,operating,,PT PLN (Persero),,Indonesia,https://gem.wiki/Ulumbo_geothermal_power_plant,-5.309,104.5734,exact,Asia,South-eastern Asia
Ulumbo geothermal power plant,2,,geothermal,2,,operating,,PT PLN (Persero),,Indonesia,https://gem.wiki/Ulumbo_geothermal_power_plant,-5.309,104.5734,exact,Asia,South-eastern Asia
Ulumbo geothermal power plant,3,,geothermal,2,,operating,,PT PLN (Persero),,Indonesia,https://gem.wiki/Ulumbo_geothermal_power_plant,-5.3058,104.577,exact,Asia,South-eastern Asia
Ulumbo geothermal power plant,4,,geothermal,2,,operating,,PT PLN (Persero),,Indonesia,https://gem.wiki/Ulumbo_geothermal_power_plant,-5.3058,104.577,exact,Asia,South-eastern Asia
Mori geothermal power plant,,北海道電力㈱ 森地熱発電所,geothermal,25,,operating,1982.0,Hokkaido Electric Power CO INC,Hokkaido Electric Power CO INC,Japan,https://gem.wiki/Mori_geothermal_power_plant,42.1331,140.4553,exact,Asia,Eastern Asia
Olkaria 1 geothermal power plant,1,,geothermal,15,,retired,1981.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 1 geothermal power plant,2,,geothermal,15,,retired,1982.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 1 geothermal power plant,3,,geothermal,15,,retired,1985.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 1 geothermal power plant,1RP,,geothermal,21,,construction,2025.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 1 geothermal power plant,2RP,,geothermal,21,,construction,2025.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 1 geothermal power plant,3RP,,geothermal,21,,construction,2025.0,Kenya Electricity Generating Company (KenGen),Kenya Electricity Generating Company (KenGen),Kenya,https://gem.wiki/Olkaria_1_geothermal_power_plant,-0.8893,36.2557,exact,Africa,Sub-Saharan Africa
Olkaria 3 geothermal power plant,3,,geothermal,26,,operating,2014.0,Ormat Technology INC,Ormat Technology INC,Kenya,https://gem.wiki/Olkaria_3_geothermal_power_plant,-0.889,36.2562,exact,Africa,Sub-Saharan Africa
Olkaria 3 geothermal power plant,4,,geothermal,26,,operating,2016.0,Ormat Technology INC,Ormat Technology INC,Kenya,https://gem.wiki/Olkaria_3_geothermal_power_plant,-0.889,36.2562,exact,Africa,Sub-Saharan Africa
Cerro Prieto 4 geothermal power plant,10,Central geotérmica Cerro Prieto 4,geothermal,25,,operating,2000.0,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant,32.3916,-115.2252,exact,Americas,Latin America and the Caribbean
Cerro Prieto 4 geothermal power plant,11,Central geotérmica Cerro Prieto 4,geothermal,25,,operating,2000.0,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant,32.3916,-115.2252,exact,Americas,Latin America and the Caribbean
Cerro Prieto 4 geothermal power plant,12,Central geotérmica Cerro Prieto 4,geothermal,25,,operating,2000.0,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant,32.3916,-115.2252,exact,Americas,Latin America and the Caribbean
Cerro Prieto 4 geothermal power plant,13,Central geotérmica Cerro Prieto 4,geothermal,25,,operating,2000.0,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant,32.3916,-115.2252,exact,Americas,Latin America and the Caribbean
Los Azufres geothermal power plant,U-14,Central geotérmica Los Azufres 3,geothermal,26,,operating,,,,Mexico,https://gem.wiki/Los_Azufres_geothermal_power_plant,19.7904,-100.6667,exact,Americas,Latin America and the Caribbean
Los Azufres geothermal power plant,U-15,Central geotérmica Los Azufres 3,geothermal,26,,operating,,,,Mexico,https://gem.wiki/Los_Azufres_geothermal_power_plant,19.7904,-100.6667,exact,Americas,Latin America and the Caribbean
Los Azufres geothermal power plant,U-16,Central geotérmica Los Azufres 3,geothermal,26,,operating,,,,Mexico,https://gem.wiki/Los_Azufres_geothermal_power_plant,19.7904,-100.6667,exact,Americas,Latin America and the Caribbean
Los Azufres geothermal power plant,U-18,Central geotérmica Los Azufres 3,geothermal,27,,operating,,,,Mexico,https://gem.wiki/Los_Azufres_geothermal_power_plant,19.7904,-100.6667,exact,Americas,Latin America and the Caribbean
Los Azufres geothermal power plant,U-2,Central geotérmica Los Azufres 3,geothermal,5,,operating,,,,Mexico,https://gem.wiki/Los_Azufres_geothermal_power_plant,19.7904,-100.6667,exact,Americas,Latin America and the Caribbean
Los Humeros 2 geothermal power plant,A,,geothermal,25,,operating,,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Los_Humeros_2_geothermal_power_plant,19.6465,-97.4375,approximate,Americas,Latin America and the Caribbean
Los Humeros 2 geothermal power plant,B,,geothermal,25,,operating,,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Los_Humeros_2_geothermal_power_plant,19.6465,-97.4375,approximate,Americas,Latin America and the Caribbean
Los Humeros 3 geothermal power plant,A,,geothermal,25,,operating,2017.0,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Los_Humeros_3_geothermal_power_plant,19.6465,-97.4375,exact,Americas,Latin America and the Caribbean
Los Humeros 3 geothermal power plant,B,,geothermal,25,,cancelled,,Comisión Federal de Electricidad (CFE),Comisión Federal de Electricidad (CFE),Mexico,https://gem.wiki/Los_Humeros_3_geothermal_power_plant,19.6465,-97.4375,approximate,Americas,Latin America and the Caribbean
Montserrat geothermal power plant,,,geothermal,2,,announced,,,,Montserrat,https://gem.wiki/Montserrat_geothermal_power_plant,16.7482,-62.2101,approximate,Americas,Latin America and the Caribbean
Bac-Man geothermal power plant,2.1,,geothermal,20,,operating,,Energy Development CORP (EDC),Energy Development CORP (EDC),Philippines,https://gem.wiki/Bac-Man_geothermal_power_plant,13.0348,123.9369,exact,Asia,South-eastern Asia
Bac-Man geothermal power plant,2.2,,geothermal,20,,operating,2021.0,Energy Development CORP (EDC),Energy Development CORP (EDC),Philippines,https://gem.wiki/Bac-Man_geothermal_power_plant,13.0547,123.9663,exact,Asia,South-eastern Asia
Mahanagdong geothermal facility,Future units,,geothermal,28,,announced,,Energy Development CORP (EDC),Energy Development CORP (EDC),Philippines,https://gem.wiki/Mahanagdong_geothermal_facility,11.1309,124.6695,approximate,Asia,South-eastern Asia
Maibarara geothermal power plant,1,,geothermal,20,,operating,2014.0,PetroGreen Energy CORP (PGEC),PetroGreen Energy CORP (PGEC),Philippines,https://gem.wiki/Maibarara_geothermal_power_plant,14.1382,121.1655,exact,Asia,South-eastern Asia
Maibarara geothermal power plant,2,,geothermal,12,,operating,2018.0,PetroGreen Energy CORP (PGEC),PetroGreen Energy CORP (PGEC),Philippines,https://gem.wiki/Maibarara_geothermal_power_plant,14.1382,121.1655,exact,Asia,South-eastern Asia
Maibarara geothermal power plant,3,,geothermal,20,,announced,2025.0,PetroGreen Energy CORP (PGEC),PetroGreen Energy CORP (PGEC),Philippines,https://gem.wiki/Maibarara_geothermal_power_plant,14.1382,121.1655,exact,Asia,South-eastern Asia
Mindanao geothermal power plant,Expansion,,geothermal,4,,operating,2022.0,,,Philippines,https://gem.wiki/Mindanao_geothermal_power_plant,7.0127,125.2198,exact,Asia,South-eastern Asia
Palayan Bayan geothermal power plant,,,geothermal,29,,construction,2023.0,Energy Development CORP (EDC),Energy Development CORP (EDC),Philippines,https://gem.wiki/Palayan_Bayan_geothermal_power_plant,14.655,120.3442,approximate,Asia,South-eastern Asia
Tanawon geothermal power plant,,,geothermal,20,,pre-construction,2023.0,,,Philippines,https://gem.wiki/Tanawon_geothermal_power_plant,13.0547,123.9678,approximate,Asia,South-eastern Asia
Tiwi Binary geothermal power plant,,,geothermal,17,,construction,2023.0,,,Philippines,https://gem.wiki/Tiwi_Binary_geothermal_power_plant,13.4597,123.6393,exact,Asia,South-eastern Asia
Pico Vermelho geothermal power plant,A,,geothermal,10,,operating,,EDA Renováveis SA,EDA Renováveis SA,Portugal,https://gem.wiki/Pico_Vermelho_geothermal_power_plant,37.8021,-25.5059,exact,Europe,Southern Europe
Pico Vermelho geothermal power plant,B,,geothermal,10,,pre-construction,2025.0,EDA Renováveis SA,EDA Renováveis SA,Portugal,https://gem.wiki/Pico_Vermelho_geothermal_power_plant,37.8021,-25.5059,exact,Europe,Southern Europe
Ribeira Grande geothermal power plant,A,,geothermal,5,,operating,1994.0,EDA Renováveis SA,,Portugal,https://gem.wiki/Ribeira_Grande_geothermal_power_plant,37.7833,-25.5006,exact,Europe,Southern Europe
Ribeira Grande geothermal power plant,B,,geothermal,9,,operating,1998.0,EDA Renováveis SA,,Portugal,https://gem.wiki/Ribeira_Grande_geothermal_power_plant,37.7833,-25.5006,exact,Europe,Southern Europe
Nevis geothermal power plant,1,,geothermal,10,,pre-construction,,,Nevis Electric Company Limited (NEVLEC); Nevis Island Administration (NIA),Saint Kitts and Nevis,https://gem.wiki/Nevis_geothermal_power_plant,17.1421,-62.6062,exact,Americas,Latin America and the Caribbean
Presov geothermal power plant,,,geothermal,6,,pre-construction,2028.0,PW Energy,,Slovakia,https://gem.wiki/Presov_geothermal_power_plant,49.0023,21.3189,approximate,Europe,Eastern Europe
Ziar geothermal power plant,,,geothermal,20,,pre-construction,2026.0,PW Energy,,Slovakia,https://gem.wiki/Ziar_geothermal_power_plant,48.5711,18.8448,approximate,Europe,Eastern Europe
Alaşehir 2 geothermal power plant,,,geothermal,19,,pre-construction,,,Zorlu Enerji,Türkiye,https://gem.wiki/Alaşehir_2_geothermal_power_plant,38.4002,28.4311,approximate,Asia,Western Asia
Alkan 2 geothermal power plant,,,geothermal,10,,announced,,,Zorlu Enerji,Türkiye,https://gem.wiki/Alkan_2_geothermal_power_plant,38.3504,28.5206,approximate,Asia,Western Asia
Celikler Sultanhisar 2 geothermal power plant,,,geothermal,23,,operating,2018.0,,Celikler Holding,Türkiye,https://gem.wiki/Celikler_Sultanhisar_2_geothermal_power_plant,37.8962,28.1731,exact,Asia,Western Asia
Efeler geothermal power plant,2,,geothermal,22,,operating,2014.0,Mogan Enerji Yatirim Holding,Mogan Enerji Yatirim Holding,Türkiye,https://gem.wiki/Efeler_geothermal_power_plant,37.8596,27.6132,exact,Asia,Western Asia
Efeler geothermal power plant,3,,geothermal,22,,operating,2014.0,Mogan Enerji Yatirim Holding,Mogan Enerji Yatirim Holding,Türkiye,https://gem.wiki/Efeler_geothermal_power_plant,37.8678,27.6454,exact,Asia,Western Asia
Efeler geothermal power plant,4,,geothermal,22,,operating,2014.0,Mogan Enerji Yatirim Holding,Mogan Enerji Yatirim Holding,Türkiye,https://gem.wiki/Efeler_geothermal_power_plant,37.8668,27.6429,exact,Asia,Western Asia
Efeler geothermal power plant,6,,geothermal,23,,operating,2017.0,Mogan Enerji Yatirim Holding,Mogan Enerji Yatirim Holding,Türkiye,https://gem.wiki/Efeler_geothermal_power_plant,37.8831,27.6336,exact,Asia,Western Asia
Efeler geothermal power plant,7,,geothermal,25,,operating,2018.0,Mogan Enerji Yatirim Holding,Mogan Enerji Yatirim Holding,Türkiye,https://gem.wiki/Efeler_geothermal_power_plant,37.8598,27.6153,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,1.1,,geothermal,13,,operating,2016.0,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,1.2,,geothermal,13,,operating,2016.0,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,1.3,,geothermal,13,,operating,2016.0,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,2.1,,geothermal,13,,operating,,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,2.2,,geothermal,13,,operating,,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,2.3,,geothermal,23,,operating,,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Greeneco Sarayköy geothermal plant,3,,geothermal,26,,operating,2020.0,,Greeneco Enerji Elektrik Üretim AS,Türkiye,https://gem.wiki/Greeneco_Sarayköy_geothermal_plant,37.9346,28.7969,exact,Asia,Western Asia
Kızıldere-1 geothermal power plant,Rehabilitation,,geothermal,15,,operating,2013.0,,Zorlu Enerji,Türkiye,https://gem.wiki/Kızıldere-1_geothermal_power_plant,37.9499,28.8354,exact,Asia,Western Asia
Nemrut geothermal power plant,,,geothermal,25,,announced,,,Zorlu Enerji,Türkiye,https://gem.wiki/Nemrut_geothermal_power_plant,37.7651,38.2696,approximate,Asia,Western Asia
PamukÖren geothermal power plant,1,,geothermal,22,,operating,2013.0,,Celikler Holding,Türkiye,https://gem.wiki/PamukÖren_geothermal_power_plant,37.9167,28.5305,exact,Asia,Western Asia
PamukÖren geothermal power plant,2,,geothermal,22,,operating,2013.0,,Celikler Holding,Türkiye,https://gem.wiki/PamukÖren_geothermal_power_plant,37.9167,28.5305,exact,Asia,Western Asia
PamukÖren geothermal power plant,3,,geothermal,22,,operating,2013.0,,Celikler Holding,Türkiye,https://gem.wiki/PamukÖren_geothermal_power_plant,37.9167,28.5305,exact,Asia,Western Asia
PamukÖren geothermal power plant,4,,geothermal,22,,operating,2018.0,,Celikler Holding,Türkiye,https://gem.wiki/PamukÖren_geothermal_power_plant,37.9167,28.5305,exact,Asia,Western Asia
PamukÖren geothermal power plant,5,,geothermal,22,,operating,2020.0,,Celikler Holding,Türkiye,https://gem.wiki/PamukÖren_geothermal_power_plant,37.9167,28.5305,exact,Asia,Western Asia
Simav geothermal power plant,,,geothermal,25,,announced,,,Zorlu Enerji,Türkiye,https://gem.wiki/Simav_geothermal_power_plant,39.4224,29.9889,approximate,Asia,Western Asia
Türkerler 1 geothermal power plant,,,geothermal,24,,operating,,,Turkeler Energy,Türkiye,https://gem.wiki/Türkerler_1_geothermal_power_plant,38.3732,28.5322,approximate,Asia,Western Asia
Türkerler 2 geothermal power plant,,,geothermal,24,,operating,,,Turkeler Energy,Türkiye,https://gem.wiki/Türkerler_2_geothermal_power_plant,38.3732,28.5322,approximate,Asia,Western Asia
United Downs geothermal power plant,,,geothermal,25,,announced,2024.0,,,United Kingdom,https://gem.wiki/United_Downs_geothermal_power_plant,50.2291,-5.166,exact,Europe,Northern Europe
Aidlin geothermal power plant,1,,geothermal,12,,operating,1989.0,,Geysers Power Co LLC,United States,https://gem.wiki/Aidlin_geothermal_power_plant,38.8339,-122.881,exact,Americas,Northern America
Aidlin geothermal power plant,2,,geothermal,12,,operating,1989.0,,Geysers Power Co LLC,United States,https://gem.wiki/Aidlin_geothermal_power_plant,38.8339,-122.881,exact,Americas,Northern America
Amedee Geothermal Venture 1,IND,,geothermal,2,,operating,1988.0,,Amedee Gethrm Venture I LP,United States,https://gem.wiki/Amedee_Geothermal_Venture_1,40.3008,-120.105,exact,Americas,Northern America
Amedee Geothermal Venture 1,SYN,,geothermal,2,,operating,1988.0,,Amedee Gethrm Venture I LP,United States,https://gem.wiki/Amedee_Geothermal_Venture_1,40.3008,-120.105,exact,Americas,Northern America
Beowawe geothermal power plant,GEN1,,geothermal,17,,operating,1985.0,,Ormat Technology INC,United States,https://gem.wiki/Beowawe_geothermal_power_plant,40.5547,-116.6175,exact,Americas,Northern America
Beowawe geothermal power plant,GEN2,,geothermal,4,,operating,2011.0,,Ormat Technology INC,United States,https://gem.wiki/Beowawe_geothermal_power_plant,40.5547,-116.6175,exact,Americas,Northern America
Blundell 2 geothermal plant,2,,geothermal,14,,operating,2007.0,,PacifiCorp,United States,https://gem.wiki/Blundell_2_geothermal_plant,38.4889,-112.8533,exact,Americas,Northern America
Brady geothermal power plant,OEC,,geothermal,6,,operating,2002.0,,Ormat Technology INC,United States,https://gem.wiki/Brady_geothermal_power_plant,39.796,-119.0101,exact,Americas,Northern America
Brady geothermal power plant,OEC1,,geothermal,15,,operating,2018.0,,Ormat Technology INC,United States,https://gem.wiki/Brady_geothermal_power_plant,39.796,-119.0101,exact,Americas,Northern America
CE Turbo geothermal power plant,TG21,,geothermal,12,,operating,2000.0,,CalEnergy Operating CORP,United States,https://gem.wiki/CE_Turbo_geothermal_power_plant,33.1669,-115.5114,exact,Americas,Northern America
D-J Basin geothermal power plant,1,,geothermal,5,,pre-construction,,Geothermal Technologies INC,,United States,https://gem.wiki/D-J_Basin_geothermal_power_plant,40.5953,-104.6008,approximate,Americas,Northern America
Desert Peak geothermal power plant,GEN2,,geothermal,15,,operating,2006.0,,Ormat Technology INC,United States,https://gem.wiki/Desert_Peak_geothermal_power_plant,39.754,-118.9535,exact,Americas,Northern America
Desert Peak geothermal power plant,OEC2,,geothermal,11,,operating,2006.0,,Ormat Technology INC,United States,https://gem.wiki/Desert_Peak_geothermal_power_plant,39.754,-118.9535,exact,Americas,Northern America
Dixie Meadows 1 Geothermal Development Project,,,geothermal,12,,pre-construction,,,Ormat Technology INC,United States,https://gem.wiki/Dixie_Meadows_1_Geothermal_Development_Project,39.7905,-118.0812,exact,Americas,Northern America
Don A Campbell 1 geothermal power plant,1,,geothermal,22,,operating,2014.0,ORNI 47 LLC,,United States,https://gem.wiki/Don_A_Campbell_1_geothermal_power_plant,38.8367,-118.3239,exact,Americas,Northern America
Don A Campbell 2 geothermal power plant,DAC2G,,geothermal,25,,operating,2015.0,ORNI 37 LLC,,United States,https://gem.wiki/Don_A_Campbell_2_geothermal_power_plant,38.8358,-118.3253,exact,Americas,Northern America
Enel Cove Fort geothermal power plant,1,,geothermal,12,,operating,2013.0,,Enel Green Power,United States,https://gem.wiki/Enel_Cove_Fort_geothermal_power_plant,38.5603,-112.5811,exact,Americas,Northern America
