project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Ordos Power Qipanjing power station,coal,China,Unit 10,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,135,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 2,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,330,Inner Mongolia,Asia,2005,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 3,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,330,Inner Mongolia,Asia,2010,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 4,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,330,Inner Mongolia,Asia,2010,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 5,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,50,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 6,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,50,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 7,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,135,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 8,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,135,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,Unit 9,鄂尔多斯电力冶金股份棋盘井自备电厂,operating,135,Inner Mongolia,Asia,2013,Inner Mongolia Erdos Electric Power Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,New Unit 1,鄂尔多斯电力冶金股份棋盘井自备电厂,cancelled,600,Inner Mongolia,Asia,,Inner Mongolia Erdos Electric Power and Metallurgy Group Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Power Qipanjing power station,coal,China,New Unit 2,鄂尔多斯电力冶金股份棋盘井自备电厂,cancelled,600,Inner Mongolia,Asia,,Inner Mongolia Erdos Electric Power and Metallurgy Group Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.38524,106.96566,https://www.gem.wiki/Ordos_Power_Qipanjing_power_station
Ordos Resources Qipanjing power station,coal,China,Unit 1,鄂尔多斯资源集团高新材料公司棋盘井低热值煤电厂,operating,330,Inner Mongolia,Asia,2015,Inner Mongolia Erdos High Tech Materials Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.35029,107.01002,https://www.gem.wiki/Ordos_Resources_Qipanjing_power_station
Ordos Resources Qipanjing power station,coal,China,Unit 2,鄂尔多斯资源集团高新材料公司棋盘井低热值煤电厂,operating,330,Inner Mongolia,Asia,2015,Inner Mongolia Erdos High Tech Materials Co Ltd,Inner Mongolia Eerduosi Resources Co Ltd [78.0%]; Mitsui & [20.2%],39.35029,107.01002,https://www.gem.wiki/Ordos_Resources_Qipanjing_power_station
Ordos Shendong power station,coal,China,Unit 1,神华煤制油化工公司鄂尔多斯煤制油分公司自备电厂,operating,100,Inner Mongolia,Asia,2007,China Shenhua Coal To Liquid and Chemical Ordos Coal Liquefaction Co,China Energy Investment Corp,39.32929,110.15182,https://www.gem.wiki/Ordos_Shendong_power_station
Ordos Shendong power station,coal,China,Unit 2,神华煤制油化工公司鄂尔多斯煤制油分公司自备电厂,operating,100,Inner Mongolia,Asia,2007,China Shenhua Coal To Liquid and Chemical Ordos Coal Liquefaction Co,China Energy Investment Corp,39.32929,110.15182,https://www.gem.wiki/Ordos_Shendong_power_station
Oroqen Dayangshu Cogen power station,coal,China,Unit 1,深能鄂伦春大杨树热电,cancelled,200,Inner Mongolia,Asia,,Shenzhen Energy Group Co Ltd,Shenzhen Energy Group Co Ltd,49.71635,124.6225,https://www.gem.wiki/Oroqen_Dayangshu_Cogen_power_station
