project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Panxian-2 power station,coal,China,"Phase III, Unit 6",粤电粤黔盘南电厂,pre-permit,660,Guizhou,Asia,,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
Panzhihua Hemenkou power station,coal,China,Unit 10,华电攀枝花河门口发电厂,retired,150,Sichuan,Asia,2005,Sichuan Huadian Panzhihua Power Generation Co,Sichuan Huadian Panzhihua Power Generation Co,26.582,101.718,https://www.gem.wiki/Panzhihua_Hemenkou_power_station
Panzhihua Hemenkou power station,coal,China,Unit 8,华电攀枝花河门口发电厂,retired,75,Sichuan,Asia,1985,Sichuan Huadian Panzhihua Power Generation Co,Sichuan Huadian Panzhihua Power Generation Co,26.582,101.718,https://www.gem.wiki/Panzhihua_Hemenkou_power_station
Panzhihua Hemenkou power station,coal,China,Unit 9,华电攀枝花河门口发电厂,retired,150,Sichuan,Asia,2005,Sichuan Huadian Panzhihua Power Generation Co,Sichuan Huadian Panzhihua Power Generation Co,26.582,101.718,https://www.gem.wiki/Panzhihua_Hemenkou_power_station
Panzhihua Hemenkou power station,coal,China,Unit 5,华电攀枝花河门口发电厂,retired,50,Sichuan,Asia,2005,Sichuan Huadian Panzhihua Power Generation Co,Sichuan Huadian Panzhihua Power Generation Co,26.582,101.718,https://www.gem.wiki/Panzhihua_Hemenkou_power_station
Panzhihua Hemenkou power station,coal,China,Unit 6,华电攀枝花河门口发电厂,retired,50,Sichuan,Asia,2005,Sichuan Huadian Panzhihua Power Generation Co,Sichuan Huadian Panzhihua Power Generation Co,26.582,101.718,https://www.gem.wiki/Panzhihua_Hemenkou_power_station
Panzhihua Works power station,coal,China,Unit 1,攀钢自备电厂,retired,100,Sichuan,Asia,1993,Pangang Group Vanadium & Titanium Resources Co Ltd,Pangang Group Vanadium & Titanium Resources Co Ltd,26.60146,101.50652,https://www.gem.wiki/Panzhihua_Works_power_station
Panzhihua Works power station,coal,China,Unit 2,攀钢自备电厂,retired,100,Sichuan,Asia,1993,Pangang Group Vanadium & Titanium Resources Co Ltd,Pangang Group Vanadium & Titanium Resources Co Ltd,26.60146,101.50652,https://www.gem.wiki/Panzhihua_Works_power_station
Panzhihua Works power station,coal,China,Unit 3,攀钢自备电厂,retired,100,Sichuan,Asia,1996,Pangang Group Vanadium & Titanium Resources Co Ltd,Pangang Group Vanadium & Titanium Resources Co Ltd,26.60146,101.50652,https://www.gem.wiki/Panzhihua_Works_power_station
Panzhihua Works power station,coal,China,Unit 4,攀钢自备电厂,operating,330,Sichuan,Asia,2016,Pangang Group Vanadium & Titanium Resources Co Ltd,Pangang Group Vanadium & Titanium Resources Co Ltd,26.60063,101.50488,https://www.gem.wiki/Panzhihua_Works_power_station
Peixian power station,coal,China,Unit 1,永泰能源沛县电厂,cancelled,660,Jiangsu,Asia,,Wintime ENERGY Group Co Ltd,Wintime ENERGY Group Co Ltd,34.87916,116.85926,https://www.gem.wiki/Peixian_power_station
Peixian power station,coal,China,Unit 2,永泰能源沛县电厂,cancelled,660,Jiangsu,Asia,,Wintime ENERGY Group Co Ltd,Wintime ENERGY Group Co Ltd,34.87916,116.85926,https://www.gem.wiki/Peixian_power_station
Pingdingshan Luyang power station,coal,China,"Phase I, Unit 2",国家电投平顶山鲁阳发电厂,operating,1030,Henan,Asia,2010,Cpi Henan Power Limited Co,State Power Investment Co Ltd,33.82189,113.01438,https://www.gem.wiki/Pingdingshan_Luyang_power_station
Pingdingshan Luyang power station,coal,China,"Phase I, Unit 3",国家电投平顶山鲁阳发电厂,operating,1030,Henan,Asia,2010,Cpi Henan Power Limited Co,State Power Investment Co Ltd,33.82189,113.01438,https://www.gem.wiki/Pingdingshan_Luyang_power_station
