project,capacity,unit,type,status,start_year,owner,operator,lat,lng,accuracy,url,country,region,subregion
Baghdara hydroelectric plant,227,MW,hydropower,pre-construction,,Ministry of Energy and Water Afghanistan,,33.768,66.2385,approximate,https://gem.wiki/Baghdara_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Naghlu hydroelectric plant,94,MW,hydropower,operating,1967.0,Ministry of Energy and Water Afghanistan,,34.6414,69.7171,exact,https://gem.wiki/Naghlu_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Sarobi 2 hydroelectric plant,180,MW,hydropower,inactive,,Ministry of Energy and Water Afghanistan,,34.5894,69.7608,approximate,https://gem.wiki/Sarobi_2_hydroelectric_plant,Afghanistan,Asia,Southern Asia
Fierza hydroelectric plant,500,MW,hydropower,operating,1980.0,KESH,,42.2514,20.0431,exact,https://gem.wiki/Fierza_hydroelectric_plant,Albania,Europe,Southern Europe
Kalivaci hydroelectric plant,108,MW,hydropower,shelved,,,,40.4006,19.7988,exact,https://gem.wiki/Kalivaci_hydroelectric_plant,Albania,Europe,Southern Europe
Komani hydroelectric plant,600,MW,hydropower,operating,1985.0,KESH,,42.1033,19.8224,exact,https://gem.wiki/Komani_hydroelectric_plant,Albania,Europe,Southern Europe
Moglicë hydroelectric plant,197,MW,hydropower,operating,2020.0,Statkraft AS,Statkraft AS,40.6928,20.4406,exact,https://gem.wiki/Moglicë_hydroelectric_plant,Albania,Europe,Southern Europe
Poçem hydroelectric plant,102,MW,hydropower,pre-construction,,,,40.3515,19.973,exact,https://gem.wiki/Poçem_hydroelectric_plant,Albania,Europe,Southern Europe
Shala hydroelectric plant,128,MW,hydropower,pre-construction,,,,42.2829,19.7992,exact,https://gem.wiki/Shala_hydroelectric_plant,Albania,Europe,Southern Europe
Skavica hydroelectric plant,210,MW,hydropower,pre-construction,,KESH,,41.9433,20.3653,exact,https://gem.wiki/Skavica_hydroelectric_plant,Albania,Europe,Southern Europe
Vau i Dejës hydroelectric plant,250,MW,hydropower,operating,1973.0,KESH,,42.0136,19.6358,exact,https://gem.wiki/Vau_i_Dejës_hydroelectric_plant,Albania,Europe,Southern Europe
Caculo Cabaca hydroelectric plant,2040,MW,hydropower,construction,2024.0,China Gezhouba Group CO LTD,,-9.7296,14.8163,approximate,https://gem.wiki/Caculo_Cabaca_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Cambambe I hydroelectric plant,180,MW,hydropower,operating,1962.0,PRODEL,,-9.7503,14.4819,exact,https://gem.wiki/Cambambe_I_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Cambambe II hydroelectric plant,700,MW,hydropower,operating,2017.0,PRODEL,,-9.7383,14.4854,exact,https://gem.wiki/Cambambe_II_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Capanda hydroelectric plant,520,MW,hydropower,operating,2004.0,PRODEL,,-9.7933,15.4635,exact,https://gem.wiki/Capanda_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Jamba ia Mina hydroelectric plant,224,MW,hydropower,shelved,,PRODEL,,-13.8001,15.4622,approximate,https://gem.wiki/Jamba_ia_Mina_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Laúca hydroelectric plant,2070,MW,hydropower,operating,2017.0,PRODEL,,-9.7449,15.1251,exact,https://gem.wiki/Laúca_hydroelectric_plant,Angola,Africa,Sub-Saharan Africa
Agua Del Toro hydroelectric plant,150,MW,hydropower,operating,1974.0,Pampa Energía SA,,-34.5839,-69.0362,exact,https://gem.wiki/Agua_Del_Toro_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Alicura hydroelectric plant,1040,MW,hydropower,operating,1984.0,AES Energía,AES Energía Argentina,-40.5841,-70.7476,exact,https://gem.wiki/Alicura_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Arroyito hydroelectric plant,128,MW,hydropower,operating,1983.0,Enel Generación,Enel Generación,-39.1067,-68.5857,exact,https://gem.wiki/Arroyito_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Cabra Corral hydroelectric plant,104,MW,hydropower,operating,1972.0,AES Energía,AES Energía Argentina,-25.2716,-65.3299,exact,https://gem.wiki/Cabra_Corral_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Cacheuta Nueva hydroelectric plant,120,MW,hydropower,operating,2002.0,,,-33.0291,-69.1109,exact,https://gem.wiki/Cacheuta_Nueva_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Chihuido 1 hydroelectric plant,637,MW,hydropower,pre-construction,,Emprendimientos Hidroeléctricos Sociedad del Estado Provincial del Neuquén (Emhidro),,-38.3999,-69.6666,exact,https://gem.wiki/Chihuido_1_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Chihuido 2 hydroelectric plant,234,MW,hydropower,announced,,IMPSA (Industrias Metalúrgicas Pescarmona SAIC y F),,-38.9535,-68.0598,approximate,https://gem.wiki/Chihuido_2_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Chocón hydroelectric plant,1200,MW,hydropower,operating,1972.0,Enel Generación,Enel Generación,-39.2653,-68.7556,exact,https://gem.wiki/Chocón_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
El Baqueano hydroelectric plant,150,MW,hydropower,announced,,Empresa Mendocina de Energía (EMESA),,-34.5726,-68.7778,approximate,https://gem.wiki/El_Baqueano_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Futaleufú hydroelectric plant,472,MW,hydropower,operating,1978.0,,,-43.129,-71.6299,exact,https://gem.wiki/Futaleufú_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Jorge Cepernic hydroelectric plant,950,MW,hydropower,construction,,UTE Represas Patagonia,,-48.7833,-69.2113,approximate,https://gem.wiki/Jorge_Cepernic_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
La Leona hydroelectric plant,240,MW,hydropower,shelved,,,,-49.8095,-72.0533,approximate,https://gem.wiki/La_Leona_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Los Blancos 1 hydroelectric plant,324,MW,hydropower,shelved,,Ministerio de Infraestructura Vivienda y Transporte (Mendoza),,-33.7339,-69.1198,approximate,https://gem.wiki/Los_Blancos_1_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Los Blancos 2 hydroelectric plant,162,MW,hydropower,shelved,,Ministerio de Infraestructura Vivienda y Transporte (Mendoza),,-33.7339,-69.1198,approximate,https://gem.wiki/Los_Blancos_2_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Los Caracoles hydroelectric plant,125,MW,hydropower,operating,2009.0,Energía Provincial Sociedad del Estado (EPSE),Energía Provincial Sociedad del Estado (EPSE),-31.5192,-68.9814,exact,https://gem.wiki/Los_Caracoles_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Los Reyunos hydroelectric plant,224,MW,hydropower,operating,1984.0,Pampa Energía SA,,-34.6015,-68.641,exact,https://gem.wiki/Los_Reyunos_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Nestor Kirchner hydroelectric plant,360,MW,hydropower,construction,,UTE Represas Patagonia,,-48.7833,-69.2113,approximate,https://gem.wiki/Nestor_Kirchner_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Nihuil 2 hydroelectric plant,131,MW,hydropower,operating,1968.0,Pampa Energía SA,Pampa Energía SA,-34.9125,-68.6237,exact,https://gem.wiki/Nihuil_2_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Pichi Picun Leufu hydroelectric plant,285,MW,hydropower,operating,1999.0,Pampa Energía SA,,-40.0123,-69.9838,exact,https://gem.wiki/Pichi_Picun_Leufu_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Piedra Del Aguila hydroelectric plant,1424,MW,hydropower,operating,1993.0,Sociedad Energía Sadesa Central Puerto,Sociedad Energía Sadesa Central Puerto,-40.1901,-69.9934,exact,https://gem.wiki/Piedra_Del_Aguila_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Planicie Banderita hydroelectric plant,486,MW,hydropower,operating,1972.0,Orazul Energy,,-38.5595,-68.4744,exact,https://gem.wiki/Planicie_Banderita_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Portezuelo Del Viento hydroelectric plant,210,MW,hydropower,shelved,,Empresa Mendocina de Energía (EMESA),,-35.4844,-69.5798,approximate,https://gem.wiki/Portezuelo_Del_Viento_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Rio Grande hydroelectric plant,750,MW,hydropower,operating,1986.0,Empresa Provincial de Energía de Córdoba (EPEC),Empresa Provincial de Energía de Córdoba (EPEC),-32.224,-64.5673,exact,https://gem.wiki/Rio_Grande_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Urugua-í hydroelectric plant,120,MW,hydropower,operating,1990.0,Energía de Misiones SA (EMSA),Energía de Misiones SA (EMSA),-25.8766,-54.5687,exact,https://gem.wiki/Urugua-í_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Uspallata hydroelectric plant,162,MW,hydropower,announced,,Empresa Mendocina de Energía (EMESA),,-32.9407,-60.7285,approximate,https://gem.wiki/Uspallata_hydroelectric_plant,Argentina,Americas,Latin America and the Caribbean
Panambi hydroelectric plant,576,MW,hydropower,pre-construction,,Emprendimientos Energéticos Binacionales SA (EBISA),,-27.7294,-54.9062,approximate,https://gem.wiki/Panambi_hydroelectric_plant,"Argentina, Brazil",Americas,Latin America and the Caribbean
Brazo Aña Cuá hydroelectric plant,270,MW,hydropower,construction,2024.0,Entidad Binacional Yacyreta (EBY),Entidad Binacional Yacyreta (EBY),-27.4823,-56.7213,approximate,https://gem.wiki/Brazo_Aña_Cuá_hydroelectric_plant,"Argentina, Paraguay",Americas,Latin America and the Caribbean
Corpus Christi hydroelectric plant,2880,MW,hydropower,announced,,,,-27.1196,-55.5653,approximate,https://gem.wiki/Corpus_Christi_hydroelectric_plant,"Argentina, Paraguay",Americas,Latin America and the Caribbean
Yacyretá hydroelectric plant,3100,MW,hydropower,operating,1994.0,Entidad Binacional Yacyreta (EBY),,-27.4823,-56.7212,exact,https://gem.wiki/Yacyretá_hydroelectric_plant,"Argentina, Paraguay",Americas,Latin America and the Caribbean
Salto Grande hydroelectric plant,1890,MW,hydropower,operating,1979.0,Comisión Técnica Mixta (CTM),Comisión Técnica Mixta (CTM),-31.2751,-57.9385,exact,https://gem.wiki/Salto_Grande_hydroelectric_plant,"Argentina, Uruguay",Americas,Latin America and the Caribbean
Argel hydroelectric plant,224,MW,hydropower,operating,1953.0,International Power CORP CJSC,,40.3786,44.6069,exact,https://gem.wiki/Argel_hydroelectric_plant,Armenia,Asia,Western Asia
Hrazdan hydroelectric plant,81,MW,hydropower,operating,1959.0,International Power CORP CJSC,,40.5082,44.7598,exact,https://gem.wiki/Hrazdan_hydroelectric_plant,Armenia,Asia,Western Asia
Meghri hydroelectric plant,100,MW,hydropower,pre-construction,2026.0,Farab,,38.9031,46.2997,exact,https://gem.wiki/Meghri_hydroelectric_plant,Armenia,Asia,Western Asia
Qanaqer hydroelectric plant,102,MW,hydropower,operating,1936.0,International Power CORP CJSC,,40.2211,44.5164,exact,https://gem.wiki/Qanaqer_hydroelectric_plant,Armenia,Asia,Western Asia
Shamb hydroelectric plant,171,MW,hydropower,operating,1979.0,ContourGlobal PLC,,39.4733,46.1303,exact,https://gem.wiki/Shamb_hydroelectric_plant,Armenia,Asia,Western Asia
Shnogh hydroelectric plant,76,MW,hydropower,announced,,Debed Hydro LLC,,41.1442,44.8439,approximate,https://gem.wiki/Shnogh_hydroelectric_plant,Armenia,Asia,Western Asia
Spandaryan hydroelectric plant,76,MW,hydropower,operating,1989.0,ContourGlobal PLC,,39.6494,45.8501,exact,https://gem.wiki/Spandaryan_hydroelectric_plant,Armenia,Asia,Western Asia
Tatev hydroelectric plant,157,MW,hydropower,operating,1970.0,ContourGlobal PLC,,39.4273,46.371,exact,https://gem.wiki/Tatev_hydroelectric_plant,Armenia,Asia,Western Asia
Bastyan hydroelectric plant,81,MW,hydropower,operating,1983.0,Hydro Tasmania,,-41.736,145.532,exact,https://gem.wiki/Bastyan_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Bendeela hydroelectric plant,80,MW,hydropower,operating,1977.0,Origin Energy,,-34.7338,150.467,exact,https://gem.wiki/Bendeela_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Big T hydroelectric plant,400,MW,hydropower,pre-construction,2027.0,BE Power,,-27.2909,152.1128,exact,https://gem.wiki/Big_T_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Bogong hydroelectric plant,140,MW,hydropower,operating,2009.0,AGL Energy LTD,AGL Energy LTD,-36.8064,147.2252,exact,https://gem.wiki/Bogong_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Borumba Dam hydroelectric plant,2000,MW,hydropower,announced,,Queensland Hydro,,-26.507,152.5819,exact,https://gem.wiki/Borumba_Dam_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Central West hydroelectric plant,325,MW,hydropower,announced,2027.0,ATCO LTD,,-33.489,149.7928,exact,https://gem.wiki/Central_West_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Cethana hydroelectric plant,100,MW,hydropower,operating,1971.0,Hydro Tasmania,,-41.4799,146.1341,exact,https://gem.wiki/Cethana_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Cultana hydroelectric plant,225,MW,hydropower,shelved,,,,-32.5896,137.7434,exact,https://gem.wiki/Cultana_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Dartmouth hydroelectric plant,180,MW,hydropower,operating,1981.0,,AGL Energy LTD,-36.5567,147.5228,exact,https://gem.wiki/Dartmouth_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Eildon hydroelectric plant,120,MW,hydropower,operating,1956.0,AGL Energy LTD,,-37.2219,145.9215,exact,https://gem.wiki/Eildon_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Gordon hydroelectric plant,432,MW,hydropower,operating,1977.0,Hydro Tasmania,,-42.7406,145.9829,exact,https://gem.wiki/Gordon_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
John Butters hydroelectric plant,145,MW,hydropower,operating,1992.0,Hydro Tasmania,,-42.1549,145.5346,exact,https://gem.wiki/John_Butters_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Kangaroo Valley hydroelectric plant,160,MW,hydropower,operating,1977.0,Origin Energy,Origin Energy Eraring PTY LTD,-34.7232,150.4796,exact,https://gem.wiki/Kangaroo_Valley_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Kareeya hydroelectric plant,88,MW,hydropower,operating,1957.0,CleanCo Queensland,,-17.767,145.578,exact,https://gem.wiki/Kareeya_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Kidston hydroelectric plant,250,MW,hydropower,construction,2024.0,Genex Power,,-19.0524,144.1449,exact,https://gem.wiki/Kidston_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Lake Cethana hydroelectric plant,750,MW,hydropower,shelved,,Hydro Tasmania,,-41.498,146.1089,exact,https://gem.wiki/Lake_Cethana_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Lake Lyell hydroelectric plant,335,MW,hydropower,announced,,EnergyAustralia,,-33.499,150.0799,exact,https://gem.wiki/Lake_Lyell_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Liapootah hydroelectric plant,87,MW,hydropower,operating,1960.0,Hydro Tasmania,,-42.3764,146.5101,exact,https://gem.wiki/Liapootah_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Mackintosh hydroelectric plant,89,MW,hydropower,operating,1982.0,Hydro Tasmania,,-41.6997,145.6461,exact,https://gem.wiki/Mackintosh_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
McKay Creek hydroelectric plant,150,MW,hydropower,operating,1960.0,AGL Energy LTD,AGL Energy LTD,-36.8583,147.2344,exact,https://gem.wiki/McKay_Creek_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Mt Rawdon hydroelectric plant,2000,MW,hydropower,announced,,,,-25.2707,151.7636,exact,https://gem.wiki/Mt_Rawdon_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Murray 1 hydroelectric plant,950,MW,hydropower,operating,1967.0,Snowy Hydro,,-36.2468,148.1902,exact,https://gem.wiki/Murray_1_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Murray 2 hydroelectric plant,550,MW,hydropower,operating,1969.0,Snowy Hydro,,-36.2424,148.1361,exact,https://gem.wiki/Murray_2_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Muswellbrook hydroelectric plant,250,MW,hydropower,announced,,AGL Energy LTD; Idemitsu Australia,,-32.2454,150.9344,exact,https://gem.wiki/Muswellbrook_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
New Dungowan Dam hydroelectric plant,600,MW,hydropower,pre-construction,2025.0,MirusWind; Energy Estate,,-31.3555,151.1556,exact,https://gem.wiki/New_Dungowan_Dam_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Oven Mountain hydroelectric plant,600,MW,hydropower,announced,,,,-30.8087,152.2017,exact,https://gem.wiki/Oven_Mountain_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Pioneer Burdekin hydroelectric plant,5000,MW,hydropower,announced,2032.0,,,-21.126,148.4772,exact,https://gem.wiki/Pioneer_Burdekin_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Poatina hydroelectric plant,363,MW,hydropower,operating,1966.0,Hydro Tasmania,,-41.8159,146.8901,exact,https://gem.wiki/Poatina_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Reece hydroelectric plant,244,MW,hydropower,operating,1986.0,Hydro Tasmania,,-41.7238,145.136,exact,https://gem.wiki/Reece_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Shoalhaven Expansion hydroelectric plant,235,MW,hydropower,pre-construction,,Origin Energy,,-34.7232,150.4728,exact,https://gem.wiki/Shoalhaven_Expansion_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Snowy 2.0 hydroelectric plant,2000,MW,hydropower,construction,2025.0,Snowy Hydro,,-35.7452,148.6536,exact,https://gem.wiki/Snowy_2.0_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tarraleah hydroelectric plant,94,MW,hydropower,operating,1938.0,Hydro Tasmania,,-42.301,146.4573,exact,https://gem.wiki/Tarraleah_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tarraleah New hydroelectric plant,113,MW,hydropower,announced,,Hydro Tasmania,,-42.301,146.459,exact,https://gem.wiki/Tarraleah_New_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Trevallyn hydroelectric plant,103,MW,hydropower,operating,1955.0,Hydro Tasmania,,-41.4228,147.1117,exact,https://gem.wiki/Trevallyn_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tribute hydroelectric plant,92,MW,hydropower,operating,1994.0,Hydro Tasmania,,-41.816,145.6498,exact,https://gem.wiki/Tribute_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tumut 1 hydroelectric plant,330,MW,hydropower,operating,1959.0,Snowy Hydro,,-35.9506,148.3637,exact,https://gem.wiki/Tumut_1_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tumut 2 hydroelectric plant,287,MW,hydropower,operating,1962.0,Snowy Hydro,,-35.8751,148.3698,exact,https://gem.wiki/Tumut_2_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tumut 3 hydroelectric plant,1800,MW,hydropower,operating,1973.0,Snowy Hydro,,-35.611,148.292,exact,https://gem.wiki/Tumut_3_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Tungatinah hydroelectric plant,142,MW,hydropower,operating,1953.0,Hydro Tasmania,,-42.2968,146.4566,exact,https://gem.wiki/Tungatinah_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Wivenhoe hydroelectric plant,570,MW,hydropower,operating,1984.0,CleanCo Queensland,,-27.3729,152.6323,exact,https://gem.wiki/Wivenhoe_hydroelectric_plant,Australia,Oceania,Australia and New Zealand
Abwinden-Asten hydroelectric plant,168,MW,hydropower,operating,1979.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,48.248,14.4302,exact,https://gem.wiki/Abwinden-Asten_hydroelectric_plant,Austria,Europe,Western Europe
Achensee Jenbach hydroelectric plant,79,MW,hydropower,operating,1927.0,Tiroler Wasserkraft AG (TIWAG),,47.389,11.7573,exact,https://gem.wiki/Achensee_Jenbach_hydroelectric_plant,Austria,Europe,Western Europe
Altenwörth hydroelectric plant,328,MW,hydropower,operating,1976.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,48.376,15.857,exact,https://gem.wiki/Altenwörth_hydroelectric_plant,Austria,Europe,Western Europe
Annabrücke hydroelectric plant,90,MW,hydropower,operating,1981.0,Verbund Hydro Power GMBH,,46.5613,14.4794,exact,https://gem.wiki/Annabrücke_hydroelectric_plant,Austria,Europe,Western Europe
Aschach hydroelectric plant,287,MW,hydropower,operating,1964.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,48.3852,14.0229,exact,https://gem.wiki/Aschach_hydroelectric_plant,Austria,Europe,Western Europe
Ausserfragant hydroelectric plant,100,MW,hydropower,operating,1965.0,KELAG,Kelag,46.9349,13.1098,exact,https://gem.wiki/Ausserfragant_hydroelectric_plant,Austria,Europe,Western Europe
Edling hydroelectric plant,87,MW,hydropower,operating,1962.0,Verbund Hydro Power GMBH,,46.6292,14.7015,exact,https://gem.wiki/Edling_hydroelectric_plant,Austria,Europe,Western Europe
Enzingerboden hydroelectric plant,81,MW,hydropower,operating,,,,47.1697,12.6266,exact,https://gem.wiki/Enzingerboden_hydroelectric_plant,Austria,Europe,Western Europe
Feistritz-Ludmannsdorf hydroelectric plant,88,MW,hydropower,operating,1968.0,Verbund Hydro Power GMBH,,46.5343,14.1711,exact,https://gem.wiki/Feistritz-Ludmannsdorf_hydroelectric_plant,Austria,Europe,Western Europe
Feldsee hydroelectric plant,140,MW,hydropower,operating,2009.0,KELAG,Kelag,47.0036,13.0562,exact,https://gem.wiki/Feldsee_hydroelectric_plant,Austria,Europe,Western Europe
Ferlach Maria Rain hydroelectric plant,75,MW,hydropower,operating,1975.0,Verbund Hydro Power GMBH,,46.5465,14.2988,exact,https://gem.wiki/Ferlach_Maria_Rain_hydroelectric_plant,Austria,Europe,Western Europe
Freudenau hydroelectric plant,172,MW,hydropower,operating,1999.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,48.1753,16.4808,exact,https://gem.wiki/Freudenau_hydroelectric_plant,Austria,Europe,Western Europe
Gerlos hydroelectric plant,200,MW,hydropower,operating,1949.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.233,11.8992,exact,https://gem.wiki/Gerlos_hydroelectric_plant,Austria,Europe,Western Europe
Greifenstein hydroelectric plant,293,MW,hydropower,operating,1985.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,48.3562,16.2424,exact,https://gem.wiki/Greifenstein_hydroelectric_plant,Austria,Europe,Western Europe
Häusling hydroelectric plant,360,MW,hydropower,operating,1988.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.1462,11.9673,exact,https://gem.wiki/Häusling_hydroelectric_plant,Austria,Europe,Western Europe
Hintermuhr hydroelectric plant,107,MW,hydropower,operating,1991.0,Salzburg AG,,47.1029,13.4779,exact,https://gem.wiki/Hintermuhr_hydroelectric_plant,Austria,Europe,Western Europe
Imst Haiming hydroelectric plant,97,MW,hydropower,pre-construction,,Tiroler Wasserkraft AG (TIWAG),,47.2582,10.8738,approximate,https://gem.wiki/Imst_Haiming_hydroelectric_plant,Austria,Europe,Western Europe
Imst hydroelectric plant,89,MW,hydropower,operating,1956.0,Tiroler Wasserkraft AG (TIWAG),,47.2122,10.7215,exact,https://gem.wiki/Imst_hydroelectric_plant,Austria,Europe,Western Europe
Innerfragant Oschenik hydroelectric plant,114,MW,hydropower,operating,1965.0,KELAG,Kelag,46.9773,13.0517,exact,https://gem.wiki/Innerfragant_Oschenik_hydroelectric_plant,Austria,Europe,Western Europe
Kaprun Haupstufe hydroelectric plant,260,MW,hydropower,operating,1953.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.2594,12.7385,exact,https://gem.wiki/Kaprun_Haupstufe_hydroelectric_plant,Austria,Europe,Western Europe
Kaprun Limberg II hydroelectric plant,480,MW,hydropower,operating,2011.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.1971,12.7193,exact,https://gem.wiki/Kaprun_Limberg_II_hydroelectric_plant,Austria,Europe,Western Europe
Kaprun Limberg III hydroelectric plant,480,MW,hydropower,construction,2025.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.1992,12.7245,exact,https://gem.wiki/Kaprun_Limberg_III_hydroelectric_plant,Austria,Europe,Western Europe
Kaprun Oberstufe hydroelectric plant,260,MW,hydropower,operating,1956.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.1971,12.7193,exact,https://gem.wiki/Kaprun_Oberstufe_hydroelectric_plant,Austria,Europe,Western Europe
Kaprun Schwarzach hydroelectric plant,120,MW,hydropower,operating,1960.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.3149,13.1394,exact,https://gem.wiki/Kaprun_Schwarzach_hydroelectric_plant,Austria,Europe,Western Europe
Kops I hydroelectric plant,288,MW,hydropower,operating,1969.0,Illwerke vkw,illwerke vkw,46.9707,10.0571,exact,https://gem.wiki/Kops_I_hydroelectric_plant,Austria,Europe,Western Europe
Kops II hydroelectric plant,525,MW,hydropower,operating,2008.0,Illwerke vkw,illwerke vkw,46.9756,10.043,exact,https://gem.wiki/Kops_II_hydroelectric_plant,Austria,Europe,Western Europe
Koralm hydroelectric plant,1000,MW,hydropower,pre-construction,,,,46.7802,15.0298,exact,https://gem.wiki/Koralm_hydroelectric_plant,Austria,Europe,Western Europe
Kühtai 2 hydroelectric plant,190,MW,hydropower,construction,2026.0,Tiroler Wasserkraft AG (TIWAG),Tiroler Wasserkraft AG (TIWAG),47.1981,11.0055,exact,https://gem.wiki/Kühtai_2_hydroelectric_plant,Austria,Europe,Western Europe
Kühtai hydroelectric plant,289,MW,hydropower,operating,1981.0,Tiroler Wasserkraft AG (TIWAG),Tiroler Wasserkraft AG (TIWAG),47.2061,11.0046,exact,https://gem.wiki/Kühtai_hydroelectric_plant,Austria,Europe,Western Europe
Lunersee hydroelectric plant,280,MW,hydropower,operating,1958.0,Illwerke vkw,illwerke vkw,47.0738,9.874,exact,https://gem.wiki/Lunersee_hydroelectric_plant,Austria,Europe,Western Europe
Lunersee II hydroelectric plant,1000,MW,hydropower,pre-construction,2038.0,Illwerke vkw,illwerke vkw,47.1485,9.7922,exact,https://gem.wiki/Lunersee_II_hydroelectric_plant,Austria,Europe,Western Europe
Malta Hauptstufe hydroelectric plant,730,MW,hydropower,operating,1979.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,46.8701,13.329,exact,https://gem.wiki/Malta_Hauptstufe_hydroelectric_plant,Austria,Europe,Western Europe
Malta Oberstufe hydroelectric plant,120,MW,hydropower,operating,1979.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.0659,13.3528,exact,https://gem.wiki/Malta_Oberstufe_hydroelectric_plant,Austria,Europe,Western Europe
Mayrhofen hydroelectric plant,355,MW,hydropower,operating,1970.0,Verbund Hydro Power GMBH,VERBUND Hydro Power GmbH,47.1583,11.851,exact,https://gem.wiki/Mayrhofen_hydroelectric_plant,Austria,Europe,Western Europe
