project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Kenana power station,1,bioenergy_-_agricultural_waste,,,76.0,operating,,no conversion,Kenana Sugar Company,,Sudan,https://gem.wiki/Kenana_power_station,13.0743,32.9279,exact,,bioenergy
White Nile Sugar Factory power station,3,bioenergy_-_agricultural_waste,,,31.0,operating,2012.0,no conversion,Kenana Sugar Company [30%],White Nile Sugar Company,Sudan,https://gem.wiki/White_Nile_Sugar_Factory_power_station,14.0721,32.4686,exact,,bioenergy
White Nile Sugar Factory power station,4,bioenergy_-_agricultural_waste,,,31.0,operating,2012.0,no conversion,Kenana Sugar Company [30%],White Nile Sugar Company,Sudan,https://gem.wiki/White_Nile_Sugar_Factory_power_station,14.0721,32.4686,exact,,bioenergy
Biocom power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,100.0,operating,2014.0,no conversion,Companhia de Bioenergia de Angola (Biocom),,Angola,https://gem.wiki/Biocom_power_station,-9.5806,15.7225,exact,,bioenergy
Luanda power station,1,bioenergy_-_refuse,,,30.0,cancelled,,no conversion,,,Angola,https://gem.wiki/Luanda_power_station,-8.8437,13.3064,approximate,,bioenergy
Divo power station,1,bioenergy_-_agricultural_waste,,,65.0,construction,2023.0,no conversion,Société des Energies Nouvelles,,Côte d'Ivoire,https://gem.wiki/Divo_power_station,5.8415,-5.3619,approximate,,bioenergy
CREC Renewable Energy Park power station,1,bioenergy_-_refuse,,,35.0,pre-construction,,no conversion,CR Energy Concepts,,Djibouti,https://gem.wiki/CREC_Renewable_Energy_Park_power_station,11.4794,43.1878,approximate,,bioenergy
Makelele Biogas power station,1,bioenergy_-_agricultural_waste,,,60.0,pre-construction,,no conversion,,,DR Congo,https://gem.wiki/Makelele_Biogas_power_station,-1.7567,29.0186,approximate,,bioenergy
Simunye Sugar Cogeneration power station,4,bioenergy_-_agricultural_waste,,,30.0,operating,,no conversion,Royal Eswatini Sugar Corporation,,Eswatini,https://gem.wiki/Simunye_Sugar_Cogeneration_power_station,-26.1766,31.9079,exact,,bioenergy
Ubombo Sugar Mill power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,,no conversion,Ubombo Sugar LTD,,Eswatini,https://gem.wiki/Ubombo_Sugar_Mill_power_station,-26.7756,31.9386,exact,,bioenergy
Usutu power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_agricultural_waste,,35.0,announced,2026.0,no conversion,Montigny,,Eswatini,https://gem.wiki/Usutu_power_station,-26.5317,31.0081,exact,,bioenergy
Finchaa Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,31.0,operating,,no conversion,Ethiopian Government,,Ethiopia,https://gem.wiki/Finchaa_Sugar_Factory_power_station,9.7947,37.4199,exact,,bioenergy
Omo Kuraz 1 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,35.0,construction,,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_1_Sugar_Factory_power_station,6.118,35.9903,exact,,bioenergy
Omo Kuraz 2 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,60.0,operating,2017.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_2_Sugar_Factory_power_station,6.0871,35.9171,approximate,,bioenergy
Omo Kuraz 3 Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,76.0,operating,2018.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Omo_Kuraz_3_Sugar_Factory_power_station,5.9683,36.0102,approximate,,bioenergy
Tana Beles Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2021.0,no conversion,,,Ethiopia,https://gem.wiki/Tana_Beles_Sugar_Factory_power_station,11.5655,36.461,exact,,bioenergy
Tendeho Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,60.0,mothballed,2014.0,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Tendeho_Sugar_Factory_power_station,11.5504,41.3893,exact,,bioenergy
Tendeho Sugar Factory power station,2,bioenergy_-_agricultural_waste,,,80.0,shelved,,no conversion,Ethiopian Sugar Industry Group,,Ethiopia,https://gem.wiki/Tendeho_Sugar_Factory_power_station,11.5504,41.3893,exact,,bioenergy
Welkait Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,2,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,3,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Welkait Sugar Factory power station,4,bioenergy_-_agricultural_waste,,,30.0,shelved,,no conversion,,,Ethiopia,https://gem.wiki/Welkait_Sugar_Factory_power_station,13.7421,37.7947,exact,,bioenergy
Wonji Shoa Sugar Factory power station,1,bioenergy_-_agricultural_waste,,,31.0,operating,2013.0,no conversion,Ethiopian Government,,Ethiopia,https://gem.wiki/Wonji_Shoa_Sugar_Factory_power_station,8.377,39.3095,exact,,bioenergy
Atebubu power station,1,bioenergy_-_wood_and_other_biomass,,,60.0,construction,2023.0,no conversion,Africa Plantation for Sustainable Development,,Ghana,https://gem.wiki/Atebubu_power_station,7.7542,-0.9844,exact,,bioenergy
Tema W2E power station,1,bioenergy_-_refuse,,,60.0,cancelled,,no conversion,Armech Africa LTD,,Ghana,https://gem.wiki/Tema_W2E_power_station,5.7355,0.0316,approximate,,bioenergy
Mansôa power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Shenyang Lan Sa Trading CO LTD,,Guinea-Bissau,https://gem.wiki/Mansôa_power_station,12.0817,-15.3201,approximate,,bioenergy
Dandora Waste-to-Energy power station,1,bioenergy_-_refuse,,,45.0,pre-construction,,no conversion,Kenya Electricity Generating Company (KenGen),,Kenya,https://gem.wiki/Dandora_Waste-to-Energy_power_station,-1.2428,37.0157,approximate,,bioenergy
Mumias Sugar Company power station,1,bioenergy_-_agricultural_waste,,,34.0,operating,1971.0,no conversion,Sarrai Group,,Kenya,https://gem.wiki/Mumias_Sugar_Company_power_station,0.3643,34.5052,exact,,bioenergy
Blantyre Waste to Energy power station,1,bioenergy_-_refuse,,,50.0,shelved,,no conversion,Afro Renewable Energy Group (AREG),,Malawi,https://gem.wiki/Blantyre_Waste_to_Energy_power_station,-15.7755,35.0402,approximate,,bioenergy
Bamako Waste to Energy power station,1,bioenergy_-_refuse,,,40.0,shelved,,no conversion,,,Mali,https://gem.wiki/Bamako_Waste_to_Energy_power_station,12.599,-8.001,approximate,,bioenergy
Otjikoto Biomass power station,1,bioenergy_-_agricultural_waste,,,40.0,pre-construction,,no conversion,NamPower,NamPower,Namibia,https://gem.wiki/Ojikoto_Biomass_power_station,-19.2269,17.7363,approximate,,bioenergy
Otjiwarongo power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,pre-construction,2023.0,no conversion,NamPower,,Namibia,https://gem.wiki/Otjiwarongo_power_station,-20.4482,16.6565,approximate,,bioenergy
Bois-Rouge power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,1992.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Bois-Rouge_power_stationn,-20.9143,55.6359,exact,2023.0,bioenergy
Bois-Rouge power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,1992.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Bois-Rouge_power_station,-20.9143,55.6359,exact,2023.0,bioenergy
Le Gol power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,32.0,announced,1995.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Le_Gol_power_station,-21.2791,55.398,exact,2024.0,bioenergy
Le Gol power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,32.0,announced,1995.0,coal to bioenergy conversion,Albioma,,Réunion,https://www.gem.wiki/Le_Gol_power_station,-21.2791,55.398,exact,2024.0,bioenergy
Saint-Pierre power station,1,bioenergy_-_ethanol,,,41.0,operating,2019.0,no conversion,Albioma,,Réunion,https://gem.wiki/Saint-Pierre_power_station,-21.3176,55.4512,exact,,bioenergy
Makeni Bioethanol Plant power station,1,bioenergy_-_agricultural_waste,,,32.0,operating,2014.0,no conversion,Sunbird Bioenergy Sierra Leone LTD [75%]; Addax Bioenergy [25%],Sunbird Bioenergy Sierra Leone LTD,Sierra Leone,https://gem.wiki/Makeni_Bioethanol_Plant_power_station,8.7123,-12.2359,exact,,bioenergy
Mufindi Paper Mills power station,2,bioenergy_-_wood_and_other_biomass,,,36.0,cancelled,,no conversion,Mufindi Paper Mills LTD,,Tanzania,https://gem.wiki/Mufindi_Paper_Mills_power_station,-8.7283,35.2911,exact,,bioenergy
Kakira Sugar power station,4,bioenergy_-_agricultural_waste,,,30.0,operating,2014.0,no conversion,Kakira Sugar LTD,Kakira Sugar LTD,Uganda,https://gem.wiki/Kakira_Sugar_power_station,0.5089,33.29,exact,,bioenergy
Nakambala power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2010.0,no conversion,Zambia Sugar Company,,Zambia,https://gem.wiki/Nakambala_power_station,-15.8315,27.7804,exact,,bioenergy
Chisumbanje Biomass power station,1,bioenergy_-_agricultural_waste,,,225.0,cancelled,,no conversion,Green Fuel,,Zimbabwe,https://gem.wiki/Chisumbanje_Biomass_power_station,-20.7693,32.2297,approximate,,bioenergy
Hippo Valley Estate power station,1,bioenergy_-_agricultural_waste,,,39.0,operating,,no conversion,Hippo Valley Estates PVT LTD,,Zimbabwe,https://gem.wiki/Hippo_Valley_Estate_power_station,-21.0708,31.6471,exact,,bioenergy
Triangle power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,,no conversion,Triangle PVT LTD,,Zimbabwe,https://gem.wiki/Triangle_power_station,-21.0223,31.4423,exact,,bioenergy
Fresa Garruchos power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,operating,2020.0,no conversion,Fresa (Fuentes Renovables de Energía SA),Fresa (Fuentes Renovables de Energía SA),Argentina,https://gem.wiki/Fresa_Garruchos_power_station,-27.9473,-56.0008,exact,,bioenergy
Ingenio Tabacal power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Ingenio y Refinería San Martín del Tabacal SRL,Ingenio y Refinería San Martín del Tabacal SRL,Argentina,https://gem.wiki/Ingenio_Tabacal_power_station,-23.2537,-64.2413,exact,,bioenergy
La Florida power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,2023.0,no conversion,Compañía Azucarera Los Balcanes,Compañía Azucarera Los Balcanes,Argentina,https://gem.wiki/La_Florida_power_station,-26.8173,-65.0852,exact,,bioenergy
La Florida power station,2,bioenergy_-_agricultural_waste,,,32.0,construction,2023.0,no conversion,Compañía Azucarera Los Balcanes,Compañía Azucarera Los Balcanes,Argentina,https://gem.wiki/La_Florida_power_station,-26.8173,-65.0852,exact,,bioenergy
Puerto Esperanza biomass power station,1,bioenergy_-_paper_mill_wastes,,,44.0,operating,2010.0,no conversion,Arauco Argentina S.A.,Alto Paraná SA,Argentina,https://gem.wiki/Puerto_Esperanza_biomass_power_station,-25.9899,-54.6366,exact,,bioenergy
Puerto Piray power station,1,bioenergy_-_wood_and_other_biomass,,,38.0,operating,2009.0,no conversion,Arauco Argentina S.A.,Alto Paraná SA,Argentina,https://gem.wiki/Puerto_Piray_power_station,-26.4807,-54.716,exact,,bioenergy
San Alonso power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,construction,,no conversion,Fresa (Fuentes Renovables de Energía SA),Fresa (Fuentes Renovables de Energía SA),Argentina,https://gem.wiki/San_Alonso_power_station,-28.056,-56.0083,approximate,,bioenergy
Agropéu power station,1,bioenergy_-_agricultural_waste,,,52.0,operating,2016.0,no conversion,Agropéu - Agro Industrial de Pompéu SA,Agropéu - Agro Industrial de Pompéu SA,Brazil,https://gem.wiki/Agropéu_power_station,-19.2517,-44.985,exact,,bioenergy
Alcídia power station,1,bioenergy_-_agricultural_waste,,,38.0,operating,2010.0,no conversion,Destilaria Alcídia SA,Destilaria Alcídia SA,Brazil,https://gem.wiki/Alcídia_power_station,-22.3497,-52.524,exact,,bioenergy
Alcon power station,1,bioenergy_-_agricultural_waste,,,33.0,operating,2001.0,no conversion,Companhia de Álcool Conceição da Barra SA,Companhia de Álcool Conceição da Barra SA,Brazil,https://gem.wiki/Alcon_power_station,-18.4574,-39.9454,exact,,bioenergy
Alta Mogiana power station,1,bioenergy_-_agricultural_waste,,,71.0,operating,1994.0,no conversion,Usina Alta Mogiana SA,Usina Alta Mogiana SA,Brazil,https://gem.wiki/Alta_Mogiana_power_station,-20.4818,-47.8662,exact,,bioenergy
Amandina II power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2018.0,no conversion,Adecoagro Energia Ltda,Adecoagro Energia Ltda,Brazil,https://gem.wiki/Amandina_II_power_station,-22.3251,-53.8212,exact,,bioenergy
Amandina III power station,1,bioenergy_-_agricultural_waste,,,40.0,pre-construction,,no conversion,Ivinhema Energia Ltda,Ivinhema Energia Ltda,Brazil,https://gem.wiki/Amandina_III_power_station,-22.3956,-53.8904,exact,,bioenergy
Amandina power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2014.0,no conversion,Adecoagro Vale do Ivinhema SA,Adecoagro Vale do Ivinhema SA,Brazil,https://gem.wiki/Amandina_power_station,-22.4381,-53.5781,exact,,bioenergy
Amandina power station,2,bioenergy_-_agricultural_waste,,,40.0,operating,2014.0,no conversion,Adecoagro Vale do Ivinhema SA,Adecoagro Vale do Ivinhema SA,Brazil,https://gem.wiki/Amandina_power_station,-22.4381,-53.5781,exact,,bioenergy
Angélica power station,1,bioenergy_-_agricultural_waste,,,70.0,operating,2009.0,no conversion,Adecoagro Vale do Ivinhema SA,Adecoagro Vale do Ivinhema SA,Brazil,https://gem.wiki/Angélica_power_station,-22.0409,-53.8419,exact,,bioenergy
Aracruz power station,1,bioenergy_-_paper_mill_wastes,,,210.0,operating,2002.0,no conversion,Suzano SA,Suzano SA,Brazil,https://gem.wiki/Aracruz_power_station,-19.843,-40.0747,exact,,bioenergy
Asolo 2 power station,1,bioenergy_-_agricultural_waste,,,40.0,construction,,no conversion,Bom Sucesso Agroindústria S.A.,Bom Sucesso Agroindústria S.A.,Brazil,https://gem.wiki/Asolo_2_power_station,-17.9478,-49.8544,exact,,bioenergy
Bahia Pulp power station,1,bioenergy_-_paper_mill_wastes,,,109.0,operating,2000.0,no conversion,Bracell SP Celulose Ltda,Bracell SP Celulose Ltda,Brazil,https://gem.wiki/Bahia_Pulp_power_station,-12.6431,-38.3372,exact,,bioenergy
Baía Formosa power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,CPFL Bio Formosa Ltda,CPFL Bio Formosa Ltda,Brazil,https://gem.wiki/Baía_Formosa_power_station,-6.4161,-35.0557,exact,,bioenergy
Baldin power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2010.0,no conversion,CPFL Bioenergia SA,CPFL Bioenergia SA,Brazil,https://gem.wiki/Baldin_power_station,-21.9875,-47.4501,exact,,bioenergy
Bambuí power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2014.0,no conversion,Bambuí Bioenergia SA,Bambuí Bioenergia SA,Brazil,https://gem.wiki/Bambuí_power_station,-20.0871,-46.0399,exact,,bioenergy
Barra Bioenergia power station,1,bioenergy_-_agricultural_waste,,,33.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Barra_Bioenergia_power_station,-22.4779,-48.532,exact,,bioenergy
Barra Bioenergia power station,2,bioenergy_-_agricultural_waste,,,33.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Barra_Bioenergia_power_station,-22.4779,-48.532,exact,,bioenergy
Barra Bioenergia power station,3,bioenergy_-_agricultural_waste,,,35.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Barra_Bioenergia_power_station,-22.4779,-48.532,exact,,bioenergy
Barra Bioenergia power station,4,bioenergy_-_agricultural_waste,,,35.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Barra_Bioenergia_power_station,-22.4779,-48.532,exact,,bioenergy
Barra Grande 2 power station,1,bioenergy_-_agricultural_waste,,,80.0,construction,2024.0,no conversion,Açucareira Quatá SA,Açucareira Quatá SA,Brazil,https://gem.wiki/Barra_Grande_2_power_station,-22.6291,-48.8021,exact,,bioenergy
Barra Grande Lençóis power station,1,bioenergy_-_agricultural_waste,,,63.0,operating,2003.0,no conversion,Açucareira Quatá SA,Açucareira Quatá SA,Brazil,https://gem.wiki/Barra_Grande_Lençóis_power_station,-22.6253,-48.7568,exact,,bioenergy
Barralcool power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2002.0,no conversion,Usina Barralcool SA,Usina Barralcool SA,Brazil,https://gem.wiki/Barralcool_power_station,-15.033,-57.2105,exact,,bioenergy
BBF Forte São Joaquim power station,1,bioenergy_-_biodiesel,bioenergy_-_agricultural_waste,,57.0,construction,2023.0,no conversion,BBF (Brasil Biofuels),BBF (Brasil Biofuels),Brazil,https://gem.wiki/BBF_Boa_Vista_power_station,2.9658,-60.6974,exact,,bioenergy
BEN Bioenergia power station,1,bioenergy_-_agricultural_waste,,,53.0,operating,2013.0,no conversion,BEN (Bioenergia Geração e Comercialização de Energia do Nordeste SA),BEN (Bioenergia Geração e Comercialização de Energia do Nordeste SA),Brazil,https://gem.wiki/BEN_Bioenergia_power_station,-9.9164,-36.334,exact,,bioenergy
Bio Alvorada power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2013.0,no conversion,SPE Bio Alvorada SA,SPE Bio Alvorada SA,Brazil,https://gem.wiki/Bio_Alvorada_power_station,-18.4411,-49.1901,exact,,bioenergy
Bio Coopcana power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2013.0,no conversion,SPE Bio Coopcana SA,SPE Bio Coopcana SA,Brazil,https://gem.wiki/Bio_Coopcana_power_station,-23.2708,-52.4876,exact,,bioenergy
Bioenergética Vale do Paracatu - BEVAP power station,1,bioenergy_-_agricultural_waste,,,55.0,operating,2011.0,no conversion,Bevap (Bioenergética Vale do Paracatu SA),Bevap (Bioenergética Vale do Paracatu SA),Brazil,https://gem.wiki/Bioenergética_Vale_do_Paracatu_-_BEVAP_power_station,-17.0622,-46.1836,exact,,bioenergy
Bioenergia Descalvado power station,1,bioenergy_-_agricultural_waste,,,45.0,pre-construction,,no conversion,Ipiranga Bioenergia Descalvado S.A.,Ipiranga Bioenergia Descalvado S.A.,Brazil,https://gem.wiki/Bioenergia_Descalvado_power_station,-21.8307,-47.751,exact,,bioenergy
Bioenergia Lins power station,1,bioenergy_-_agricultural_waste,,,40.0,pre-construction,,no conversion,Lins Bioenergia Ltda,Lins Bioenergia Ltda,Brazil,https://gem.wiki/Bioenergia_Lins_power_station,-21.5997,-49.5397,exact,,bioenergy
Bioenergia Mococa II power station,1,bioenergy_-_agricultural_waste,,,70.0,announced,,no conversion,Ipiranga Bioenergia Mococa SA,Ipiranga Bioenergia Mococa SA,Brazil,https://gem.wiki/Bioenergia_Mococa_II_power_station,-21.3434,-47.1541,exact,,bioenergy
Bioenergia Mococa power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2020.0,no conversion,Ipiranga Bioenergia Mococa SA,Ipiranga Bioenergia Mococa SA,Brazil,https://gem.wiki/Bioenergia_Mococa_power_station,-21.3432,-47.1559,exact,,bioenergy
Bioflex Caeté power station,1,bioenergy_-_agricultural_waste,,,62.0,operating,2014.0,no conversion,Companhia Energética de São Miguel dos Campos SA,Companhia Energética de São Miguel dos Campos SA,Brazil,https://gem.wiki/Bioflex_Caeté_power_station,-9.777,-36.0854,exact,,bioenergy
Biolins power station,1,bioenergy_-_agricultural_waste,,,44.0,operating,2010.0,no conversion,JBS SA,JBS SA,Brazil,https://gem.wiki/Biolins_power_station,-21.6763,-49.7807,exact,,bioenergy
Boa Esperança power station,1,bioenergy_-_agricultural_waste,,,60.0,operating,2022.0,no conversion,Bioenergia Boa Esperança Ltda [95%]; Usina Cerradão S.A. [5%],Bioenergia Boa Esperança Ltda [95%]; Usina Cerradão S.A. [5%],Brazil,https://gem.wiki/Boa_Esperança_power_station,-19.9234,-49.1564,exact,,bioenergy
Boa Vista power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2008.0,no conversion,Bioenergética Boa Vista SA,Bioenergética Boa Vista SA,Brazil,https://gem.wiki/Boa_Vista_power_station,-18.5462,-50.4348,exact,,bioenergy
Bonfim power station,1,bioenergy_-_agricultural_waste,,,33.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Bonfim_power_station,-21.4138,-48.2786,exact,,bioenergy
Bonfim power station,2,bioenergy_-_agricultural_waste,,,33.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Bonfim_power_station,-21.4138,-48.2786,exact,,bioenergy
Bonfim power station,3,bioenergy_-_agricultural_waste,,,45.0,operating,2010.0,no conversion,Bioenergia Barra Ltda,Bioenergia Barra Ltda,Brazil,https://gem.wiki/Bonfim_power_station,-21.4138,-48.2786,exact,,bioenergy
Bracell Star power station,1,bioenergy_-_paper_mill_wastes,,,140.0,operating,2021.0,no conversion,Bracell SP Celulose Ltda,Bracell SP Celulose Ltda,Brazil,https://gem.wiki/Bracell_Star_power_station,-22.5414,-48.815,exact,,bioenergy
Bracell Star power station,2,bioenergy_-_paper_mill_wastes,,,140.0,operating,2021.0,no conversion,Bracell SP Celulose Ltda,Bracell SP Celulose Ltda,Brazil,https://gem.wiki/Bracell_Star_power_station,-22.5414,-48.815,exact,,bioenergy
Bracell Star power station,3,bioenergy_-_paper_mill_wastes,,,140.0,operating,2021.0,no conversion,Bracell SP Celulose Ltda,Bracell SP Celulose Ltda,Brazil,https://gem.wiki/Bracell_Star_power_station,-22.5414,-48.815,exact,,bioenergy
Brotas II power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,2016.0,no conversion,Cogeração de Energia Elétrica Rhodia Brotas SA,Cogeração de Energia Elétrica Rhodia Brotas SA,Brazil,https://gem.wiki/Brotas_II_power_station,-22.3504,-48.106,exact,,bioenergy
Brotas power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,2013.0,no conversion,Cogeração de Energia Elétrica Rhodia Brotas SA,Cogeração de Energia Elétrica Rhodia Brotas SA,Brazil,https://gem.wiki/Brotas_power_station,-22.3504,-48.106,exact,,bioenergy
Buriti power station,1,bioenergy_-_agricultural_waste,,,74.0,operating,2011.0,no conversion,Pedra Agroindustrial,Pedra Agroindustrial,Brazil,https://gem.wiki/Buriti_power_station,-20.2187,-47.6539,exact,,bioenergy
BVE power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2018.0,no conversion,BVE - Bela Vista Energética SA,BVE - Bela Vista Energética SA,Brazil,https://gem.wiki/BVE_power_station,-21.0991,-51.4082,exact,,bioenergy
Caarapó power station,1,bioenergy_-_agricultural_waste,,,114.0,operating,2010.0,no conversion,Bioenergia Caarapó Ltda,Bioenergia Caarapó Ltda,Brazil,https://gem.wiki/Caarapó_power_station,-22.6105,-54.6848,exact,,bioenergy
Cachoeira Dourada power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2013.0,no conversion,SJC Bioenergia Ltda,SJC Bioenergia Ltda,Brazil,https://gem.wiki/Cachoeira_Dourada_power_station,-18.4945,-49.6445,exact,,bioenergy
Caçú I power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2010.0,no conversion,Rio Claro Agroindustrial SA,Rio Claro Agroindustrial SA,Brazil,https://gem.wiki/Caçú_I_power_station,-18.6013,-51.1913,exact,,bioenergy
Caçú I power station,2,bioenergy_-_agricultural_waste,,,50.0,operating,2010.0,no conversion,Rio Claro Agroindustrial SA,Rio Claro Agroindustrial SA,Brazil,https://gem.wiki/Caçú_I_power_station,-18.6013,-51.1913,exact,,bioenergy
Caçú I power station,3,bioenergy_-_agricultural_waste,,,30.0,operating,2010.0,no conversion,Rio Claro Agroindustrial SA,Rio Claro Agroindustrial SA,Brazil,https://gem.wiki/Caçú_I_power_station,-18.6013,-51.1913,exact,,bioenergy
Cambará power station,1,bioenergy_-_wood_and_other_biomass,,,50.0,pre-construction,2023.0,no conversion,Usina Termelétrica Cambará S.A.,Usina Termelétrica Cambará S.A.,Brazil,https://gem.wiki/Cambará_power_station,-29.2063,-50.2394,exact,,bioenergy
Campo Florido power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2002.0,no conversion,Usina Coruripe Açúcar e Álcool,Usina Coruripe Açúcar e Álcool,Brazil,https://gem.wiki/Campo_Florido_power_station,-19.8091,-48.7255,exact,,bioenergy
Canaã power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2006.0,no conversion,Cocal Comércio Indústria Canaã Açúcar e Álcool Ltda,Cocal Comércio Indústria Canaã Açúcar e Álcool Ltda,Brazil,https://gem.wiki/Canaã_power_station,-22.9427,-47.602,exact,,bioenergy
Canabrava power station,1,bioenergy_-_agricultural_waste,,,44.0,operating,2012.0,no conversion,Canabrava Energética SA,Canabrava Energética SA,Brazil,https://gem.wiki/Canabrava_power_station,-21.6491,-41.3957,exact,,bioenergy
Canápolis 2 power station,1,bioenergy_-_agricultural_waste,,,40.0,pre-construction,2029.0,no conversion,Canápolis Açúcar e Etanol S.A.,Canápolis Açúcar e Etanol S.A.,Brazil,https://gem.wiki/Canápolis_2_power_station,-18.8777,-49.266,exact,,bioenergy
Catanduva I power station,1,bioenergy_-_agricultural_waste,,,75.0,operating,2001.0,no conversion,COFCO International Brasil SA,COFCO International Brasil SA,Brazil,https://gem.wiki/Catanduva_I_power_station,-21.0966,-48.9335,exact,,bioenergy
Cedro power station,1,bioenergy_-_agricultural_waste,,,35.0,pre-construction,2024.0,no conversion,Pedra Agroindustrial,CERN - Campânia Energia Renovável S.A.,Brazil,https://gem.wiki/Cedro_power_station,-19.4015,-51.3247,exact,,bioenergy
Cenibra power station,1,bioenergy_-_paper_mill_wastes,,,40.0,operating,1976.0,no conversion,Celulose Nipo - Brasileira SA,Celulose Nipo - Brasileira SA,Brazil,https://gem.wiki/Cenibra_power_station,-19.216,-42.4745,exact,,bioenergy
Cenibra power station,2,bioenergy_-_paper_mill_wastes,,,60.0,operating,1992.0,no conversion,Celulose Nipo - Brasileira SA,Celulose Nipo - Brasileira SA,Brazil,https://gem.wiki/Cenibra_power_station,-19.216,-42.4745,exact,,bioenergy
Central Energética Alta Mogiana power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2021.0,no conversion,Central Energética Alta Mogiana SA,Central Energética Alta Mogiana SA,Brazil,https://gem.wiki/Central_Energética_Alta_Mogiana_power_station,-20.4781,-47.8831,exact,,bioenergy
Central Olho d'Água power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2015.0,no conversion,Usina Central Olho d'Água SA,Usina Central Olho d'Água SA,Brazil,https://gem.wiki/Central_Olho_d'Água_power_station,-7.4176,-35.2441,exact,,bioenergy
