project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Shaanxi Lanniao power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Korea Carbon Energy International CO LTD[37%]; Shanghai Bluebirdme Technology CO LTD[25%]; Heilongjiang Hualong Power Engineering CO LTD [25%]; Shanghai Dingchen Automation Engineering CO LTD [14%],Shaanxi Bluebirdme Biomass Power Plant CO LTD,China,https://gem.wiki/Shaanxi_Lanniao_power_station,34.4881,108.4177,approximate,,bioenergy
Shaanxi Lanniao power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Korea Carbon Energy International CO LTD[37%]; Shanghai Bluebirdme Technology CO LTD[25%]; Heilongjiang Hualong Power Engineering CO LTD [25%]; Shanghai Dingchen Automation Engineering CO LTD [14%],Shaanxi Bluebirdme Biomass Power Plant CO LTD,China,https://gem.wiki/Shaanxi_Lanniao_power_station,34.4881,108.4177,approximate,,bioenergy
Hubei Gongan Ouchi Town power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau Shareholding CO LTD,Zhongnan Guangdong Hydropower Investment CO LTD,China,https://gem.wiki/Hubei_Gongan_Ouchi_Town_power_station,29.755222,112.296164,approximate,,bioenergy
Shaanxi Fu County power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Shaanxi Environmental Protection Industry Group CO LTD[67%]; Zhongsheng Environmental Technology Development CO LTD[33%],Shaanxi Green Energy CO LTD,China,https://gem.wiki/Shaanxi_Fu_County_power_station,35.857405,109.347331,approximate,,bioenergy
Henan Ye County power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,China Electric Power Engineering Consulting Group Investment CO LTD[51%]; China Energy Construction Group Investment CO LTD[49%],China Power Engineering Yexian Baoan New Energy CO LTD,China,https://gem.wiki/Henan_Ye_County_power_station,33.678497,113.419592,approximate,,bioenergy
Henan Ningling power station,1-1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Henan_Ningling_power_station,34.46129,115.337685,approximate,,bioenergy
Henan Ningling power station,1-2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Henan_Ningling_power_station,34.46129,115.337685,approximate,,bioenergy
Hubei Gongan power station,1-1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Hubei_Gongan_power_station,30.045114,112.27019,approximate,,bioenergy
Hubei Gongan power station,1-2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Hubei_Gongan_power_station,30.045114,112.27019,approximate,,bioenergy
Hubei Gongan power station,1-3,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Hubei_Gongan_power_station,30.045114,112.27019,approximate,,bioenergy
Liaoning Shenyang Liaozhong power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Liaoning_Shenyang_Liaozhong_power_station,41.516126,122.762161,approximate,,bioenergy
Liaoning Xiuyan power station,1-1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Liaoning_Xiuyan_power_station,40.29162,123.282907,approximate,,bioenergy
